Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M3_brown	1.3351137978075283e-09	7.889848943536075e-10	0.04530470121618596
isoExpr.M1_turquoise	1.3696242980957597e-09	9.444240128061176e-10	0.07349833795575991
isoExpr.M34_darkmagenta	2.058947994243469e-09	1.862764919765784e-09	0.13451086416450558
isoExpr.M7_black	2.9019046803524954e-09	2.6831216321713786e-09	0.1397283802710827
isoExpr.M51_thistle1	1.7967367891893557e-09	1.6655345900898208e-09	0.1403440596435791
isoExpr.M21_darkred	8.933406956882084e-09	9.75843279469366e-09	0.17997638482043354
isoExpr.M0_grey	3.756522600245562e-10	4.821645858841871e-10	0.21796172982248407
isoExpr.M20_royalblue	3.882814089898163e-10	5.545888912559406e-10	0.24192470016328915
isoExpr.M36_yellowgreen	9.937250646069683e-10	1.8087179057276878e-09	0.2913625572023093
isoExpr.M38_plum1	4.0401942330559216e-10	8.297311505317042e-10	0.3131546377823028
isoExpr.M50_thistle2	1.391950232521863e-09	2.964032741581472e-09	0.3193155355525581
isoExpr.M41_lightsteelblue1	5.80261162920123e-10	1.6686304817169748e-09	0.3640151163003543
isoExpr.M22_darkgreen	2.8120145655830233e-10	1.0069256734716494e-09	0.3900198334160024
isoExpr.M24_darkgrey	4.2121426889476793e-10	1.5361673932411168e-09	0.3919661719772741
isoExpr.M11_greenyellow	2.4215848131278363e-10	9.604678455086329e-10	0.40047201185364134
isoExpr.M16_lightcyan	3.0684646886767486e-10	1.6132396610609613e-09	0.4245741933867184
isoExpr.M45_darkorange2	2.4105090112675223e-10	1.7882074043544644e-09	0.44638488286897227
isoExpr.M53_palevioletred3	-2.0721426089542123e-11	1.3281474202265256e-09	0.5062239458458789
isoExpr.M28_skyblue	-2.5728313333801408e-11	8.77441791659305e-10	0.5116960936565622
isoExpr.M37_skyblue3	-1.4692007686210323e-10	1.7511923971575172e-09	0.533430903048397
isoExpr.M35_sienna3	-1.831302312437631e-10	8.7432717154407e-10	0.5829525916948145
isoExpr.M19_lightyellow	-3.961118289984287e-10	1.3883274596533017e-09	0.6122989145531051
isoExpr.M4_yellow	-4.3357649509891805e-10	1.5079125757974857e-09	0.6131483553760456
isoExpr.M5_green	-2.2407129116813344e-10	6.70122826160871e-10	0.630951119846638
isoExpr.M10_purple	-3.8374664026135435e-10	1.1211828481833577e-09	0.6339259391280381
isoExpr.M15_midnightblue	-4.340302694105297e-10	1.253291932330499e-09	0.6354459444445777
isoExpr.M40_mediumpurple3	-4.821599576024221e-10	1.2318819433667467e-09	0.6522496132877285
isoExpr.M12_tan	-5.541704760635136e-10	1.4094177799568507e-09	0.652910815267744
isoExpr.M30_steelblue	-2.8251282692873984e-10	6.991249654968878e-10	0.6569285292233429
isoExpr.M48_darkslateblue	-3.035157561746757e-10	7.382133132397226e-10	0.659518404032472
isoExpr.M18_lightgreen	-7.963945047057146e-10	1.3761441338249255e-09	0.7186090701558835
isoExpr.M13_salmon	-6.662236108886561e-10	1.1362769222583142e-09	0.7211702635524221
isoExpr.M27_white	-7.166189583632732e-10	1.2176244517074304e-09	0.721914574842742
isoExpr.M17_grey60	-1.1125283844412767e-09	1.7367445245671223e-09	0.7391030577491433
isoExpr.M23_darkturquoise	-6.870172606964418e-10	1.0577997181101043e-09	0.7419851515507295
isoExpr.M49_plum2	-7.287310142830664e-10	1.0932278408858425e-09	0.7474818801921962
isoExpr.M42_lightcyan1	-9.005104841160647e-10	1.3259391354120748e-09	0.7514783298737764
isoExpr.M25_orange	-9.231352304285693e-10	1.2574598620237893e-09	0.7685643289712373
isoExpr.M33_darkolivegreen	-1.9092107365868616e-09	1.9791724218023975e-09	0.8326401873705838
isoExpr.M43_ivory	-1.727897513648363e-09	1.7911736761807443e-09	0.8326457766485695
isoExpr.M26_darkorange	-1.0851888262721946e-09	1.0839544421232383e-09	0.8416201402616437
isoExpr.M8_pink	-6.958415034014008e-10	6.547522839637381e-10	0.8560535473138362
isoExpr.M14_cyan	-2.3169977981433785e-09	2.1783477933224564e-09	0.8562561679933949
isoExpr.M39_orangered4	-8.22667876954356e-10	7.321489111550721e-10	0.8694159724003114
isoExpr.M2_blue	-8.628879789720739e-10	7.324416131377418e-10	0.8806212247509333
isoExpr.M46_brown4	-1.978345123175647e-09	1.6555830001865777e-09	0.8839474506742622
isoExpr.M44_floralwhite	-1.3003838700200944e-09	9.743931501121123e-10	0.9089894229756998
isoExpr.M52_salmon4	-2.3908688123091387e-09	1.7135007428351898e-09	0.918539170901868
isoExpr.M9_magenta	-1.5472873471354356e-09	1.0150073282674844e-09	0.9362968413711704
isoExpr.M32_violet	-2.6921718615241574e-09	1.6933796180594047e-09	0.9440625126799939
isoExpr.M47_bisque4	-3.853180438312182e-09	2.328932036946293e-09	0.9509853787744165
isoExpr.M6_red	-2.159472637784548e-09	1.2939604646084212e-09	0.9524300229239798
isoExpr.M29_saddlebrown	-1.6371611020504063e-09	9.769051894130673e-10	0.9531176692947031
isoExpr.M31_paleturquoise	-2.3444427322526368e-09	1.0890041004713047e-09	0.9843340527031225
