Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M3_brown	2.4581297610597933e-08	8.561480043739295e-09	0.0020449038623179755
isoExpr.M49_plum2	4.169594812333594e-08	2.035507398958402e-08	0.020258932845125373
isoExpr.M6_red	2.0160366809510146e-08	1.1320896791574444e-08	0.03747174332782844
isoExpr.M53_palevioletred3	3.935503017073817e-08	2.2562526393524178e-08	0.040556426266150816
isoExpr.M50_thistle2	3.225780080221012e-08	1.9112877552821646e-08	0.04572940509352508
isoExpr.M45_darkorange2	2.6268331599785675e-08	1.7765299495809697e-08	0.06961941334634278
isoExpr.M22_darkgreen	2.3054510898941118e-08	1.5967851031802335e-08	0.07439649695869077
isoExpr.M32_violet	2.4502429763185028e-08	1.814212098814365e-08	0.08841461685839802
isoExpr.M43_ivory	2.5266989729034988e-08	1.9070789018340276e-08	0.09260127892303827
isoExpr.M51_thistle1	2.7604883689088008e-08	2.1072472840212787e-08	0.09509836514825998
isoExpr.M10_purple	1.4673709173945936e-08	1.174703077452548e-08	0.10580657595051651
isoExpr.M11_greenyellow	1.1823104166943697e-08	1.0515070921649785e-08	0.13042252437447166
isoExpr.M21_darkred	2.3545390829050615e-08	2.1290092179436016e-08	0.13437801098801827
isoExpr.M47_bisque4	2.5788760717696012e-08	2.419116750599903e-08	0.14320270070436014
isoExpr.M48_darkslateblue	1.954411942288437e-08	1.989012601818278e-08	0.16290116228041357
isoExpr.M19_lightyellow	1.200445246413691e-08	1.3065098764587653e-08	0.17909529689153109
isoExpr.M30_steelblue	1.7614751371113668e-08	1.9845574726509193e-08	0.1873804273929896
isoExpr.M52_salmon4	1.624585934732909e-08	1.834981199875458e-08	0.18798610065119792
isoExpr.M16_lightcyan	1.2114464357507647e-08	1.5493812362692023e-08	0.2171394706797622
isoExpr.M14_cyan	9.586194637617666e-09	1.3744636725868524e-08	0.24276066109827998
isoExpr.M12_tan	7.064607062082809e-09	1.043446705822976e-08	0.24918860098034123
isoExpr.M28_skyblue	8.223190633692494e-09	1.2364205733505396e-08	0.25299954184416296
isoExpr.M40_mediumpurple3	1.141203767722125e-08	1.7413015656935616e-08	0.2561134944051898
isoExpr.M37_skyblue3	8.958123100243262e-09	1.523547945849095e-08	0.27827361004384066
isoExpr.M35_sienna3	8.123480579110123e-09	1.5062042924804634e-08	0.29482800658089203
isoExpr.M13_salmon	6.074423700552437e-09	1.2595320404016426e-08	0.3148048636437598
isoExpr.M8_pink	5.680265932412933e-09	1.2021864965541009e-08	0.3182869078774349
isoExpr.M17_grey60	6.207112634002457e-09	1.5323158970096328e-08	0.3427091761230857
isoExpr.M33_darkolivegreen	5.471680843563588e-09	1.5727065495392447e-08	0.363952037336495
isoExpr.M29_saddlebrown	6.015531294962006e-09	1.795230188281432e-08	0.36878081540586427
isoExpr.M1_turquoise	1.3800908191237426e-09	5.108007554656387e-09	0.39351018603396376
isoExpr.M2_blue	1.1176802050433651e-09	5.813578257248624e-09	0.42377185813918455
isoExpr.M42_lightcyan1	2.7278796143879454e-09	1.5604373588433016e-08	0.4306124744455819
isoExpr.M23_darkturquoise	2.4807862307060223e-09	1.9415812633915057e-08	0.4491649283838689
isoExpr.M9_magenta	9.897453103923935e-11	1.1194276750684383e-08	0.4964727859104186
isoExpr.M24_darkgrey	-3.7632380363682216e-10	1.482870523742082e-08	0.5101232953438378
isoExpr.M31_paleturquoise	-1.7900778362500706e-09	1.4019697482658364e-08	0.5508001006531159
isoExpr.M34_darkmagenta	-5.763836295496288e-09	1.6467288756504554e-08	0.63683715071245
isoExpr.M4_yellow	-3.051191267859566e-09	8.363350361666653e-09	0.6423804058482359
isoExpr.M5_green	-2.9436966343376307e-09	7.5007032393555e-09	0.6526393737764736
isoExpr.M44_floralwhite	-6.216089857276902e-09	1.4417214061361164e-08	0.6668230701654219
isoExpr.M15_midnightblue	-5.814954826333757e-09	1.2675741835608225e-08	0.6767919655095832
isoExpr.M39_orangered4	-1.1588884797772528e-08	1.4762788074902053e-08	0.7837751251987823
isoExpr.M0_grey	-8.009044390016448e-09	9.401105613428207e-09	0.8028723610167687
isoExpr.M38_plum1	-1.1792228010596469e-08	1.3245781480680568e-08	0.8133376349975875
isoExpr.M26_darkorange	-1.140137327681839e-08	1.2346740514033033e-08	0.822108896619048
isoExpr.M20_royalblue	-1.1746568331772724e-08	1.114370690532349e-08	0.8540811624824742
isoExpr.M25_orange	-1.4522046587142248e-08	1.3085259916529877e-08	0.8664578042457745
isoExpr.M27_white	-1.5983471521982736e-08	1.2881017608858448e-08	0.8926702891021725
isoExpr.M18_lightgreen	-1.324577692396488e-08	1.0542679108358135e-08	0.8955137339352892
isoExpr.M7_black	-1.021764068105418e-08	7.981131979126757e-09	0.8997669037614117
isoExpr.M46_brown4	-2.6014052421981085e-08	1.8965120302713e-08	0.9149182660418811
isoExpr.M41_lightsteelblue1	-2.0810977857234112e-08	1.5168605928722282e-08	0.9149646948865982
isoExpr.M36_yellowgreen	-2.1603855741095138e-08	1.5703447142043106e-08	0.9155488827179189
