Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M47_bisque4	2.4976094291070857e-08	1.0906993576522051e-08	0.011013106059358416
isoExpr.M1_turquoise	3.4731600284520874e-09	1.973770819771379e-09	0.039232973637429405
isoExpr.M19_lightyellow	8.164208729523547e-09	4.890954081770387e-09	0.047534253931181325
isoExpr.M27_white	2.3479638236709216e-08	1.5324235641060757e-08	0.06273779683006711
isoExpr.M9_magenta	9.415266970067192e-09	6.237024966010328e-09	0.06557574741196563
isoExpr.M6_red	6.1095257580205e-09	4.129283726421983e-09	0.06949526578266214
isoExpr.M20_royalblue	1.21137437331935e-08	8.246430912280257e-09	0.07092072445104541
isoExpr.M43_ivory	9.893593743218454e-09	8.636769676679126e-09	0.1259968755207304
isoExpr.M10_purple	1.07617979439226e-08	1.0429153360042489e-08	0.15106050292949647
isoExpr.M11_greenyellow	4.802019614303764e-09	4.839458946688109e-09	0.16053444422958302
isoExpr.M0_grey	3.1363571377764548e-09	3.9968483325963695e-09	0.21631252205404433
isoExpr.M14_cyan	3.5023854753238645e-09	4.56490086267798e-09	0.2214687051423429
isoExpr.M16_lightcyan	4.578726435512099e-09	5.985285695944438e-09	0.22213662403311207
isoExpr.M34_darkmagenta	4.972695134247843e-09	6.719713436262159e-09	0.22964515759318732
isoExpr.M44_floralwhite	5.131040445640352e-09	7.11393438593294e-09	0.2353728732074748
isoExpr.M3_brown	2.217020095790902e-09	3.152431064652499e-09	0.24094277294293825
isoExpr.M42_lightcyan1	6.5691112853935396e-09	9.372377017202419e-09	0.24168230488927883
isoExpr.M17_grey60	3.429375642941343e-09	5.390839485144132e-09	0.2623397462312975
isoExpr.M37_skyblue3	3.5008103366507026e-09	5.6646612115469245e-09	0.26828477711856097
isoExpr.M5_green	1.989552400632168e-09	3.5403367724934517e-09	0.28706925485935175
isoExpr.M49_plum2	2.754814926000222e-09	4.968396679703601e-09	0.2896294406490538
isoExpr.M25_orange	2.365691487270951e-09	4.90257935371349e-09	0.31471113386971183
isoExpr.M7_black	1.6114303801377733e-09	3.528438222968697e-09	0.32394409479446484
isoExpr.M30_steelblue	2.1973374555430032e-09	5.312288183074391e-09	0.3395714675579192
isoExpr.M32_violet	2.4952681651291744e-09	7.570443120244731e-09	0.37084861011412074
isoExpr.M15_midnightblue	1.3216223542774942e-09	4.672812978793114e-09	0.3886527037144333
isoExpr.M29_saddlebrown	2.609881240302866e-09	1.3026621338774553e-08	0.42060350079758124
isoExpr.M40_mediumpurple3	6.775702984630568e-10	6.89343437905848e-09	0.46085016649654564
isoExpr.M24_darkgrey	-3.3761639684655797e-10	5.444470878989616e-09	0.5247229137050997
isoExpr.M31_paleturquoise	-3.702554974927351e-10	5.5435025569462005e-09	0.5266259140392215
isoExpr.M51_thistle1	-6.277763988706773e-10	7.006906110467482e-09	0.5356950540423882
isoExpr.M22_darkgreen	-5.15997596691775e-10	5.542703469425558e-09	0.5370859277625658
isoExpr.M39_orangered4	-6.850141259040668e-10	4.857445112281617e-09	0.5560743287172062
isoExpr.M4_yellow	-9.018843666730054e-10	3.0190932191120783e-09	0.6174257858346905
isoExpr.M46_brown4	-2.7079937991917393e-09	7.693937425024678e-09	0.6375676038004583
isoExpr.M53_palevioletred3	-2.5946505820032644e-09	7.369323146841934e-09	0.6376138832174936
isoExpr.M12_tan	-1.667397443389394e-09	4.191675790859494e-09	0.6546066903136813
isoExpr.M18_lightgreen	-2.015206884647586e-09	4.95921266790307e-09	0.6577595565272137
isoExpr.M45_darkorange2	-3.258487706479517e-09	7.677459186635715e-09	0.6643712037665896
isoExpr.M13_salmon	-2.1800313755025354e-09	3.800942507426758e-09	0.7168638937897425
isoExpr.M26_darkorange	-2.6847552730019836e-09	4.544280705762081e-09	0.722672357220754
isoExpr.M2_blue	-1.7937128170686354e-09	2.650900493789939e-09	0.7506837018132028
isoExpr.M48_darkslateblue	-4.115335543198784e-09	5.957190696496811e-09	0.755160090550332
isoExpr.M28_skyblue	-4.874218955516169e-09	6.509426287460261e-09	0.773009293524189
isoExpr.M21_darkred	-3.7964653194498245e-09	4.618373246515032e-09	0.794471564775433
isoExpr.M50_thistle2	-5.2180667224095815e-09	5.276495293076476e-09	0.838650480493087
isoExpr.M23_darkturquoise	-5.748020484271441e-09	5.65991416362742e-09	0.8450821211678906
isoExpr.M52_salmon4	-8.193601579979052e-09	5.637075226658889e-09	0.926960284506959
isoExpr.M38_plum1	-6.82226995254859e-09	4.401568953456472e-09	0.9394248269703086
isoExpr.M36_yellowgreen	-8.832481397703114e-09	5.591033349521657e-09	0.9429188868599124
isoExpr.M35_sienna3	-8.036605773573567e-09	5.030314950201239e-09	0.9449378516847098
isoExpr.M41_lightsteelblue1	-9.889375376405117e-09	6.110448899339158e-09	0.947215751900535
isoExpr.M33_darkolivegreen	-1.0096470620682914e-08	5.563950897342289e-09	0.9652090306744845
isoExpr.M8_pink	-7.58412631728233e-09	3.81466813899303e-09	0.9766023595154225
