Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M1_turquoise	1.4933524854073747e-08	4.6841411497041434e-09	0.0007160473561169102
isoExpr.M37_skyblue3	4.655460753252534e-08	1.544508176756723e-08	0.0012882778893649888
isoExpr.M47_bisque4	6.155885246735459e-08	2.053993886125166e-08	0.0013631108163529326
isoExpr.M17_grey60	3.750203929981488e-08	1.3383191570058616e-08	0.0025379698090868307
isoExpr.M12_tan	2.7582698839260804e-08	1.1082210093430843e-08	0.006406647438527947
isoExpr.M27_white	3.056878267276763e-08	1.4363872877248544e-08	0.01666143982737613
isoExpr.M6_red	1.4427049112050293e-08	7.644793505496622e-09	0.02956851958657276
isoExpr.M25_orange	2.916209817860443e-08	1.549208204088154e-08	0.02989172583504939
isoExpr.M40_mediumpurple3	2.989399789174668e-08	1.749853490064848e-08	0.043783718247222526
isoExpr.M31_paleturquoise	2.110156638209558e-08	1.2444575807913993e-08	0.04497668969944906
isoExpr.M7_black	1.2577899553671448e-08	7.58338960434386e-09	0.04859702027322338
isoExpr.M30_steelblue	2.4712315588604447e-08	1.504273304397292e-08	0.050211377628513784
isoExpr.M14_cyan	1.6419521340081247e-08	1.1175865075440356e-08	0.07088999852999313
isoExpr.M52_salmon4	3.5961281788814216e-08	2.5173328716862428e-08	0.07656724651451456
isoExpr.M3_brown	7.780297361034942e-09	5.541816591159334e-09	0.08017052486989551
isoExpr.M15_midnightblue	1.4004682453525691e-08	1.0896350522594728e-08	0.09935009666595451
isoExpr.M29_saddlebrown	1.5384842663896904e-08	1.2701282749917369e-08	0.1128935594714442
isoExpr.M45_darkorange2	1.5023342730755412e-08	1.25097051693544e-08	0.11488820883173312
isoExpr.M50_thistle2	2.4962880844763006e-08	2.182289661133171e-08	0.12633569712773668
isoExpr.M35_sienna3	1.2562745624812836e-08	1.1038235479960284e-08	0.12753690878776158
isoExpr.M34_darkmagenta	1.5892926400417827e-08	1.4062077146112598e-08	0.12919647705145604
isoExpr.M16_lightcyan	1.2301887477237333e-08	1.1700500171610036e-08	0.1465378189569752
isoExpr.M51_thistle1	1.494842159111115e-08	1.4940546232245187e-08	0.15852774158847055
isoExpr.M39_orangered4	1.3954601665830005e-08	1.4446848159722223e-08	0.16704033867593632
isoExpr.M21_darkred	1.2287748586053118e-08	1.4025008741661538e-08	0.19047934014068468
isoExpr.M11_greenyellow	6.747117177158095e-09	8.809866563160269e-09	0.22188004849187254
isoExpr.M20_royalblue	7.891291555676519e-09	1.0565960189603532e-08	0.22757407868065038
isoExpr.M8_pink	5.456926672637765e-09	8.521925468193689e-09	0.26097590807120985
isoExpr.M36_yellowgreen	8.699717204169651e-09	1.396019408628122e-08	0.2665830402250093
isoExpr.M4_yellow	3.5953271426781254e-09	5.774425376328744e-09	0.2667640356037473
isoExpr.M10_purple	5.369139309413215e-09	8.73373385324934e-09	0.2693570272153837
isoExpr.M53_palevioletred3	7.413521450974145e-09	1.2671739734909256e-08	0.2792591679581231
isoExpr.M42_lightcyan1	7.71108510575338e-09	1.321966494450914e-08	0.27984429275276057
isoExpr.M49_plum2	8.251638137573224e-09	1.553038661348703e-08	0.2975977853372399
isoExpr.M43_ivory	6.4092096641156125e-09	1.2289376758379269e-08	0.30100076125687936
isoExpr.M2_blue	2.7798405741835127e-09	5.614899199048562e-09	0.31027080223033454
isoExpr.M48_darkslateblue	6.217836266960143e-09	1.536114016880877e-08	0.3428207175195801
isoExpr.M23_darkturquoise	4.816744206456253e-09	1.3866304082742748e-08	0.3641565173745158
isoExpr.M22_darkgreen	3.358577685425624e-09	1.1358673838504441e-08	0.3837357230840214
isoExpr.M0_grey	3.8087250540716393e-10	7.681934239697206e-09	0.480228427945558
isoExpr.M9_magenta	-2.6822787052795856e-10	8.034095908339946e-09	0.5133166897420257
isoExpr.M24_darkgrey	-2.3833280055507054e-09	1.1930154813172522e-08	0.5791711107934935
isoExpr.M32_violet	-5.113297138588477e-09	1.3816809698610435e-08	0.6443378088076759
isoExpr.M19_lightyellow	-5.397243582498109e-09	1.1472462189353737e-08	0.6809839648325118
isoExpr.M33_darkolivegreen	-6.726128864689906e-09	1.1976599567383417e-08	0.7128077169020487
isoExpr.M46_brown4	-8.17750010148168e-09	1.4107673616908349e-08	0.7189243575133158
isoExpr.M18_lightgreen	-6.12584942314227e-09	1.035954149870378e-08	0.7228484503800963
isoExpr.M38_plum1	-1.005384201428598e-08	1.4156974356037449e-08	0.7612002784297109
isoExpr.M41_lightsteelblue1	-9.597466339496251e-09	1.2660943885950692e-08	0.7757856407446245
isoExpr.M13_salmon	-8.449935319670251e-09	9.634778456506887e-09	0.8097632940179441
isoExpr.M28_skyblue	-1.051659784743107e-08	1.0337911514330945e-08	0.845490962132615
isoExpr.M5_green	-5.877873619860084e-09	5.705836289746063e-09	0.8485304633850791
isoExpr.M26_darkorange	-1.2214504722773907e-08	1.0082228965932395e-08	0.8871458855110574
isoExpr.M44_floralwhite	-1.625110749985654e-08	1.094765118715252e-08	0.9311535966456876
