Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M11_greenyellow	4.9832131885222484e-08	1.8284245183704048e-08	0.0032110483698566043
isoExpr.M8_pink	2.818381098474122e-08	1.5304936369043838e-08	0.03277525725019631
isoExpr.M27_white	2.7224201843375824e-08	1.492103289212346e-08	0.034034323964799405
isoExpr.M19_lightyellow	2.463830671076489e-08	1.4694281082420004e-08	0.046797880088937344
isoExpr.M22_darkgreen	2.299410054230418e-08	1.597651208835896e-08	0.07504068927432138
isoExpr.M5_green	1.1778956319260446e-08	8.32964947982385e-09	0.07866628938099313
isoExpr.M40_mediumpurple3	2.8433399094688224e-08	2.0676434894171703e-08	0.08454097644213243
isoExpr.M38_plum1	2.5393830524916314e-08	1.8829345577364272e-08	0.088727832810859
isoExpr.M23_darkturquoise	2.0398968453496102e-08	1.7230322112809307e-08	0.1182264387796843
isoExpr.M48_darkslateblue	2.2228408132621176e-08	2.116901446244156e-08	0.14684881680525647
isoExpr.M12_tan	1.7347705909374148e-08	1.803410660144998e-08	0.1680401867680218
isoExpr.M51_thistle1	2.4842059836576114e-08	2.629774009903716e-08	0.1724197700950338
isoExpr.M26_darkorange	1.5910169069671232e-08	1.6959780703680814e-08	0.17409349937646384
isoExpr.M45_darkorange2	2.046789442247153e-08	2.2786964354827107e-08	0.1845319458141641
isoExpr.M7_black	8.660948736835786e-09	1.024589935002809e-08	0.19896922853231735
isoExpr.M30_steelblue	1.2464364406567484e-08	1.548637864473127e-08	0.21045027961151952
isoExpr.M47_bisque4	2.1796469728073456e-08	2.8369263184669123e-08	0.22115066820987
isoExpr.M37_skyblue3	1.232019545829111e-08	1.6415515618207758e-08	0.2264703756195865
isoExpr.M28_skyblue	9.399370492687312e-09	1.344761248535234e-08	0.24228788082196728
isoExpr.M41_lightsteelblue1	1.6886214385521843e-08	2.4323708754453546e-08	0.24376942833669907
isoExpr.M39_orangered4	1.3706449592397922e-08	2.0329297936088947e-08	0.2500852537782694
isoExpr.M24_darkgrey	1.3270289840125715e-08	1.9804606513487414e-08	0.2514095266359745
isoExpr.M36_yellowgreen	1.4077338673653334e-08	2.1619684590315902e-08	0.2574795926100504
isoExpr.M20_royalblue	6.98416308715239e-09	1.0931275044948621e-08	0.26143889172558976
isoExpr.M9_magenta	7.728179786887506e-09	1.2375672994386394e-08	0.2661609878961411
isoExpr.M44_floralwhite	7.945702229627166e-09	1.706197536866226e-08	0.320716378627395
isoExpr.M4_yellow	4.238024968594873e-09	9.786546485363682e-09	0.33249066998525273
isoExpr.M2_blue	3.0603090023349425e-09	7.58993221527285e-09	0.34339820769444107
isoExpr.M3_brown	2.0629872987941755e-09	9.712780360511314e-09	0.4158977840241551
isoExpr.M34_darkmagenta	-2.455818169917415e-10	1.5987827417307575e-08	0.506127731738988
isoExpr.M0_grey	-3.0253385050112336e-10	1.1755280791010287e-08	0.5102660433465688
isoExpr.M10_purple	-6.945923414915946e-10	1.3184067800240985e-08	0.5210082443035077
isoExpr.M49_plum2	-1.510743184066913e-09	1.5148744283368447e-08	0.5397195820812499
isoExpr.M33_darkolivegreen	-3.1803900293976842e-09	2.1282825282087227e-08	0.5593946359038146
isoExpr.M18_lightgreen	-3.96185290403109e-09	1.4976544393848376e-08	0.6043169924787033
isoExpr.M15_midnightblue	-6.6601155636156594e-09	2.0247190187287253e-08	0.628899570281819
isoExpr.M50_thistle2	-8.269905614827848e-09	2.3125461229246643e-08	0.6396825556811709
isoExpr.M13_salmon	-4.993895594402664e-09	1.2837242685723467e-08	0.6513679252311564
isoExpr.M32_violet	-1.436696266929517e-08	3.4148412298085004e-08	0.6630206785241977
isoExpr.M21_darkred	-7.886882330319553e-09	1.8099789984559154e-08	0.6684889101392795
isoExpr.M43_ivory	-1.1139959596214333e-08	2.3222193232882275e-08	0.6842838239685439
isoExpr.M35_sienna3	-9.351020008365313e-09	1.6719340910886574e-08	0.7120193114363944
isoExpr.M14_cyan	-1.0755194208453352e-08	1.7725749858221924e-08	0.7279933703275592
isoExpr.M25_orange	-1.3795645202870986e-08	1.4501833281524494e-08	0.8292748424162837
isoExpr.M53_palevioletred3	-1.7264686088409334e-08	1.7836521027225994e-08	0.8334628870048684
isoExpr.M46_brown4	-1.6612648344894606e-08	1.7026732694801183e-08	0.8353885511159149
isoExpr.M31_paleturquoise	-1.521136639380502e-08	1.5535119950293815e-08	0.8362495090259293
isoExpr.M16_lightcyan	-1.6571784067808774e-08	1.65175325044771e-08	0.8421381897585649
isoExpr.M1_turquoise	-5.9709253272910404e-09	5.663895066518087e-09	0.8541062251439935
isoExpr.M29_saddlebrown	-1.992861763246499e-08	1.8583749556573192e-08	0.858222603868996
isoExpr.M6_red	-1.2305258879411559e-08	8.843767254281995e-09	0.9179486222920933
isoExpr.M42_lightcyan1	-2.5430544413927698e-08	1.688475984440472e-08	0.9339823457563352
isoExpr.M17_grey60	-2.3872108664473413e-08	1.5827222512311673e-08	0.9342603825339835
isoExpr.M52_salmon4	-6.298926742018902e-08	2.1284105151873726e-08	0.9984590617272118
