Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M5_green	2.215972567074047e-08	1.1451194552596685e-08	0.026486232076954885
isoExpr.M4_yellow	2.2544959681193982e-08	1.2136986570227772e-08	0.03161705615590553
isoExpr.M11_greenyellow	2.9699161461068394e-08	1.8649015872111586e-08	0.055632567799388764
isoExpr.M26_darkorange	3.131199104512422e-08	2.3242678332306644e-08	0.08896169039330387
isoExpr.M1_turquoise	9.526323818576891e-09	7.231580049682104e-09	0.09386525677358432
isoExpr.M7_black	1.7668909442285958e-08	1.5838967581916568e-08	0.1323107936034117
isoExpr.M23_darkturquoise	2.2386367850437878e-08	2.047763786250725e-08	0.1371507033599303
isoExpr.M45_darkorange2	2.4258792403423438e-08	2.267064372053285e-08	0.14229770588634527
isoExpr.M0_grey	1.420181721961655e-08	1.4039699887233614e-08	0.15587733334922887
isoExpr.M40_mediumpurple3	1.9034135148801802e-08	1.924629492430667e-08	0.16133729743196285
isoExpr.M20_royalblue	1.7279608418765506e-08	1.7986833909617807e-08	0.16835631002416823
isoExpr.M6_red	1.082346740363727e-08	1.1809433737981491e-08	0.17969965947412087
isoExpr.M14_cyan	2.6566515382287085e-08	2.976018631700769e-08	0.1860125515660812
isoExpr.M12_tan	1.5532195352684944e-08	1.7524098464721437e-08	0.18771892373583537
isoExpr.M34_darkmagenta	1.9376278639851938e-08	2.206812060826874e-08	0.18996609590660446
isoExpr.M22_darkgreen	1.841616672335728e-08	2.189807527980261e-08	0.20017543294505924
isoExpr.M52_salmon4	2.3499661378477124e-08	3.1440825159470606e-08	0.22740350438863333
isoExpr.M3_brown	8.499445310883919e-09	1.1930781882152698e-08	0.23810969157374956
isoExpr.M29_saddlebrown	1.5796480719652227e-08	2.2453670918124993e-08	0.24086761942020313
isoExpr.M50_thistle2	1.982148019495476e-08	3.5721723818555575e-08	0.2894863598736756
isoExpr.M37_skyblue3	1.3302562684634503e-08	2.632219938795714e-08	0.3066479884485122
isoExpr.M30_steelblue	9.387203624293943e-09	1.9454375440720286e-08	0.31471686634557516
isoExpr.M35_sienna3	1.0892843923703794e-08	2.343082533239141e-08	0.32100377830508486
isoExpr.M32_violet	1.2263436171336796e-08	2.6589348028037293e-08	0.3223217755092487
isoExpr.M2_blue	3.247049170450072e-09	8.306683342130293e-09	0.34793706077231457
isoExpr.M24_darkgrey	7.2942909720374646e-09	1.8848919669399444e-08	0.34938283561632844
isoExpr.M38_plum1	1.0578136675096235e-08	2.8556757730410957e-08	0.3555329286237314
isoExpr.M31_paleturquoise	7.206670862343754e-09	2.5920433259837483e-08	0.39049447523009406
isoExpr.M42_lightcyan1	6.695066545728109e-09	2.610279818769519e-08	0.3987868444917185
isoExpr.M17_grey60	9.37788349133092e-10	2.0069250548908587e-08	0.48136515769299326
isoExpr.M8_pink	5.763839535608997e-10	1.495047825269003e-08	0.484623436404138
isoExpr.M49_plum2	1.2942122399341392e-10	2.42690286811681e-08	0.4978725414110709
isoExpr.M48_darkslateblue	-2.740085915867111e-10	2.430595625143893e-08	0.5044973049359194
isoExpr.M25_orange	-1.1048401574987053e-09	1.7867000674954e-08	0.5246536461041312
isoExpr.M16_lightcyan	-2.02018465851139e-09	2.0656607964614257e-08	0.538953838918378
isoExpr.M47_bisque4	-5.9202309498328155e-09	3.6642225705112174e-08	0.5641771838343409
isoExpr.M43_ivory	-5.407374580562906e-09	2.256321791206904e-08	0.5947009080721576
isoExpr.M46_brown4	-1.1767792187913913e-08	2.3046542338783127e-08	0.6951878714215898
isoExpr.M51_thistle1	-2.0931714327461412e-08	3.6848202606662154e-08	0.7150003466634146
isoExpr.M27_white	-1.086799846977849e-08	1.5960235104289328e-08	0.7520459849568505
isoExpr.M21_darkred	-1.2871103998327608e-08	1.7779881877963162e-08	0.765440708413485
isoExpr.M15_midnightblue	-1.466521506010144e-08	1.9395309568879495e-08	0.7752118932239718
isoExpr.M33_darkolivegreen	-2.2318518222505068e-08	2.8070187742531742e-08	0.786721420394157
isoExpr.M13_salmon	-1.663840510570185e-08	1.751112451263722e-08	0.8289850283312954
isoExpr.M53_palevioletred3	-2.4828887515454923e-08	2.56162099767239e-08	0.8337934260120718
isoExpr.M10_purple	-1.5197137228687078e-08	1.509194507266065e-08	0.8430254251679483
isoExpr.M36_yellowgreen	-2.231662309923255e-08	2.0313060890489573e-08	0.8640361697789465
isoExpr.M39_orangered4	-2.686472463148254e-08	2.1759995805479456e-08	0.8915088735759386
isoExpr.M9_magenta	-1.7180893657874124e-08	1.3364372476076796e-08	0.9007041628834264
isoExpr.M41_lightsteelblue1	-2.8800068319376838e-08	2.199835468834583e-08	0.9047653265657718
isoExpr.M28_skyblue	-2.3525289219053745e-08	1.6557757886155907e-08	0.9223127801111084
isoExpr.M19_lightyellow	-3.2833622405604116e-08	1.38555763793312e-08	0.9910988476903814
isoExpr.M44_floralwhite	-4.9263932115111336e-08	1.9645056326693222e-08	0.9939240318272019
isoExpr.M18_lightgreen	-5.1185927260346395e-08	1.563071497700394e-08	0.999471131804334
