Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M1_turquoise	3.4162704830660755e-09	8.604766262385822e-10	3.590508018363027e-05
isoExpr.M47_bisque4	1.0121018821977333e-08	3.751234566759672e-09	0.0034873470869339713
isoExpr.M27_white	3.574476556232928e-09	1.6933404585289201e-09	0.017390347878128307
isoExpr.M17_grey60	4.583665578842659e-09	2.224668885831488e-09	0.019681064302557304
isoExpr.M7_black	2.6678190174089644e-09	1.2975753438445555e-09	0.0198911054301664
isoExpr.M30_steelblue	5.288052221517083e-09	2.6860856954083593e-09	0.024494731450308168
isoExpr.M29_saddlebrown	5.460635647061593e-09	3.2148473082465596e-09	0.04470033777105247
isoExpr.M43_ivory	4.628140080857325e-09	2.7835209737680946e-09	0.04818697932188312
isoExpr.M20_royalblue	3.809234991685147e-09	2.3091946247962147e-09	0.04951293973533352
isoExpr.M8_pink	2.595750613306977e-09	1.7415952528204284e-09	0.0680537337334079
isoExpr.M6_red	1.9706288927399573e-09	1.3661626074797496e-09	0.07458694535603937
isoExpr.M10_purple	2.4597142130247426e-09	1.9979457254477988e-09	0.1091386870149682
isoExpr.M12_tan	1.9072762582759504e-09	1.5691491102084186e-09	0.11209069832447743
isoExpr.M23_darkturquoise	5.957881620274983e-09	4.901925742324826e-09	0.1121036315820293
isoExpr.M24_darkgrey	2.178628071898159e-09	1.8535347938210098e-09	0.11991916588249113
isoExpr.M37_skyblue3	2.610664280159375e-09	2.2272269590427424e-09	0.12056659896194288
isoExpr.M40_mediumpurple3	2.178998418690936e-09	2.0021518108177038e-09	0.13822510710601577
isoExpr.M25_orange	2.790890716360878e-09	2.587114893770002e-09	0.14034610250248364
isoExpr.M39_orangered4	3.0329084875844106e-09	2.9033796174712273e-09	0.14810090293601846
isoExpr.M9_magenta	2.0066979085402133e-09	1.923378540360474e-09	0.1484002229230867
isoExpr.M32_violet	2.6476208172304086e-09	2.6124981412565207e-09	0.15542404295409745
isoExpr.M35_sienna3	2.5814396705470477e-09	2.677146660578044e-09	0.1674602071168083
isoExpr.M53_palevioletred3	2.2126313431117792e-09	2.4906464876043887e-09	0.18716918129409393
isoExpr.M14_cyan	1.5353423158966037e-09	1.8033712697097488e-09	0.19728098363114654
isoExpr.M15_midnightblue	1.8579678929611046e-09	2.184512723119467e-09	0.19751851496449885
isoExpr.M33_darkolivegreen	1.5906803929932792e-09	2.17582752128456e-09	0.23236845598944422
isoExpr.M50_thistle2	2.6458411388673087e-09	3.959601196574655e-09	0.25200009702598525
isoExpr.M0_grey	7.631461055027143e-10	1.2172327110127774e-09	0.26534545138262855
isoExpr.M34_darkmagenta	8.613152835423104e-10	1.8523154621026463e-09	0.32096793319871864
isoExpr.M11_greenyellow	7.749926453861131e-10	1.8017188120507951e-09	0.33354663666557216
isoExpr.M21_darkred	7.554775738582674e-10	1.8469155427506287e-09	0.3412521256497132
isoExpr.M13_salmon	6.175554181964585e-10	1.622010450132066e-09	0.3517001147084352
isoExpr.M19_lightyellow	5.475893856431063e-10	1.9508160553616326e-09	0.38947117468065245
isoExpr.M26_darkorange	5.770358095875496e-10	2.2430250872302247e-09	0.3984898645440833
isoExpr.M36_yellowgreen	5.177510471000446e-10	2.080443433266141e-09	0.40173232741142073
isoExpr.M49_plum2	7.548230045528798e-10	3.0630978480609055e-09	0.4026767393251032
isoExpr.M5_green	2.6719091889793677e-10	1.1337948951630928e-09	0.4068479770088894
isoExpr.M42_lightcyan1	4.441854600348425e-10	2.683235443815905e-09	0.43425909354008874
isoExpr.M3_brown	1.3512982027483898e-10	1.0867044672530439e-09	0.4505197650394721
isoExpr.M2_blue	1.2799395249216034e-10	1.266708748452782e-09	0.459757567402603
isoExpr.M4_yellow	4.805087291571188e-11	1.2665888542856493e-09	0.48486886450397193
isoExpr.M28_skyblue	-3.545971385252661e-11	2.2615506541723053e-09	0.5062549116335952
isoExpr.M45_darkorange2	-1.0454892874941381e-10	2.610588045597568e-09	0.5159725858215023
isoExpr.M16_lightcyan	-4.2676544222733757e-10	2.5692764489444693e-09	0.5659621936695203
isoExpr.M22_darkgreen	-3.390564516892317e-10	1.7682509783879857e-09	0.5760297241697377
isoExpr.M38_plum1	-4.4325878791348547e-10	2.307845156403432e-09	0.5761547803999311
isoExpr.M44_floralwhite	-6.321046172983154e-10	2.8662918127334374e-09	0.5872709689958658
isoExpr.M31_paleturquoise	-5.396392946371343e-10	2.040030227487272e-09	0.6043123546819715
isoExpr.M48_darkslateblue	-8.06916971645185e-10	2.3567697783446538e-09	0.6339685105200856
isoExpr.M46_brown4	-1.3686271719192148e-09	1.711249485083196e-09	0.788081550877083
isoExpr.M51_thistle1	-2.2531838218838392e-09	2.5654993196566362e-09	0.8100995682394334
isoExpr.M18_lightgreen	-2.4185017444682028e-09	1.8327927101845602e-09	0.9065110037511594
isoExpr.M52_salmon4	-5.183908866721447e-09	3.8348166871653634e-09	0.9117805009978928
isoExpr.M41_lightsteelblue1	-4.492401956376328e-09	2.3045207538261914e-09	0.974375365273649
