Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M1_turquoise	1.37854503599357e-09	3.779800883173638e-10	0.00013258945294926527
isoExpr.M47_bisque4	3.81443978718613e-09	1.3731416151814875e-09	0.002735635846332724
isoExpr.M27_white	1.7608450871157788e-09	7.807632693479054e-10	0.012057666643864122
isoExpr.M30_steelblue	2.5763136928409968e-09	1.1805564818256024e-09	0.014544159249162785
isoExpr.M17_grey60	1.7013985708020535e-09	8.343882991280668e-10	0.020720180169377874
isoExpr.M29_saddlebrown	2.7486093560528605e-09	1.3984122816104065e-09	0.024676956910641538
isoExpr.M20_royalblue	1.7317155065996592e-09	9.592913043456383e-10	0.03552146359962582
isoExpr.M8_pink	1.2585994839686723e-09	7.110874914637561e-10	0.038366542863705326
isoExpr.M7_black	8.938556657264725e-10	5.381764733696117e-10	0.048367071993990346
isoExpr.M6_red	8.682274353843081e-10	5.797796902359306e-10	0.06712995488772211
isoExpr.M24_darkgrey	1.3403698037094976e-09	9.042733274341532e-10	0.06913532512258991
isoExpr.M40_mediumpurple3	1.2377404057667867e-09	8.85226975032122e-10	0.08102378700510032
isoExpr.M39_orangered4	1.8221672710122686e-09	1.3247121023539628e-09	0.08448522898009408
isoExpr.M12_tan	9.29591859843351e-10	6.892831655279096e-10	0.08872700970397557
isoExpr.M10_purple	1.088279988403041e-09	8.29805344621002e-10	0.09484642452227915
isoExpr.M25_orange	1.4732460156365064e-09	1.1714813268909148e-09	0.10426960132352803
isoExpr.M23_darkturquoise	3.3434633130857733e-09	2.8127426949408447e-09	0.11728194427589222
isoExpr.M43_ivory	1.2245707712110542e-09	1.0796903765516381e-09	0.1283580614320053
isoExpr.M15_midnightblue	1.2058617817724176e-09	1.1102791093658269e-09	0.13871983831493567
isoExpr.M9_magenta	8.857924825840884e-10	8.225699536590588e-10	0.14077146141103936
isoExpr.M50_thistle2	2.157987195461116e-09	2.0096030471762795e-09	0.14144775041702667
isoExpr.M0_grey	4.799312183687017e-10	4.839982245270747e-10	0.16069706106554826
isoExpr.M14_cyan	7.851080319872003e-10	8.138136748300596e-10	0.1673407818561788
isoExpr.M21_darkred	7.21346687689537e-10	8.567381435405191e-10	0.19990274119032686
isoExpr.M37_skyblue3	8.373023320931551e-10	1.031689229270749e-09	0.20851522638557352
isoExpr.M35_sienna3	8.507640232913744e-10	1.119909327843626e-09	0.22372526422863503
isoExpr.M11_greenyellow	4.024027963825106e-10	7.507113747665526e-10	0.29596937883624996
isoExpr.M36_yellowgreen	4.3578944216332937e-10	9.226264841478062e-10	0.3183435899955862
isoExpr.M5_green	2.2555477996896305e-10	4.925799454467223e-10	0.3235103764030068
isoExpr.M53_palevioletred3	4.017173973947543e-10	9.024857930964746e-10	0.3281153485684152
isoExpr.M26_darkorange	4.719593109726659e-10	1.1596921734900217e-09	0.34201520518378936
isoExpr.M42_lightcyan1	3.7756413212213205e-10	1.0208238202952587e-09	0.35574258799667646
isoExpr.M32_violet	3.4057975020020594e-10	1.0655742067494267e-09	0.3746278775454047
isoExpr.M49_plum2	4.494744270658632e-10	1.422967560145218e-09	0.37605014799092396
isoExpr.M19_lightyellow	2.299499779247991e-10	7.725692943674353e-10	0.3829877590420001
isoExpr.M2_blue	1.7338123816791322e-10	6.564955882004043e-10	0.39585098985202966
isoExpr.M33_darkolivegreen	1.4171144715250665e-10	8.428331508540683e-10	0.43323774643158386
isoExpr.M13_salmon	5.552567989913929e-11	7.11091516197447e-10	0.46888016422037176
isoExpr.M38_plum1	3.616675018560725e-11	1.0318464138078323e-09	0.48601972946008715
isoExpr.M45_darkorange2	-3.6028460530799324e-11	1.159164113940005e-09	0.5123976942853526
isoExpr.M34_darkmagenta	-4.313294823181643e-11	6.88115715685407e-10	0.5249904115648379
isoExpr.M16_lightcyan	-8.277620064657157e-11	1.1445047650434747e-09	0.5288283281448362
isoExpr.M3_brown	-4.72146171223351e-11	4.3424982917138453e-10	0.543290428550205
isoExpr.M4_yellow	-9.817415725689597e-11	5.535789155406874e-10	0.5703810873251919
isoExpr.M44_floralwhite	-2.7408523307180384e-10	1.207581556228707e-09	0.5897766090254642
isoExpr.M28_skyblue	-2.3081891450769533e-10	9.629604200485282e-10	0.5947174963633282
isoExpr.M22_darkgreen	-2.2619195145209325e-10	8.152121173195915e-10	0.6092880476818876
isoExpr.M48_darkslateblue	-4.126336917051426e-10	1.020512690410403e-09	0.6570184949625403
isoExpr.M31_paleturquoise	-3.283905484808192e-10	7.485998117078881e-10	0.6695507644396037
isoExpr.M18_lightgreen	-8.239348227246776e-10	9.85208323748091e-10	0.7985083795925912
isoExpr.M52_salmon4	-1.8062645380380197e-09	1.6061780564231924e-09	0.869614998065335
isoExpr.M46_brown4	-8.512144288936852e-10	7.386194775735148e-10	0.8754297879161987
isoExpr.M51_thistle1	-1.3285350079704798e-09	9.684807449195648e-10	0.9149328253276294
isoExpr.M41_lightsteelblue1	-1.988326170815694e-09	9.607180942714293e-10	0.9807562617343982
