Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M22_darkgreen	5.5800674143745925e-08	3.338990449503343e-08	0.04734266982304356
isoExpr.M21_darkred	3.912693028540853e-08	2.7214885599180124e-08	0.07525913105711397
isoExpr.M50_thistle2	4.81410458224034e-08	3.9759799960539404e-08	0.1129866109536718
isoExpr.M29_saddlebrown	2.6578736999394098e-08	3.1293244433156105e-08	0.1978448844995766
isoExpr.M41_lightsteelblue1	7.162076850070919e-08	8.48896125784747e-08	0.19942050129126782
isoExpr.M27_white	2.0463568281108892e-08	2.4705877904694e-08	0.20375386802867163
isoExpr.M32_violet	2.2245986723919817e-08	2.7738665470405412e-08	0.21128088954815644
isoExpr.M45_darkorange2	2.5376874742799868e-08	3.38329973568269e-08	0.22660842347571286
isoExpr.M15_midnightblue	3.995809326747846e-08	5.5600632015610994e-08	0.23617442452925808
isoExpr.M2_blue	8.940470984226065e-09	1.3201426895991837e-08	0.24912836874827282
isoExpr.M10_purple	1.2458232117392226e-08	2.3579854396977194e-08	0.29863092387898454
isoExpr.M40_mediumpurple3	1.4241032067232693e-08	2.7449727823130243e-08	0.3019486699988021
isoExpr.M33_darkolivegreen	2.1149035462026146e-08	4.1076682050480665e-08	0.3033229181938115
isoExpr.M11_greenyellow	7.889700053113238e-09	1.623504572093045e-08	0.3134952033113289
isoExpr.M7_black	5.9735646151203475e-09	1.5399650187953024e-08	0.34904405054420123
isoExpr.M49_plum2	9.453957627855229e-09	2.656942742048052e-08	0.36098734737014554
isoExpr.M46_brown4	1.7362680370454464e-08	4.9303176672939074e-08	0.3623585763107676
isoExpr.M37_skyblue3	6.634402334866616e-09	3.110741412525707e-08	0.41555662983662967
isoExpr.M3_brown	2.6746330569380663e-09	1.300767337891128e-08	0.41854401923270773
isoExpr.M12_tan	4.941427313722065e-09	2.4161057736462403e-08	0.41897345638247285
isoExpr.M24_darkgrey	3.620733876966585e-09	2.3005247525678946e-08	0.4374698095028759
isoExpr.M48_darkslateblue	1.1550259994859441e-09	2.258644700762892e-08	0.47960777317980563
isoExpr.M20_royalblue	-1.1363107790064663e-09	1.9046947160974073e-08	0.5237861557415682
isoExpr.M14_cyan	-1.4055697300929143e-09	2.0325350656963337e-08	0.5275662935830447
isoExpr.M51_thistle1	-4.308647618407909e-09	3.556935211697498e-08	0.5482074358584084
isoExpr.M19_lightyellow	-4.982781918809032e-09	2.0379960558342697e-08	0.5965759488413582
isoExpr.M18_lightgreen	-1.0053869270833856e-08	2.500896297708449e-08	0.6561619029706569
isoExpr.M47_bisque4	-1.120797605207139e-08	2.7729696407334928e-08	0.656962304191891
isoExpr.M0_grey	-5.596084082387527e-09	1.2213556462683803e-08	0.6765906943823776
isoExpr.M36_yellowgreen	-1.4124962904146278e-08	2.5751138636477548e-08	0.7083318613020428
isoExpr.M17_grey60	-1.1328680943362134e-08	1.9666283683133422e-08	0.7177079017815565
isoExpr.M53_palevioletred3	-1.312317626605084e-08	2.256243018794711e-08	0.7195948711138567
isoExpr.M5_green	-6.0922156119676095e-09	1.0473581104437576e-08	0.7196070425715039
isoExpr.M9_magenta	-9.391886416830089e-09	1.598079084485257e-08	0.7216326504897043
isoExpr.M13_salmon	-1.239518892524218e-08	2.0800594762340623e-08	0.7243808222688574
isoExpr.M43_ivory	-1.7124314434445286e-08	2.3922707783830162e-08	0.7629482556390383
isoExpr.M25_orange	-1.3333392752977534e-08	1.799851006136801e-08	0.770594268071648
isoExpr.M4_yellow	-8.648105499501957e-09	1.1332373327873633e-08	0.7773078921505423
isoExpr.M38_plum1	-1.5324274100717002e-08	1.9754418836760737e-08	0.7810484609841328
isoExpr.M26_darkorange	-1.996722182947081e-08	2.2421686296823327e-08	0.8134097656153817
isoExpr.M23_darkturquoise	-1.890960538271524e-08	1.8116296651133672e-08	0.8517086705943591
isoExpr.M16_lightcyan	-1.890246507010973e-08	1.645730615593901e-08	0.8746345483417358
isoExpr.M8_pink	-1.754708521130767e-08	1.3271533943427245e-08	0.9069424845738292
isoExpr.M34_darkmagenta	-2.8808813320724956e-08	2.0743590037699777e-08	0.9175540589945843
isoExpr.M39_orangered4	-2.221428486298727e-08	1.5949719817915442e-08	0.9181552627150213
isoExpr.M28_skyblue	-2.635960487739228e-08	1.5128535791377413e-08	0.9592787052823462
isoExpr.M30_steelblue	-2.8160654779169626e-08	1.4458708692618024e-08	0.974272196050563
isoExpr.M42_lightcyan1	-3.985880459923844e-08	2.0195972150156984e-08	0.9757864738119784
isoExpr.M31_paleturquoise	-2.9353121751614537e-08	1.4031512656650536e-08	0.9817781832005064
isoExpr.M6_red	-2.089901921389446e-08	9.838282907397924e-09	0.9831755764252054
isoExpr.M44_floralwhite	-2.7438605996038406e-08	1.2590738083334494e-08	0.9853441570103515
isoExpr.M1_turquoise	-1.9317231204880297e-08	7.2198196102909936e-09	0.9962700371259882
isoExpr.M52_salmon4	-5.4038089431508166e-08	2.0196300686400174e-08	0.9962706970404687
isoExpr.M35_sienna3	-4.457130444268872e-08	1.3261101073373438e-08	0.999611774711602
