Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M8_pink	7.59012091537018e-08	1.9425626672769032e-08	4.6672007316083946e-05
isoExpr.M10_purple	3.941466238728204e-08	2.0129052858382247e-08	0.025109244836829313
isoExpr.M45_darkorange2	5.7051951275137306e-08	3.028472003501158e-08	0.02979245212601608
isoExpr.M15_midnightblue	5.615334060340339e-08	3.3497299262891344e-08	0.04683441045788124
isoExpr.M24_darkgrey	3.4553340002308854e-08	2.440761645654019e-08	0.07843481511787065
isoExpr.M49_plum2	4.5570123020534726e-08	3.611764640121619e-08	0.1035259438591859
isoExpr.M5_green	1.744419963203986e-08	1.4027179278947239e-08	0.1068234149111903
isoExpr.M26_darkorange	3.3247332163712814e-08	2.8961298357694052e-08	0.12548598067503824
isoExpr.M43_ivory	5.3752034464186504e-08	4.918192128494415e-08	0.1372138870021709
isoExpr.M20_royalblue	1.749230389936265e-08	1.6088658654333196e-08	0.13846440839743085
isoExpr.M34_darkmagenta	2.5822775929329633e-08	2.7535402284569888e-08	0.1741728943182575
isoExpr.M11_greenyellow	2.4668395799288102e-08	2.7351603238854978e-08	0.18355514293195324
isoExpr.M50_thistle2	4.318411403913853e-08	4.7978248594353914e-08	0.18403965979075998
isoExpr.M44_floralwhite	2.344424220335049e-08	2.6448452811312282e-08	0.18769761209972696
isoExpr.M23_darkturquoise	2.075843926725505e-08	2.42471408705065e-08	0.1959659655584985
isoExpr.M3_brown	1.0161281974500002e-08	1.2550277522205206e-08	0.2090718315088877
isoExpr.M40_mediumpurple3	2.0800561180205397e-08	3.164596871023484e-08	0.25549741130866155
isoExpr.M27_white	1.4010706797080113e-08	2.3197436243840658e-08	0.2729296267006338
isoExpr.M51_thistle1	2.3119829010406666e-08	4.345322911572308e-08	0.297341391880113
isoExpr.M1_turquoise	4.927311703605832e-09	9.425601933944056e-09	0.30057122868266045
isoExpr.M7_black	8.204330880936845e-09	1.7729143406938648e-08	0.32176835490541655
isoExpr.M28_skyblue	1.1202318657531572e-08	2.7297225252825036e-08	0.34076248772501816
isoExpr.M22_darkgreen	1.106656019334428e-08	2.7131411250525597e-08	0.34167817993025185
isoExpr.M38_plum1	8.91478756855e-09	2.5425176519136595e-08	0.362933594305081
isoExpr.M6_red	5.058028845518082e-09	1.5512835756581338e-08	0.37219158644393546
isoExpr.M17_grey60	8.390444438156236e-09	2.6991670073020846e-08	0.3779561482870086
isoExpr.M32_violet	1.2128179541031549e-08	4.0876226710916256e-08	0.38334588189280067
isoExpr.M33_darkolivegreen	8.895533779464576e-09	3.949092883046077e-08	0.4108904070643949
isoExpr.M25_orange	4.313212518764268e-09	2.655437868621469e-08	0.4354838495003931
isoExpr.M41_lightsteelblue1	3.2586087628904938e-09	2.9208825499990424e-08	0.45558516479810207
isoExpr.M19_lightyellow	1.4208289008261791e-09	2.28202022825135e-08	0.47517713888065527
isoExpr.M47_bisque4	-2.3130623119337273e-10	4.294331236537943e-08	0.5021488186183679
isoExpr.M2_blue	-1.6542875945241168e-09	1.1911745857544457e-08	0.5552269924774336
isoExpr.M37_skyblue3	-3.877703246168237e-09	2.302183675546026e-08	0.5668798069379452
isoExpr.M12_tan	-6.301013553545804e-09	2.6908620257360513e-08	0.5925709295725478
isoExpr.M31_paleturquoise	-5.711649226006796e-09	1.8446732305916967e-08	0.6215785723681426
isoExpr.M48_darkslateblue	-1.0315600228950342e-08	2.803953531297723e-08	0.6435241743306421
isoExpr.M35_sienna3	-1.0006660463302348e-08	2.659390273589448e-08	0.6466443234705874
isoExpr.M42_lightcyan1	-1.3423145855369646e-08	3.406308930002562e-08	0.653234282834182
isoExpr.M30_steelblue	-8.339620315314698e-09	2.0493599646659044e-08	0.6579731631202411
isoExpr.M13_salmon	-1.4362586979732517e-08	2.401395178923071e-08	0.7251112056705782
isoExpr.M14_cyan	-1.6328209911720952e-08	2.6993328218849167e-08	0.7273766097334522
isoExpr.M9_magenta	-1.3307449901073972e-08	1.8976565706989528e-08	0.758428684205974
isoExpr.M36_yellowgreen	-2.0313369890194593e-08	2.8636263429409765e-08	0.7609489073182054
isoExpr.M0_grey	-1.4377890807612078e-08	1.8235940633133675e-08	0.7847794399611867
isoExpr.M21_darkred	-2.5355633181684505e-08	2.7506831619701664e-08	0.8216819890669267
isoExpr.M29_saddlebrown	-2.497507979782724e-08	2.4529026146448363e-08	0.8457049119444635
isoExpr.M18_lightgreen	-2.9046723344752478e-08	2.4249245949761596e-08	0.8845103969586334
isoExpr.M39_orangered4	-3.576812660155803e-08	2.873070895542856e-08	0.893423850548125
isoExpr.M53_palevioletred3	-4.6661537263981205e-08	3.165646780868804e-08	0.9297587949476521
isoExpr.M16_lightcyan	-3.843244847616436e-08	2.2979127609018295e-08	0.9527865053722991
isoExpr.M4_yellow	-2.7405249011921684e-08	1.4931641317793718e-08	0.96677536280777
isoExpr.M52_salmon4	-6.958168769531419e-08	3.059812244347997e-08	0.9885185366487889
isoExpr.M46_brown4	-7.675419325639599e-08	2.811535063669331e-08	0.9968330397775579
