Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M1_turquoise	9.638996122201377e-09	3.0179139238387468e-09	0.0007017585341629019
isoExpr.M8_pink	1.310192034612148e-08	5.860120702212797e-09	0.01268320643604177
isoExpr.M25_orange	1.5789966915808522e-08	7.579338343339046e-09	0.01861235595137922
isoExpr.M40_mediumpurple3	2.002259195477924e-08	1.0156628300228942e-08	0.024340111874806284
isoExpr.M27_white	1.8871010934661315e-08	9.952086983643063e-09	0.028967707451785115
isoExpr.M51_thistle1	2.4137334784292337e-08	1.5727727643151365e-08	0.062428836910568976
isoExpr.M23_darkturquoise	3.356892306969288e-08	2.204278412670891e-08	0.06389204950479642
isoExpr.M6_red	6.165034221244748e-09	4.270002182438097e-09	0.07439745395397661
isoExpr.M47_bisque4	1.548689129226768e-08	1.0761116359192039e-08	0.07505361025988838
isoExpr.M37_skyblue3	1.3004835893507367e-08	9.556369415477709e-09	0.08677971220694114
isoExpr.M19_lightyellow	8.292208695914986e-09	6.432865855407111e-09	0.09869243374679582
isoExpr.M29_saddlebrown	9.73404611366768e-09	8.342072612626331e-09	0.12163308635207498
isoExpr.M20_royalblue	7.45491051924886e-09	6.447440030098709e-09	0.12378761799266769
isoExpr.M5_green	4.696465351237882e-09	4.141530954302703e-09	0.12839883128701796
isoExpr.M10_purple	8.0727669124073e-09	7.200645336461387e-09	0.1311190016772419
isoExpr.M17_grey60	7.20484263346377e-09	6.861767331267943e-09	0.14685949405727466
isoExpr.M45_darkorange2	1.020267629235877e-08	1.0311245006578232e-08	0.1612164141702534
isoExpr.M12_tan	6.254181453606418e-09	6.386688039210741e-09	0.16372756964104956
isoExpr.M7_black	3.862013152030554e-09	3.96596329198426e-09	0.16508055003390604
isoExpr.M50_thistle2	1.0221403602205236e-08	1.0514621178290592e-08	0.16549708105087024
isoExpr.M2_blue	4.066378711157401e-09	4.6283406188132895e-09	0.18981386502504566
isoExpr.M14_cyan	5.757400807320494e-09	6.9579655809109346e-09	0.203989714872521
isoExpr.M52_salmon4	7.478630548384236e-09	9.223621247795864e-09	0.20873657955053365
isoExpr.M30_steelblue	6.535111487363555e-09	8.15498518137105e-09	0.2114604769785413
isoExpr.M3_brown	2.590073953629741e-09	3.3240096865541253e-09	0.2179304584101866
isoExpr.M39_orangered4	6.394404532027913e-09	8.272973974382578e-09	0.2197828074255867
isoExpr.M31_paleturquoise	6.244429152837884e-09	8.272323797680046e-09	0.2251671176945888
isoExpr.M22_darkgreen	4.708297506731568e-09	6.754799862512138e-09	0.24289203944749665
isoExpr.M43_ivory	6.424927286668292e-09	9.452759703990185e-09	0.24835101962722006
isoExpr.M26_darkorange	5.010408405080311e-09	7.567622259064104e-09	0.2539584071744154
isoExpr.M35_sienna3	6.92582646396743e-09	1.2286467517169047e-08	0.2864806898430346
isoExpr.M46_brown4	5.222135608351007e-09	9.634623248101958e-09	0.29390318220973977
isoExpr.M4_yellow	1.8684441143239325e-09	3.840672005385252e-09	0.31331030377108426
isoExpr.M15_midnightblue	2.80617124310874e-09	6.782649215728722e-09	0.33953669454197355
isoExpr.M0_grey	1.7139651765734761e-09	4.353466166915392e-09	0.34690080030307735
isoExpr.M16_lightcyan	3.0815084131699126e-09	7.852305173603242e-09	0.3473689307077682
isoExpr.M28_skyblue	2.9237206487791978e-09	7.721604896937198e-09	0.3524770218456869
isoExpr.M41_lightsteelblue1	3.88224057732387e-09	1.1124841390673712e-08	0.36355575816870267
isoExpr.M24_darkgrey	1.242637946549605e-09	8.94169049818332e-09	0.44473643206131985
isoExpr.M36_yellowgreen	4.431830630430024e-10	8.069995700620605e-09	0.4781021406673979
isoExpr.M9_magenta	1.1352879920128519e-10	5.831063286236342e-09	0.492233221530058
isoExpr.M18_lightgreen	-8.050350207509349e-10	6.5004149324997395e-09	0.5492804593980221
isoExpr.M13_salmon	-6.820808740886172e-10	5.41646844986749e-09	0.5501052365114558
isoExpr.M11_greenyellow	-8.831277875617358e-10	5.214448523845284e-09	0.5672439204189363
isoExpr.M49_plum2	-2.8223153462310235e-09	9.87705314543184e-09	0.6124631577484176
isoExpr.M42_lightcyan1	-2.3294163157416115e-09	7.715284542515025e-09	0.6186443453362125
isoExpr.M34_darkmagenta	-2.0719893954550994e-09	6.714619364147697e-09	0.6211790371282011
isoExpr.M21_darkred	-3.60131312887828e-09	6.516580323233089e-09	0.7097445108670195
isoExpr.M44_floralwhite	-6.245654466174229e-09	8.078458481295954e-09	0.7802756592843619
isoExpr.M38_plum1	-6.3815753532716176e-09	6.7005381211180715e-09	0.8295522713598346
isoExpr.M33_darkolivegreen	-6.872974729539995e-09	6.275581264728825e-09	0.8632840259224157
isoExpr.M53_palevioletred3	-9.199540904752309e-09	6.197388262328943e-09	0.9311515295547064
isoExpr.M32_violet	-1.0530248126673433e-08	6.326283386101799e-09	0.9519960826250522
isoExpr.M48_darkslateblue	-1.2164951201181733e-08	7.301676835350558e-09	0.9521481698079056
