Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M15_midnightblue	4.405120039717865e-09	2.1559517964795333e-09	0.020514501463591423
isoExpr.M1_turquoise	1.6376848134147658e-09	8.212574974041799e-10	0.023069550007980263
isoExpr.M47_bisque4	6.154393500955501e-09	3.713332402095109e-09	0.0487215906958174
isoExpr.M48_darkslateblue	5.019677623530752e-09	3.049448128049875e-09	0.04987222549031735
isoExpr.M7_black	2.231588688729013e-09	1.3611584228084549e-09	0.050556920262667594
isoExpr.M21_darkred	3.2815905935704217e-09	2.227688642391594e-09	0.07036309844504637
isoExpr.M26_darkorange	3.583924373851699e-09	2.6397191451628957e-09	0.08728078983082055
isoExpr.M2_blue	1.2942216231879029e-09	1.0040295073115238e-09	0.09869426705580492
isoExpr.M13_salmon	2.177021121749144e-09	1.7712016279804063e-09	0.10951322074973141
isoExpr.M20_royalblue	2.338657969362907e-09	1.945539684106918e-09	0.11466988868946171
isoExpr.M31_paleturquoise	2.45275753012557e-09	2.0577996409088036e-09	0.11664392728328127
isoExpr.M36_yellowgreen	3.2734350977762977e-09	2.7880070828270647e-09	0.12017490236275513
isoExpr.M43_ivory	3.823981942513423e-09	3.299195205387784e-09	0.12321482997738215
isoExpr.M4_yellow	1.2215031494103064e-09	1.137368910102592e-09	0.1414174606559856
isoExpr.M37_skyblue3	2.906509313856638e-09	2.927373374720153e-09	0.16038598042305885
isoExpr.M49_plum2	4.1196083916738406e-09	4.558626747800029e-09	0.18307856434281866
isoExpr.M19_lightyellow	2.116830550085658e-09	2.3577209873848177e-09	0.18463832974372113
isoExpr.M51_thistle1	3.8074538414368175e-09	4.24352258958037e-09	0.1847957070747166
isoExpr.M10_purple	1.3046317308627838e-09	1.5312897145896693e-09	0.1971119584172435
isoExpr.M30_steelblue	1.972411406185501e-09	2.666375378554526e-09	0.22973037867900004
isoExpr.M16_lightcyan	1.5980516428747266e-09	2.325617700519778e-09	0.245993638371448
isoExpr.M3_brown	6.746521321717782e-10	9.974114751942566e-10	0.2493924007652107
isoExpr.M6_red	8.600067257649868e-10	1.2881040662532414e-09	0.2521775139396214
isoExpr.M17_grey60	1.3540162546095646e-09	2.131580165855836e-09	0.26264340332554914
isoExpr.M24_darkgrey	1.568849825379122e-09	2.4918201115081087e-09	0.26447817713303357
isoExpr.M34_darkmagenta	1.0629525449482931e-09	1.927023208580534e-09	0.29061005479686536
isoExpr.M5_green	5.29112805866986e-10	1.0874242762019458e-09	0.3132799873751764
isoExpr.M32_violet	1.1764273291255414e-09	2.6011511476468773e-09	0.3255365919309149
isoExpr.M44_floralwhite	1.3143888664202015e-09	2.979442843302504e-09	0.3295512738983398
isoExpr.M40_mediumpurple3	1.0007480118434064e-09	2.6337703591707263e-09	0.35198464714051597
isoExpr.M38_plum1	5.835318089450613e-10	2.307767811634357e-09	0.4001899348269672
isoExpr.M41_lightsteelblue1	5.830188977500405e-10	2.620637546021638e-09	0.41197317133081135
isoExpr.M11_greenyellow	2.83591223768924e-10	1.995807349683553e-09	0.44350308168114
isoExpr.M45_darkorange2	2.258710256798169e-10	2.519898928856121e-09	0.46428865328539587
isoExpr.M14_cyan	-8.82091069673227e-11	1.96295019237812e-09	0.5179212404349938
isoExpr.M25_orange	-2.0895924166395902e-10	2.0481229258197425e-09	0.5406314873980569
isoExpr.M9_magenta	-2.320123094586593e-10	1.6921598516778102e-09	0.5545281394398096
isoExpr.M29_saddlebrown	-4.375775109223743e-10	2.69833905053787e-09	0.5644122378228957
isoExpr.M33_darkolivegreen	-7.568842200088024e-10	2.399385940747784e-09	0.6237896674144765
isoExpr.M12_tan	-1.103758930011569e-09	1.703201396924267e-09	0.7415235545878701
isoExpr.M23_darkturquoise	-1.3736515056328797e-09	1.788402149909529e-09	0.7787827589613545
isoExpr.M27_white	-1.3974595470482981e-09	1.8083130510485915e-09	0.7801788411731494
isoExpr.M42_lightcyan1	-2.135069635198231e-09	2.621528442202341e-09	0.7923026616197508
isoExpr.M46_brown4	-1.8299461361297787e-09	2.2342016152400543e-09	0.7936240317051486
isoExpr.M8_pink	-1.4076675500605962e-09	1.3884209367830471e-09	0.844675752429505
isoExpr.M50_thistle2	-3.1310699288608175e-09	3.035037016045004e-09	0.848879937873987
isoExpr.M18_lightgreen	-2.014487282270911e-09	1.9233476704134647e-09	0.8525391900964331
isoExpr.M0_grey	-1.7670798969913373e-09	1.4509245879924124e-09	0.8883688601281827
isoExpr.M39_orangered4	-3.211050231896947e-09	2.3563958508955725e-09	0.913510765701744
isoExpr.M52_salmon4	-4.470414199696395e-09	2.8970559968812295e-09	0.9385953647472972
isoExpr.M22_darkgreen	-3.830467266074647e-09	1.821672539774026e-09	0.982254873240009
isoExpr.M35_sienna3	-3.3536096146655597e-09	1.5654697814545134e-09	0.9839128519978385
isoExpr.M53_palevioletred3	-5.065205967777286e-09	1.7986752628712572e-09	0.9975692906061993
isoExpr.M28_skyblue	-6.5952553784897414e-09	1.6446736633277268e-09	0.9999696495361583
