Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M1_turquoise	1.3482915044835005e-09	5.31720902003061e-10	0.005610936027510836
isoExpr.M29_saddlebrown	4.49276626037759e-09	1.831119931971838e-09	0.00707245789455053
isoExpr.M48_darkslateblue	4.769914119786703e-09	2.646690055665027e-09	0.03575550754665957
isoExpr.M31_paleturquoise	2.884982953026729e-09	1.6790080255398515e-09	0.0428740241764697
isoExpr.M34_darkmagenta	1.9388333979252824e-09	1.2693520571030067e-09	0.06332833458855527
isoExpr.M25_orange	2.129161349633564e-09	1.3959225088076e-09	0.06359564922918844
isoExpr.M30_steelblue	3.376167500647429e-09	2.3152764734051983e-09	0.07239084651271065
isoExpr.M12_tan	1.531218602610197e-09	1.207424250822811e-09	0.10236871408164805
isoExpr.M7_black	1.1154559672459175e-09	8.92725585552872e-10	0.10574207911447114
isoExpr.M9_magenta	1.5515462088155677e-09	1.2784772556634137e-09	0.1124523137891314
isoExpr.M6_red	1.055034873798991e-09	9.009324241308998e-10	0.12078979534500106
isoExpr.M15_midnightblue	1.215359289170022e-09	1.0789882764291922e-09	0.13000069282132903
isoExpr.M8_pink	1.162466644969364e-09	1.0786349429287658e-09	0.1405793249557138
isoExpr.M2_blue	6.889204563201394e-10	6.468606665518226e-10	0.14343312160600863
isoExpr.M50_thistle2	2.168476003194174e-09	2.215109502867147e-09	0.16380294989490474
isoExpr.M37_skyblue3	1.2793966173582726e-09	1.691925111112894e-09	0.22477122808680577
isoExpr.M4_yellow	5.791655052656176e-10	7.897581397284318e-10	0.23167389326623106
isoExpr.M20_royalblue	9.356069210562248e-10	1.3048257728163543e-09	0.23667597307100702
isoExpr.M39_orangered4	1.3509955603300807e-09	1.911826818760402e-09	0.239891494085544
isoExpr.M26_darkorange	1.0381428303198733e-09	1.6063431271238977e-09	0.259049947238006
isoExpr.M38_plum1	1.0627241414529656e-09	1.7734556287099123e-09	0.274506691132614
isoExpr.M41_lightsteelblue1	1.084396600512199e-09	1.9537575366645004e-09	0.28943662315002133
isoExpr.M46_brown4	1.0339434026362442e-09	1.932824636198987e-09	0.2963459972047775
isoExpr.M17_grey60	1.0015735814067816e-09	1.9794892169392675e-09	0.30643682960466656
isoExpr.M24_darkgrey	5.266621875264011e-10	1.2301334642204352e-09	0.33427671497818023
isoExpr.M47_bisque4	7.399346319601922e-10	1.8712193306721304e-09	0.34626310723865633
isoExpr.M32_violet	3.7462574672013444e-10	1.978097597449151e-09	0.424894800466623
isoExpr.M21_darkred	2.22125309407109e-10	1.1765707103620322e-09	0.4251285300070175
isoExpr.M53_palevioletred3	2.0295252109766807e-10	2.0727653459343926e-09	0.46100033460259493
isoExpr.M23_darkturquoise	6.892153543694939e-11	1.3326858257671244e-09	0.47937738786258416
isoExpr.M27_white	3.362248736121641e-11	1.1070110114901026e-09	0.48788506197149384
isoExpr.M40_mediumpurple3	2.5060053881490043e-12	1.7859878155764322e-09	0.4994402250858201
isoExpr.M10_purple	-4.1480523956897545e-11	1.0648282597086461e-09	0.5155369189965925
isoExpr.M45_darkorange2	-1.5643949976723916e-10	1.6846813133982867e-09	0.5369926064678977
isoExpr.M3_brown	-8.35332287530473e-11	6.869002699225096e-10	0.5483956421977743
isoExpr.M14_cyan	-1.8577882939683545e-10	1.285062087664226e-09	0.5574740098313324
isoExpr.M16_lightcyan	-2.5229161574004347e-10	1.2125642471550656e-09	0.582410710781333
isoExpr.M13_salmon	-3.384293310797312e-10	1.045881983816882e-09	0.6268730117467816
isoExpr.M11_greenyellow	-5.03529074383461e-10	1.4383017178265243e-09	0.6368628637557603
isoExpr.M42_lightcyan1	-5.734849205053171e-10	1.5462934127335676e-09	0.6446354888841445
isoExpr.M0_grey	-4.6010976864144837e-10	1.1050335472365345e-09	0.6614326622774394
isoExpr.M51_thistle1	-9.534577936269302e-10	1.6255453986654647e-09	0.7212458033209084
isoExpr.M28_skyblue	-9.62130782450147e-10	1.176671835168943e-09	0.7932275470805863
isoExpr.M18_lightgreen	-9.388229492042946e-10	1.0548346419202652e-09	0.8132721773430212
isoExpr.M33_darkolivegreen	-1.2869098884626633e-09	1.3651984225557873e-09	0.8270710705567994
isoExpr.M36_yellowgreen	-1.252995720883959e-09	1.3033674750907097e-09	0.8318125475922273
isoExpr.M5_green	-6.598624966967254e-10	6.743177318170808e-10	0.8361020675285702
isoExpr.M22_darkgreen	-1.145402560252059e-09	1.1112670374502506e-09	0.8486633795888122
isoExpr.M19_lightyellow	-1.3192638258050718e-09	1.2207459387900635e-09	0.8600853809178493
isoExpr.M35_sienna3	-1.2922682480865073e-09	1.1345911520571505e-09	0.872642711187732
isoExpr.M43_ivory	-1.476246609152498e-09	1.1502196262891288e-09	0.9003323452688776
isoExpr.M49_plum2	-2.4666779761397384e-09	1.7947770224559938e-09	0.9153357373665763
isoExpr.M52_salmon4	-3.03967176450977e-09	1.8095907539400372e-09	0.9534976454675942
isoExpr.M44_floralwhite	-1.9861142805198887e-09	1.1235179151278517e-09	0.9614497990909261
