Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M1_turquoise	6.184308829531588e-09	1.347081939255227e-09	2.206769546572517e-06
isoExpr.M7_black	4.6474489808643935e-09	2.129413119239332e-09	0.014536241705918674
isoExpr.M29_saddlebrown	1.0733500018711791e-08	4.94042834403355e-09	0.014905786701379441
isoExpr.M49_plum2	9.81557634713848e-09	4.620911173327063e-09	0.01682818737477056
isoExpr.M48_darkslateblue	1.1141478478743464e-08	6.265502218648592e-09	0.03768337833073829
isoExpr.M13_salmon	4.529891090725079e-09	2.7144323949411905e-09	0.04757682027121493
isoExpr.M16_lightcyan	3.943699907129214e-09	2.8079836181062366e-09	0.08009099797667485
isoExpr.M31_paleturquoise	7.3136670063466945e-09	5.471470485770193e-09	0.0906617111747644
isoExpr.M50_thistle2	6.343445801447713e-09	5.07949650058267e-09	0.10586297448003518
isoExpr.M30_steelblue	5.891325818888667e-09	4.844750335251867e-09	0.11198815961830744
isoExpr.M47_bisque4	5.498597382528581e-09	4.759034199133376e-09	0.12396293236357037
isoExpr.M41_lightsteelblue1	6.042366710917638e-09	5.2488832845623675e-09	0.12483077064449677
isoExpr.M2_blue	1.621024076889638e-09	1.5950983010674529e-09	0.15475436586203906
isoExpr.M8_pink	2.342932201047231e-09	2.386178538102624e-09	0.16308039160503118
isoExpr.M6_red	1.926893748506556e-09	2.243843015214984e-09	0.19524002121436612
isoExpr.M43_ivory	2.554665378798623e-09	3.4080349621866197e-09	0.22674761583712527
isoExpr.M27_white	2.218308996990793e-09	3.0703542743837488e-09	0.23499576117842524
isoExpr.M10_purple	1.5498786073854986e-09	2.3461245643803575e-09	0.2544305082218204
isoExpr.M33_darkolivegreen	1.9789996534259862e-09	3.4136603212203956e-09	0.2810485170792253
isoExpr.M34_darkmagenta	1.9129299168777435e-09	4.013947688119899e-09	0.3168339207464398
isoExpr.M17_grey60	1.6386776240556218e-09	3.637239445510705e-09	0.32616494302704513
isoExpr.M53_palevioletred3	1.4736469510272798e-09	4.130109121260193e-09	0.360618591351227
isoExpr.M26_darkorange	8.109315585083732e-10	3.46765208796381e-09	0.4075483515868017
isoExpr.M23_darkturquoise	7.339428656007239e-10	3.1951218274519935e-09	0.409159604015434
isoExpr.M40_mediumpurple3	1.1916984513675703e-09	6.069350232814279e-09	0.4221693049796776
isoExpr.M21_darkred	4.399697840042346e-10	2.6057861541916467e-09	0.4329599115509847
isoExpr.M12_tan	2.622225167796001e-10	2.5361132650415156e-09	0.45882457026933615
isoExpr.M11_greenyellow	2.2386269450912073e-10	2.544018061621662e-09	0.4649400399644376
isoExpr.M19_lightyellow	5.7238382946707575e-11	2.7676630068616456e-09	0.4917500131729454
isoExpr.M44_floralwhite	-1.2785389290468412e-11	3.890230583440225e-09	0.5013111364654882
isoExpr.M20_royalblue	-3.9003581309957255e-11	3.483052109996139e-09	0.5044673039578524
isoExpr.M42_lightcyan1	-1.0844075031347341e-10	3.513618969330978e-09	0.5123105930462895
isoExpr.M37_skyblue3	-1.839969389490687e-10	3.449779715134705e-09	0.5212678423030718
isoExpr.M38_plum1	-2.754143240261108e-10	4.130444457087008e-09	0.5265814139547903
isoExpr.M14_cyan	-2.4434536291056754e-10	2.5843453770396333e-09	0.5376631765688643
isoExpr.M15_midnightblue	-7.668378041949294e-10	2.684139347917359e-09	0.6124430787145362
isoExpr.M39_orangered4	-1.0600635690301257e-09	3.4346679400959455e-09	0.6212009380297465
isoExpr.M35_sienna3	-1.010512113132066e-09	2.9717912183347636e-09	0.6330847989784496
isoExpr.M24_darkgrey	-1.060180409149206e-09	2.7355332952956607e-09	0.6508287735941132
isoExpr.M9_magenta	-1.2763782470068787e-09	2.8550569434959633e-09	0.6725836866699427
isoExpr.M36_yellowgreen	-1.7773845705554812e-09	3.61535762163261e-09	0.68850623916061
isoExpr.M45_darkorange2	-2.1361267994195702e-09	3.3768372091304287e-09	0.7364967128854276
isoExpr.M46_brown4	-1.9905844725712854e-09	3.109005679208208e-09	0.7389995158063294
isoExpr.M25_orange	-1.933992029266645e-09	2.8883150672267363e-09	0.7484409724813311
isoExpr.M4_yellow	-1.515709150081722e-09	1.6478049279420841e-09	0.8211705848330928
isoExpr.M5_green	-1.554584296540781e-09	1.5731592879740148e-09	0.8384708232263566
isoExpr.M32_violet	-4.2251966334950415e-09	3.865206861546629e-09	0.8628329464597148
isoExpr.M22_darkgreen	-3.5251524931914565e-09	2.8923618192526067e-09	0.8885361317092643
isoExpr.M0_grey	-3.983654235626071e-09	2.8667844451484088e-09	0.9176732526002025
isoExpr.M51_thistle1	-4.6933883389822015e-09	3.0721288373426484e-09	0.9367104059310074
isoExpr.M28_skyblue	-4.357212785489494e-09	2.487367211199978e-09	0.9600904657007049
isoExpr.M52_salmon4	-8.324524044857079e-09	4.031224371704649e-09	0.9805390363701861
isoExpr.M3_brown	-3.385628465193387e-09	1.622603263938094e-09	0.9815351836971069
isoExpr.M18_lightgreen	-7.778017491530019e-09	2.4262564052298142e-09	0.9993264895405488
