Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M24_darkgrey	2.260758154741032e-07	1.0856733615011905e-07	0.018654994074283424
isoExpr.M51_thistle1	2.3163201886623225e-07	1.209760087814779e-07	0.02776577978340504
isoExpr.M3_brown	7.984193917289935e-08	4.175311899876376e-08	0.027922778100931987
isoExpr.M52_salmon4	2.3444407174971863e-07	1.392823333596578e-07	0.04616537815219495
isoExpr.M29_saddlebrown	1.3289204594901918e-07	8.36603703887789e-08	0.0560899722904915
isoExpr.M50_thistle2	1.7848834264755603e-07	1.1550341981731343e-07	0.061135907434477894
isoExpr.M27_white	1.3150044194984993e-07	8.597381019559615e-08	0.06306522851375003
isoExpr.M15_midnightblue	1.2106813553291295e-07	8.274103769896983e-08	0.07170393487914174
isoExpr.M40_mediumpurple3	1.6413642865372343e-07	1.1417727507098612e-07	0.0752797855142882
isoExpr.M12_tan	9.780474330342892e-08	6.814117185466948e-08	0.07559722043032742
isoExpr.M30_steelblue	1.2840124034477815e-07	9.454548141686486e-08	0.08721761851453519
isoExpr.M45_darkorange2	1.1307523766754093e-07	8.837885842293513e-08	0.10037149386467786
isoExpr.M21_darkred	1.1018412565297695e-07	8.845674994829262e-08	0.10645066265789543
isoExpr.M13_salmon	6.746824415399687e-08	5.999066514001133e-08	0.13036959800013614
isoExpr.M7_black	5.7792619704963255e-08	5.348083913893201e-08	0.13993244495759338
isoExpr.M26_darkorange	8.850057997607958e-08	8.219601415858297e-08	0.14080679862658485
isoExpr.M49_plum2	1.3307130317135077e-07	1.282772347340062e-07	0.1497810947991638
isoExpr.M4_yellow	4.27337755929521e-08	4.500388715222542e-08	0.17116858790912243
isoExpr.M6_red	4.857835789660141e-08	5.136220222644376e-08	0.17212536720092797
isoExpr.M37_skyblue3	8.61103745310882e-08	9.40622377844553e-08	0.17997465448775885
isoExpr.M22_darkgreen	7.309410326950609e-08	8.111090149119241e-08	0.18375096141900055
isoExpr.M41_lightsteelblue1	8.565962933371786e-08	1.1884492694691702e-07	0.23552611001754475
isoExpr.M10_purple	4.3972783176960045e-08	6.405623232944308e-08	0.2462078891553947
isoExpr.M16_lightcyan	5.341336786071826e-08	7.925265430373664e-08	0.25016737364622477
isoExpr.M9_magenta	3.5815380599486234e-08	5.414064641864957e-08	0.25413790602574526
isoExpr.M11_greenyellow	3.1895353089409825e-08	6.328269106720653e-08	0.30712582037370584
isoExpr.M31_paleturquoise	3.539268803370037e-08	7.314610312939494e-08	0.31424157391198676
isoExpr.M35_sienna3	4.3256067569211354e-08	8.960001637539596e-08	0.31463005150261947
isoExpr.M25_orange	3.29074396560635e-08	7.196545234634551e-08	0.32373950730170575
isoExpr.M5_green	1.935700956278058e-08	4.2369503305201335e-08	0.3238851741127394
isoExpr.M48_darkslateblue	2.748287260284025e-08	1.0026847472651278e-07	0.39200663189354856
isoExpr.M17_grey60	1.3982880098735218e-08	8.00414343174243e-08	0.43065944354726116
isoExpr.M36_yellowgreen	1.5913483128176414e-08	1.035491637640557e-07	0.43893084616753075
isoExpr.M43_ivory	1.4176430275468854e-08	1.0063907180906295e-07	0.44398865952350886
isoExpr.M8_pink	6.882131343609978e-09	6.343021959782574e-08	0.456799837146254
isoExpr.M1_turquoise	2.7002148660643624e-09	2.5743180151125678e-08	0.4582313512874817
isoExpr.M2_blue	1.7222864575235803e-09	3.498645311773652e-08	0.4803691023598386
isoExpr.M19_lightyellow	3.1123180343991227e-09	6.709801867902765e-08	0.4815018358964569
isoExpr.M39_orangered4	3.2282593689623644e-09	8.943073349651817e-08	0.4856021586766365
isoExpr.M20_royalblue	-3.1054398535111446e-09	7.881526614991686e-08	0.5157148587235233
isoExpr.M38_plum1	-1.3116877487146414e-08	9.504282100561704e-08	0.5548838166810505
isoExpr.M46_brown4	-1.9023093145796232e-08	9.967320072326417e-08	0.5756802617589651
isoExpr.M53_palevioletred3	-2.240123514810071e-08	9.432039347697169e-08	0.5938661230624013
isoExpr.M14_cyan	-2.2816045327029053e-08	6.97021706766222e-08	0.6282932011557136
isoExpr.M23_darkturquoise	-2.9091303071247557e-08	8.328255517397979e-08	0.6365711349972787
isoExpr.M18_lightgreen	-3.241199926282325e-08	7.777219742379458e-08	0.6615714114158394
isoExpr.M42_lightcyan1	-3.631753124616764e-08	8.134726093086402e-08	0.672364095719118
isoExpr.M28_skyblue	-4.244144864168976e-08	6.73385241123375e-08	0.735741011943702
isoExpr.M32_violet	-5.0126317064935346e-08	7.199876222524916e-08	0.7568515927400362
isoExpr.M47_bisque4	-8.733324021535988e-08	9.664633589575184e-08	0.8169061389892229
isoExpr.M0_grey	-6.803144969005742e-08	7.0884753705977e-08	0.8314087897127816
isoExpr.M44_floralwhite	-1.3931620346146143e-07	7.681571521639883e-08	0.9651335661432214
isoExpr.M34_darkmagenta	-1.5499233826092728e-07	7.973867705106346e-08	0.9740374124577725
isoExpr.M33_darkolivegreen	-1.4371171912081953e-07	7.343751962682692e-08	0.9748218574197849
