Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M52_salmon4	1.0138882337391884e-08	5.237128353864009e-09	0.026436167614945594
isoExpr.M6_red	3.407360180436083e-09	1.7809759484049e-09	0.0278613346919321
isoExpr.M51_thistle1	1.2102614754900204e-08	6.6902792938892375e-09	0.03522666841861371
isoExpr.M39_orangered4	7.716476089921409e-09	4.350354213667867e-09	0.03805158451479092
isoExpr.M53_palevioletred3	8.638466849617049e-09	4.97678579033088e-09	0.04130383025388806
isoExpr.M29_saddlebrown	5.5213831383513845e-09	3.279896108261865e-09	0.04614866381415472
isoExpr.M9_magenta	4.065008192360721e-09	2.564345273432632e-09	0.056460093096518074
isoExpr.M31_paleturquoise	4.4618582747065846e-09	3.002070414850138e-09	0.06860513285530855
isoExpr.M21_darkred	3.900588291238692e-09	2.6375685827545184e-09	0.0695891914103728
isoExpr.M5_green	2.14350559606559e-09	1.4847588978507732e-09	0.07441555967088484
isoExpr.M11_greenyellow	3.4891352739194994e-09	2.491691036578217e-09	0.0807105301792932
isoExpr.M14_cyan	4.3620850184582205e-09	3.2508869272598607e-09	0.08982818443060114
isoExpr.M23_darkturquoise	3.4156207786664132e-09	2.6982419786600647e-09	0.10277999972415308
isoExpr.M4_yellow	1.8188224840768612e-09	1.4638748083872802e-09	0.10703135556589721
isoExpr.M13_salmon	2.5656429276756757e-09	2.2198120523744925e-09	0.12388294647198456
isoExpr.M48_darkslateblue	3.406905973883052e-09	3.0986597340982626e-09	0.13577996953163585
isoExpr.M34_darkmagenta	4.002598505928573e-09	3.750767982644483e-09	0.14295407238067326
isoExpr.M12_tan	2.790377796243136e-09	2.8445184749647997e-09	0.16330459073298348
isoExpr.M3_brown	1.4018080830569668e-09	1.4434598551978417e-09	0.16573816616059334
isoExpr.M19_lightyellow	3.16770803926102e-09	3.600972888268452e-09	0.1895160267696906
isoExpr.M1_turquoise	8.680537690809693e-10	1.1217720926299113e-09	0.2195175440145572
isoExpr.M27_white	2.116689674892493e-09	3.4317369494141475e-09	0.2686838714886294
isoExpr.M0_grey	1.30268263059934e-09	2.134197025284252e-09	0.270803280189278
isoExpr.M40_mediumpurple3	1.6735349115830228e-09	3.7160364115197337e-09	0.32622730809695205
isoExpr.M32_violet	1.6283863958215578e-09	3.786263373930764e-09	0.3335696611545133
isoExpr.M30_steelblue	1.3782212497542699e-09	3.263444632345264e-09	0.33639536052646635
isoExpr.M10_purple	8.470158409616894e-10	2.1257070245372735e-09	0.34514442130853745
isoExpr.M43_ivory	1.0468578938266948e-09	3.0741000466443218e-09	0.3667244793755241
isoExpr.M41_lightsteelblue1	1.2122624631890715e-09	3.593306868786561e-09	0.36792020198307657
isoExpr.M7_black	3.7382170936766765e-10	1.549203912946146e-09	0.40466160430142784
isoExpr.M36_yellowgreen	3.9359064878527207e-10	4.3850915761878155e-09	0.46424034227453936
isoExpr.M20_royalblue	9.50644141767587e-11	2.3143162376995165e-09	0.4836173850838911
isoExpr.M49_plum2	-7.706902414966399e-11	3.942933049646792e-09	0.5077972753295669
isoExpr.M50_thistle2	-1.928216869406591e-10	3.446738610005569e-09	0.5223064834664837
isoExpr.M44_floralwhite	-3.6611883016894945e-10	3.848871622745801e-09	0.537891705030071
isoExpr.M17_grey60	-4.582348022509103e-10	2.6423930209684104e-09	0.5688380093823147
isoExpr.M38_plum1	-7.21616094131706e-10	4.029584407643293e-09	0.5710623737638619
isoExpr.M46_brown4	-1.2954375043607893e-09	3.444499855374584e-09	0.6465745260148186
isoExpr.M45_darkorange2	-1.2593167352084305e-09	2.839913122068503e-09	0.6712744198151543
isoExpr.M42_lightcyan1	-1.5418152382532709e-09	2.9723817479957597e-09	0.6980198089011518
isoExpr.M15_midnightblue	-1.3006333910424017e-09	2.4068259434360406e-09	0.7055371975869515
isoExpr.M2_blue	-7.600528623812661e-10	1.3693957045277668e-09	0.7105622214883707
isoExpr.M24_darkgrey	-1.9031679381874674e-09	2.931322856414882e-09	0.7419123255306574
isoExpr.M28_skyblue	-2.081164177620547e-09	3.1715891286665996e-09	0.7441489683308096
isoExpr.M35_sienna3	-1.6612343650906288e-09	2.500533498426312e-09	0.7467674682695722
isoExpr.M25_orange	-2.2668704688061123e-09	2.578053947182055e-09	0.8103793819079592
isoExpr.M22_darkgreen	-2.4915493683724142e-09	2.8015612698772006e-09	0.8130906602279349
isoExpr.M37_skyblue3	-3.0857596623819684e-09	3.2423096019526906e-09	0.8293796195608713
isoExpr.M18_lightgreen	-2.5583801962788557e-09	2.542387217527377e-09	0.8428620842018315
isoExpr.M26_darkorange	-3.1596227128115515e-09	2.6522142966147696e-09	0.8832350290804025
isoExpr.M47_bisque4	-5.373431803170698e-09	3.906526365489827e-09	0.9155119469779851
isoExpr.M33_darkolivegreen	-5.573316981384613e-09	2.9539912900946036e-09	0.9704001485073657
isoExpr.M8_pink	-5.2172788421648005e-09	1.8553337455177471e-09	0.9975386062612385
isoExpr.M16_lightcyan	-7.09992823577814e-09	1.918829225569822e-09	0.9998922578319075
