Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M1_turquoise	1.8125433287931027e-08	4.190492825415549e-09	7.613791549951834e-06
isoExpr.M7_black	1.4909585729298027e-08	6.857962914170401e-09	0.01485051797864783
isoExpr.M30_steelblue	3.285077565603496e-08	1.5724498686652648e-08	0.018347285239736593
isoExpr.M27_white	2.4249050855722066e-08	1.168922461467405e-08	0.019017424079479147
isoExpr.M40_mediumpurple3	3.558214299888561e-08	1.7500433761778284e-08	0.021015407260447608
isoExpr.M53_palevioletred3	3.902128565391286e-08	2.0560737748251436e-08	0.028857635396108087
isoExpr.M20_royalblue	2.3283622607240157e-08	1.2449222242334213e-08	0.030721964131878114
isoExpr.M5_green	1.1178154556762497e-08	6.082432098353595e-09	0.033047627064435814
isoExpr.M17_grey60	2.5140895562856066e-08	1.3855821451600193e-08	0.0348031249121078
isoExpr.M43_ivory	2.603021039093023e-08	1.5699151327844293e-08	0.04865219269273362
isoExpr.M16_lightcyan	2.250315282518409e-08	1.441124468605104e-08	0.05920295897382818
isoExpr.M49_plum2	3.428062115515536e-08	2.2257722761706667e-08	0.0617597652208763
isoExpr.M23_darkturquoise	1.4631525277041985e-08	9.839956557536951e-09	0.06851398341037204
isoExpr.M9_magenta	1.4035703167245407e-08	1.0006933909432703e-08	0.0803684088687166
isoExpr.M25_orange	2.1160913360962226e-08	1.6038513898482694e-08	0.09352085550200162
isoExpr.M33_darkolivegreen	1.8255881031219044e-08	1.4004149256830214e-08	0.0961841226700853
isoExpr.M50_thistle2	4.0201648064481844e-08	3.112436807258575e-08	0.0982399802111803
isoExpr.M32_violet	1.938931244771222e-08	1.571537140861782e-08	0.10864242906290117
isoExpr.M6_red	8.674100148088763e-09	7.293104712323581e-09	0.11714974170333853
isoExpr.M26_darkorange	1.2675214860130656e-08	1.0672625761824924e-08	0.11748804944610325
isoExpr.M39_orangered4	1.770975208382975e-08	1.9358803280953435e-08	0.18014399343738602
isoExpr.M29_saddlebrown	1.4383860460036501e-08	1.5765268403391644e-08	0.1807852770890705
isoExpr.M31_paleturquoise	8.571917562367945e-09	1.0906618151194649e-08	0.21595212280041004
isoExpr.M15_midnightblue	1.1161118538916108e-08	1.4707875222972055e-08	0.22397018130707597
isoExpr.M8_pink	7.0917611724847955e-09	9.857365715692472e-09	0.23593561714904665
isoExpr.M3_brown	3.937707052753497e-09	5.821264869467983e-09	0.24938226450886652
isoExpr.M46_brown4	8.442983255971571e-09	1.3963657660507109e-08	0.2727091759257602
isoExpr.M47_bisque4	1.1419124775882732e-08	1.8896649865046087e-08	0.27282422676457807
isoExpr.M51_thistle1	7.739444573422427e-09	1.6312380214358134e-08	0.3175887406266832
isoExpr.M36_yellowgreen	7.892153360716835e-09	1.6896503578962894e-08	0.3202184745224917
isoExpr.M45_darkorange2	5.80588827134726e-09	1.3739413746633498e-08	0.3363038664809107
isoExpr.M0_grey	3.1905380541928266e-09	7.806860029196819e-09	0.3413858228571564
isoExpr.M42_lightcyan1	5.8689355974025756e-09	1.5884640484525736e-08	0.35588783601329227
isoExpr.M10_purple	3.462391205467836e-09	9.600434504302993e-09	0.3591807674410358
isoExpr.M24_darkgrey	3.9692187608915095e-09	1.1550628044472e-08	0.365559791231848
isoExpr.M52_salmon4	6.078629281839151e-09	1.8200118462934716e-08	0.36919413867128176
isoExpr.M19_lightyellow	3.264641516127873e-09	1.0323294252101756e-08	0.3759100662689118
isoExpr.M37_skyblue3	3.876425949066278e-09	1.2852392181953107e-08	0.3814742190859811
isoExpr.M12_tan	3.0804650240212115e-09	1.1841526967414574e-08	0.3973775599451601
isoExpr.M48_darkslateblue	3.0775361501683425e-09	1.8435084017976113e-08	0.4337089876618456
isoExpr.M14_cyan	1.061368366261083e-09	8.907902635391526e-09	0.4525786253868836
isoExpr.M2_blue	3.952697221121487e-10	5.745221779307169e-09	0.47257451547190304
isoExpr.M38_plum1	-2.096231880626159e-10	1.1628558971543231e-08	0.5071911768138941
isoExpr.M18_lightgreen	-3.954744608277956e-10	1.0248718407730331e-08	0.5153904451085525
isoExpr.M4_yellow	-1.0765210602800936e-09	7.286880064117068e-09	0.5587237117380991
isoExpr.M11_greenyellow	-1.886300391936086e-09	9.861273880092055e-09	0.5758483122438964
isoExpr.M34_darkmagenta	-3.1548412804029384e-09	1.0041371817841359e-08	0.6233094633079993
isoExpr.M35_sienna3	-9.240398519642934e-09	1.0841346558661142e-08	0.8029843565187079
isoExpr.M28_skyblue	-8.264368124234902e-09	9.583299211373153e-09	0.8057585557746048
isoExpr.M41_lightsteelblue1	-1.4278389409183082e-08	1.3424124032475926e-08	0.8562533182939578
isoExpr.M44_floralwhite	-1.1829254242577207e-08	1.0316838946712662e-08	0.8742258445750247
isoExpr.M21_darkred	-1.3315154029916285e-08	9.7996804665717e-09	0.9128844719611293
isoExpr.M13_salmon	-1.0996709091138036e-08	7.1877672850436885e-09	0.936981736772486
isoExpr.M22_darkgreen	-2.099271771618366e-08	8.59165176854372e-09	0.9927249079425594
