Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M1_turquoise	5.921174520530516e-08	1.4880970909991948e-08	3.4599330988894074e-05
isoExpr.M7_black	5.791943435806673e-08	2.5097540574082304e-08	0.010505873992021042
isoExpr.M5_green	4.3399307164847176e-08	1.9880493526347175e-08	0.014517553483387211
isoExpr.M20_royalblue	8.775549405595539e-08	4.3076301892000816e-08	0.02081447657519704
isoExpr.M30_steelblue	1.0355787931404278e-07	5.432469061049878e-08	0.02830717286450148
isoExpr.M16_lightcyan	8.215132547740338e-08	4.572333109453624e-08	0.03619125343292877
isoExpr.M43_ivory	1.0053827618049084e-07	5.699985847048655e-08	0.03887998368267478
isoExpr.M27_white	6.901271830177772e-08	3.981009869410384e-08	0.04149915390468897
isoExpr.M23_darkturquoise	6.6664857476692e-08	3.9271289695463215e-08	0.04479665269764149
isoExpr.M29_saddlebrown	9.080765122472555e-08	5.4964726650508275e-08	0.049256293033887615
isoExpr.M49_plum2	1.111081948037874e-07	7.076052709505835e-08	0.05818426987316497
isoExpr.M50_thistle2	1.6055414762276173e-07	1.0584559129362596e-07	0.06464958099215447
isoExpr.M53_palevioletred3	1.0461723019642836e-07	7.846377759648213e-08	0.0912136025091616
isoExpr.M26_darkorange	5.31054146274703e-08	4.1634249195959376e-08	0.10106221245131797
isoExpr.M11_greenyellow	4.2444721295290926e-08	3.6544080253818e-08	0.12272614003653581
isoExpr.M40_mediumpurple3	7.11431361444045e-08	6.190234096951317e-08	0.12522022547562206
isoExpr.M33_darkolivegreen	5.312283088679879e-08	4.935731115459057e-08	0.14089856121937622
isoExpr.M3_brown	2.1096048747591274e-08	2.1470306184221793e-08	0.1629099017295827
isoExpr.M4_yellow	2.6339937105880812e-08	2.7182276935772344e-08	0.16626974260336308
isoExpr.M39_orangered4	5.932967334328451e-08	6.200151772734553e-08	0.1693071517039973
isoExpr.M9_magenta	2.9753241856497388e-08	3.353906550277935e-08	0.1875066184620217
isoExpr.M17_grey60	4.3530438414829794e-08	5.023583802422318e-08	0.1931020949831721
isoExpr.M12_tan	3.264257774638397e-08	3.87842471225025e-08	0.19999327363342834
isoExpr.M32_violet	5.432839676489431e-08	6.600628532157138e-08	0.2052314942983054
isoExpr.M46_brown4	3.9865335341018784e-08	4.854310334014885e-08	0.20575597808848062
isoExpr.M47_bisque4	4.76943352426313e-08	6.551776292251873e-08	0.2333189215875669
isoExpr.M31_paleturquoise	2.0608489237119633e-08	4.078228062915719e-08	0.30666371527475017
isoExpr.M2_blue	9.683510556437235e-09	1.9248542768223052e-08	0.30745486002440026
isoExpr.M8_pink	1.637884990196551e-08	3.7059378534160645e-08	0.32925822665081983
isoExpr.M6_red	1.1187413850888478e-08	2.6950552054752736e-08	0.33903109450347163
isoExpr.M15_midnightblue	1.5613484462846405e-08	4.6143471920624585e-08	0.3675428599396755
isoExpr.M10_purple	9.912470482684474e-09	2.9669551896233746e-08	0.36915366253663784
isoExpr.M37_skyblue3	1.58979225829335e-08	5.184879112293721e-08	0.37956597482803067
isoExpr.M45_darkorange2	1.1139538517696691e-08	4.375242873904389e-08	0.3995145275184606
isoExpr.M34_darkmagenta	7.306443093044367e-09	3.544437284635948e-08	0.4183414374130078
isoExpr.M25_orange	5.532624321885764e-09	4.590098193723924e-08	0.4520301139252754
isoExpr.M48_darkslateblue	7.361075021032246e-09	6.753418894939671e-08	0.4566021352550199
isoExpr.M36_yellowgreen	1.7321700056213437e-09	6.03363118341492e-08	0.48854850554312157
isoExpr.M51_thistle1	9.625458593966728e-10	6.179568725360374e-08	0.4937862214972908
isoExpr.M19_lightyellow	-3.8292277966157806e-10	3.872646536861712e-08	0.5039446305316367
isoExpr.M38_plum1	-3.7217293201484706e-09	4.2379353186423027e-08	0.5349898903565055
isoExpr.M14_cyan	-2.9850138294651637e-09	3.22566433575288e-08	0.5368652975436431
isoExpr.M24_darkgrey	-3.786316297099635e-09	3.835282889179855e-08	0.5393209998512906
isoExpr.M28_skyblue	-1.4580684727137131e-08	3.382560583364917e-08	0.6667856833834394
isoExpr.M52_salmon4	-2.5862627622041106e-08	5.564562432226631e-08	0.678953269806674
isoExpr.M41_lightsteelblue1	-3.166328084694547e-08	6.159860370200578e-08	0.6963830764254072
isoExpr.M42_lightcyan1	-2.5466824862937615e-08	4.60373438166086e-08	0.7099290794815574
isoExpr.M0_grey	-1.851687216552498e-08	3.0196784975732774e-08	0.7301301766359579
isoExpr.M18_lightgreen	-3.8948083244692905e-08	3.1300834316336534e-08	0.8933080890570049
isoExpr.M13_salmon	-3.487813145427641e-08	2.5776199958385225e-08	0.9119903585738933
isoExpr.M35_sienna3	-6.565616091602726e-08	3.670579360730189e-08	0.9631695432953852
isoExpr.M44_floralwhite	-8.321300273501206e-08	4.064907661517035e-08	0.9796762021765008
isoExpr.M21_darkred	-7.576066151724186e-08	3.688824948925252e-08	0.9800019153625785
isoExpr.M22_darkgreen	-6.591217476210267e-08	2.7526963410942088e-08	0.9916775391953014
