Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M17_grey60	3.728918850269785e-09	2.309503388087475e-09	0.05319892231457203
isoExpr.M6_red	1.9506843025304115e-09	1.4317960718807079e-09	0.08653525432776821
isoExpr.M47_bisque4	3.914120242957941e-09	2.934666714401872e-09	0.09114242569497816
isoExpr.M29_saddlebrown	3.0014369815940917e-09	2.7081849963111773e-09	0.13386968079398587
isoExpr.M16_lightcyan	2.007529598412708e-09	2.249046161224305e-09	0.1860320181933403
isoExpr.M5_green	1.0114019273894477e-09	1.2140041306611017e-09	0.2023906628825728
isoExpr.M34_darkmagenta	2.207288049024352e-09	2.9173691300907284e-09	0.22464409636081994
isoExpr.M32_violet	1.8712507998962943e-09	2.564019684098042e-09	0.2327527370478083
isoExpr.M10_purple	1.138727976488471e-09	1.582780035572055e-09	0.2359324565953711
isoExpr.M48_darkslateblue	1.0945014129581558e-09	2.3485160508387728e-09	0.3205935881361994
isoExpr.M33_darkolivegreen	1.0604679264942074e-09	2.475509808439171e-09	0.33418591329067493
isoExpr.M52_salmon4	1.9362052710780716e-09	4.656712504815759e-09	0.3387825630561694
isoExpr.M44_floralwhite	7.849532061652057e-10	2.011879585954508e-09	0.3482094373546667
isoExpr.M13_salmon	5.758213891958538e-10	1.5484652459550244e-09	0.3549963555544957
isoExpr.M25_orange	7.077560414741303e-10	1.924814527801444e-09	0.3565481332898568
isoExpr.M31_paleturquoise	5.817803069659834e-10	2.050538455786669e-09	0.3883121961561152
isoExpr.M27_white	5.176307458279712e-10	2.284251700592519e-09	0.4103641090783927
isoExpr.M39_orangered4	5.397725502481465e-10	2.8336432662938893e-09	0.4244637168410478
isoExpr.M51_thistle1	5.769083174289239e-10	3.1088848368313045e-09	0.42639192935855746
isoExpr.M20_royalblue	3.259117800396365e-10	2.091288761526891e-09	0.43807856389703326
isoExpr.M45_darkorange2	3.250669250643089e-10	2.3287296671211795e-09	0.44449204725454633
isoExpr.M8_pink	9.457373392171657e-11	1.2873504439404934e-09	0.4707185005882044
isoExpr.M46_brown4	-8.29217366940823e-11	2.222964261164579e-09	0.514878024392684
isoExpr.M12_tan	-2.5281096384127267e-10	2.179308940443097e-09	0.5461757522959291
isoExpr.M1_turquoise	-9.813125205404796e-11	8.033021509115936e-10	0.5486137793745082
isoExpr.M23_darkturquoise	-3.368773200782317e-10	2.195273534383024e-09	0.560980553568648
isoExpr.M0_grey	-2.893015005063404e-10	1.5695970523997092e-09	0.5731171312022759
isoExpr.M30_steelblue	-3.681476515440881e-10	1.9041239362450442e-09	0.5766545394469244
isoExpr.M22_darkgreen	-7.620319559978735e-10	2.0471018069680345e-09	0.6451463313916359
isoExpr.M41_lightsteelblue1	-9.286321737659982e-10	2.249076515974895e-09	0.6601581830570573
isoExpr.M53_palevioletred3	-1.0156083772459077e-09	2.4018874473582873e-09	0.6637931318707112
isoExpr.M19_lightyellow	-7.418456440148532e-10	1.7375158538387226e-09	0.6652949041723563
isoExpr.M9_magenta	-7.141735201453724e-10	1.6504038995746908e-09	0.6673932659870676
isoExpr.M36_yellowgreen	-1.0828775146162075e-09	2.487658285953919e-09	0.6683276375288338
isoExpr.M49_plum2	-1.4434338733227168e-09	2.4371898202486827e-09	0.7231595305592807
isoExpr.M50_thistle2	-1.748653429019181e-09	2.8278450497079548e-09	0.7318341358401276
isoExpr.M35_sienna3	-1.227981455760673e-09	1.7862314547021787e-09	0.7541068621231148
isoExpr.M26_darkorange	-1.4860354472624232e-09	1.8776115676247276e-09	0.7856592433481047
isoExpr.M18_lightgreen	-1.4629677021926604e-09	1.7460118239626403e-09	0.7989540555913053
isoExpr.M24_darkgrey	-1.7906607604722473e-09	1.9550641651638007e-09	0.8201426730805798
isoExpr.M40_mediumpurple3	-1.849734244595051e-09	1.9703448818397707e-09	0.8260799535764647
isoExpr.M3_brown	-9.776755739773896e-10	1.0250263593481375e-09	0.8299088968891564
isoExpr.M37_skyblue3	-2.3236986447073516e-09	2.3836019898631085e-09	0.835187268894573
isoExpr.M42_lightcyan1	-2.473536919214288e-09	2.283304388371751e-09	0.8606655905553686
isoExpr.M11_greenyellow	-1.694022323377056e-09	1.5421393980362617e-09	0.8640043717071346
isoExpr.M43_ivory	-3.3657088258854174e-09	2.5962951670612167e-09	0.9025726402950438
isoExpr.M15_midnightblue	-2.497982959617774e-09	1.873788038397959e-09	0.9087536682730086
isoExpr.M38_plum1	-3.768681528142888e-09	2.4661994547810033e-09	0.9367602782911201
isoExpr.M21_darkred	-3.0017764093408325e-09	1.9565795744191858e-09	0.9375092700312271
isoExpr.M14_cyan	-3.0018614191813877e-09	1.7242191355763208e-09	0.9591580025428769
isoExpr.M4_yellow	-2.07772937996307e-09	1.1605839050758753e-09	0.9632927225059105
isoExpr.M28_skyblue	-3.4970772055533097e-09	1.841470979558095e-09	0.9712221819360644
isoExpr.M7_black	-2.153126556281553e-09	1.0920041324622581e-09	0.9756792191898361
isoExpr.M2_blue	-1.8874543201734957e-09	9.36125878835029e-10	0.9781125504112416
