Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M1_turquoise	1.434420572412912e-08	7.032084770914211e-09	0.020683996993343744
isoUsage.M2_blue	1.237829359917859e-08	6.3118158446699514e-09	0.024931909723796657
isoUsage.M3_brown	1.2336498441265857e-08	6.472205722049433e-09	0.02832034890222267
isoUsage.M20_royalblue	2.4380506932859857e-08	1.6905198762429452e-08	0.07462440436585732
isoUsage.M24_darkgrey	2.718649180632051e-08	2.051241406391777e-08	0.09252460619731318
isoUsage.M18_lightgreen	1.9358616887611736e-08	1.544110605757449e-08	0.10497433039127907
isoUsage.M15_midnightblue	1.7187217665581655e-08	1.3873724467035412e-08	0.10770380905199728
isoUsage.M4_yellow	9.370553696899112e-09	7.886723719993555e-09	0.11738858495039695
isoUsage.M21_darkred	1.4372575436206262e-08	1.4323876261088253e-08	0.1578339857971654
isoUsage.M29_saddlebrown	1.1861537543832966e-08	1.5617765827881465e-08	0.2237797358897189
isoUsage.M11_greenyellow	8.257050088892445e-09	1.2638809514914078e-08	0.2567784925872809
isoUsage.M27_white	7.264761833309621e-09	1.3515538370523998e-08	0.29545705598407634
isoUsage.M12_tan	6.882353922834631e-09	1.341365848862591e-08	0.30394575044150157
isoUsage.M14_cyan	3.3611971247703944e-09	1.080533274279667e-08	0.37787432726695686
isoUsage.M23_darkturquoise	5.138230793465532e-09	1.9168449808602296e-08	0.39432784959664136
isoUsage.M6_red	1.7107521548798705e-09	7.87134678254781e-09	0.41397200783003274
isoUsage.M17_grey60	2.0080337723983773e-09	1.2569178092221513e-08	0.43653563514837157
isoUsage.M13_salmon	1.3325589275217797e-09	1.0685245115692443e-08	0.4503764957461907
isoUsage.M5_green	7.764904401294251e-10	6.861772547148861e-09	0.45495114547570836
isoUsage.M0_grey	3.819433777824887e-09	3.6559372731719665e-08	0.4583973612671543
isoUsage.M19_lightyellow	8.187271844537147e-10	1.1246390950069501e-08	0.47098299198357246
isoUsage.M28_skyblue	-6.410457648893847e-10	1.4858926504353565e-08	0.5172058828658649
isoUsage.M16_lightcyan	-1.62319394152315e-09	1.0128096626955e-08	0.5636644010397903
isoUsage.M26_darkorange	-3.6143329627980363e-09	1.518698033822238e-08	0.5940551538527189
isoUsage.M9_magenta	-4.507816274010719e-09	1.0028231673878624e-08	0.6734690317264602
isoUsage.M25_orange	-6.5667564106628654e-09	1.398835730151716e-08	0.6806240014005459
isoUsage.M8_pink	-5.167840380707368e-09	9.992241075854987e-09	0.6974866000424824
isoUsage.M7_black	-6.140893971944528e-09	8.496836987944872e-09	0.7650762048003833
isoUsage.M22_darkgreen	-1.2086622468988615e-08	1.1737774248817802e-08	0.8484292992742994
isoUsage.M10_purple	-1.4475505456923467e-08	1.0765259045581818e-08	0.9106308539859009
