Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M1_turquoise	1.0970236280955772e-09	2.958182895825643e-10	0.00010427107329112334
isoUsage.M2_blue	9.254702257317811e-10	5.59857734836797e-10	0.049160817072990054
isoUsage.M13_salmon	3.127662190061416e-09	3.6264258607792066e-09	0.1942160845111155
isoUsage.M16_lightcyan	4.164419805428928e-09	5.378008075258211e-09	0.21936416123323516
isoUsage.M15_midnightblue	-1.8951163214894226e-10	1.6325400789182053e-09	0.5462069788854452
isoUsage.M10_purple	-3.222746322089249e-10	1.0637135352943958e-09	0.6190441187446634
isoUsage.M5_green	-1.6041036603394536e-10	3.33192108434247e-10	0.6848963416740302
isoUsage.M24_darkgrey	-6.28915999453591e-10	1.303077923723462e-09	0.6853238969988803
isoUsage.M29_saddlebrown	-7.007130984620438e-10	1.3817314337474252e-09	0.6939670888319429
isoUsage.M20_royalblue	-7.283366391720211e-10	1.2479189426826321e-09	0.7202690596790035
isoUsage.M17_grey60	-7.559477268925814e-10	1.1879525806176778e-09	0.737724221206693
isoUsage.M25_orange	-8.626785008757099e-10	1.1321093624190262e-09	0.7769729413935079
isoUsage.M8_pink	-8.119934632612755e-10	1.0382940582861445e-09	0.7829061585913722
isoUsage.M19_lightyellow	-9.055937816968566e-10	1.0335002126991177e-09	0.8095500953852246
isoUsage.M28_skyblue	-1.3615790149399138e-09	1.3414571292947916e-09	0.8449470913477937
isoUsage.M4_yellow	-9.620214814088682e-10	9.316345701815117e-10	0.8491083616665505
isoUsage.M26_darkorange	-1.4181286244902635e-09	1.3060792537764398e-09	0.8612141850579722
isoUsage.M3_brown	-1.4632043414883446e-09	1.3168164952117636e-09	0.8667519771588736
isoUsage.M14_cyan	-1.180501875165777e-09	1.0316497042934363e-09	0.8737473882236646
isoUsage.M0_grey	-4.97054094969831e-09	4.119441907321211e-09	0.8862079315692748
isoUsage.M11_greenyellow	-1.939970624094392e-09	1.587188911270897e-09	0.8891969004554869
isoUsage.M23_darkturquoise	-1.6813104375851578e-09	1.3712878615153218e-09	0.8899159635358205
isoUsage.M6_red	-1.468648654297958e-09	1.1531816446190061e-09	0.898590707819199
isoUsage.M9_magenta	-1.4125364220346816e-09	1.0530818952067322e-09	0.9100942705414203
isoUsage.M12_tan	-1.0183827243827322e-09	7.584880655241571e-10	0.9103070613350175
isoUsage.M7_black	-1.6007582025239431e-09	1.0830729452415298e-09	0.9302931933799792
isoUsage.M22_darkgreen	-1.988015552536738e-09	1.292623899414029e-09	0.9379719089644432
isoUsage.M27_white	-1.4347425672430989e-09	9.196797949364001e-10	0.9406254664234048
isoUsage.M21_darkred	-1.6172189718183455e-09	9.166382927874029e-10	0.9611587102016942
isoUsage.M18_lightgreen	-1.3000379964840754e-09	5.343420390399427e-10	0.9925122232210911
