Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M11_greenyellow	3.3649615684141973e-08	1.1739893729964186e-08	0.00207674923593892
isoUsage.M23_darkturquoise	2.6028865146955188e-08	1.2200027963272066e-08	0.016441511561441913
isoUsage.M12_tan	1.5745948931801865e-08	1.0807607277750132e-08	0.07256757529481712
isoUsage.M19_lightyellow	1.574578876182645e-08	1.1182410731179027e-08	0.07955289880544575
isoUsage.M21_darkred	1.656320758327096e-08	1.3141186103090641e-08	0.1037617740990262
isoUsage.M25_orange	1.6209967177152332e-08	1.3333510303431655e-08	0.11204362888251246
isoUsage.M24_darkgrey	1.47657568072569e-08	1.2196668574386139e-08	0.11301698697640689
isoUsage.M0_grey	2.2074219436547076e-08	2.1011441633650816e-08	0.1467255566542367
isoUsage.M15_midnightblue	1.0337697001238096e-08	1.1773498314650503e-08	0.18995882714974743
isoUsage.M2_blue	2.7020240244328934e-09	5.530081284672526e-09	0.3125607721395759
isoUsage.M3_brown	2.6559844164675595e-09	5.986554018773119e-09	0.3286448219584894
isoUsage.M27_white	4.291561669051381e-09	1.055094443191485e-08	0.34209702419958893
isoUsage.M29_saddlebrown	6.172027403192955e-09	1.5330733061920978e-08	0.34362427187501504
isoUsage.M4_yellow	2.4679736233540024e-09	6.7008356295424045e-09	0.3563216685970184
isoUsage.M28_skyblue	4.28718932000398e-09	1.3256979959341331e-08	0.3731995347930125
isoUsage.M18_lightgreen	3.353232655972403e-09	1.140636080052574e-08	0.3843869043221333
isoUsage.M16_lightcyan	1.0979629578246942e-09	1.0284733686241644e-08	0.45749104875978086
isoUsage.M17_grey60	4.493548560562487e-10	9.739510452810823e-09	0.48160040252788344
isoUsage.M9_magenta	3.871346439662687e-11	7.702801058375376e-09	0.4979949666839709
isoUsage.M14_cyan	-5.247320228971037e-10	9.95103264060163e-09	0.5210270454977829
isoUsage.M26_darkorange	-7.608660694927143e-10	1.0038542240230354e-08	0.5302086953169419
isoUsage.M20_royalblue	-1.6506725031582476e-09	1.0180972371998738e-08	0.5643994753039436
isoUsage.M8_pink	-3.1231518342512062e-09	8.217720671291065e-09	0.6480461702972222
isoUsage.M10_purple	-3.942328185950585e-09	9.180571005464668e-09	0.6661914918614454
isoUsage.M22_darkgreen	-6.621723630330827e-09	9.738789035316527e-09	0.7517265438526808
isoUsage.M5_green	-5.009164967889183e-09	6.129840172326233e-09	0.7930863841421075
isoUsage.M1_turquoise	-5.714354790497041e-09	6.240658732091119e-09	0.8200787707520634
isoUsage.M13_salmon	-9.383407033880118e-09	9.087390808784866e-09	0.8490984412354527
isoUsage.M7_black	-8.496156352711574e-09	6.309642563484668e-09	0.9109350256985236
isoUsage.M6_red	-9.760789409486593e-09	5.979002406432471e-09	0.9487140973788838
