Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M2_blue	8.090022583419135e-09	2.194235102497089e-09	0.00011348150925975303
isoUsage.M9_magenta	9.922538935899735e-09	5.586893736126665e-09	0.03786327749110847
isoUsage.M3_brown	4.963942261948891e-09	2.9223644675324115e-09	0.044696837336312335
isoUsage.M27_white	7.628637020452032e-09	5.137168804082173e-09	0.0687734243122052
isoUsage.M12_tan	5.599315316730073e-09	4.2570427977442215e-09	0.09420348667582801
isoUsage.M15_midnightblue	1.1132959539969446e-08	8.572597176367303e-09	0.09702890697664573
isoUsage.M21_darkred	6.534669026464908e-09	5.906014146490107e-09	0.13426737402542938
isoUsage.M13_salmon	5.043475742723911e-09	4.640435706871289e-09	0.1385506866784058
isoUsage.M20_royalblue	3.991735524916579e-09	4.5921271177835045e-09	0.19235347392507407
isoUsage.M26_darkorange	7.146015368215132e-09	8.88187345881658e-09	0.21053632038906844
isoUsage.M4_yellow	2.9695216370438502e-09	3.914363186574921e-09	0.22403938419991792
isoUsage.M8_pink	3.4345690608466988e-09	5.1615041337674756e-09	0.252890887450107
isoUsage.M6_red	2.081429758979863e-09	3.2312026494280553e-09	0.25973401099385796
isoUsage.M7_black	1.5301003020221233e-09	2.6681858733109328e-09	0.2831663291785145
isoUsage.M10_purple	1.1597121810208733e-09	3.5581322144397945e-09	0.37223757964644844
isoUsage.M28_skyblue	1.2348536753401766e-09	6.038578031602588e-09	0.4189836948734096
isoUsage.M1_turquoise	5.524602620460684e-10	3.0431311500159666e-09	0.4279705500402994
isoUsage.M24_darkgrey	7.687943556419872e-10	4.304552124040057e-09	0.4291257744456223
isoUsage.M5_green	2.134637861512995e-10	2.6443086940050746e-09	0.46783003151894026
isoUsage.M11_greenyellow	3.8907188101630624e-10	5.395757404158458e-09	0.47125837762918193
isoUsage.M23_darkturquoise	-2.8153815104036043e-10	4.917054658794943e-09	0.5228299539733563
isoUsage.M25_orange	-6.103374114360991e-10	5.26020447387887e-09	0.5461853072033482
isoUsage.M19_lightyellow	-4.453822868931697e-10	3.6357179041599915e-09	0.5487492223326139
isoUsage.M18_lightgreen	-2.067185528314568e-09	4.498795889468022e-09	0.6770615316555659
isoUsage.M14_cyan	-2.6050979411927328e-09	3.911838823850102e-09	0.7472791952490038
isoUsage.M0_grey	-7.643197257625088e-09	9.528432577039223e-09	0.7887658421744683
isoUsage.M29_saddlebrown	-4.764734718473379e-09	4.936432568381173e-09	0.8327822416726194
isoUsage.M16_lightcyan	-4.794295361626799e-09	3.6738895213264875e-09	0.9040475299888082
isoUsage.M17_grey60	-6.557946395322661e-09	4.657406980366787e-09	0.9204445533543062
isoUsage.M22_darkgreen	-7.433964186397633e-09	3.961402139769716e-09	0.9697134781746455
