Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M19_lightyellow	4.506297667351621e-08	1.1311612592239568e-08	3.391382612183644e-05
isoUsage.M1_turquoise	1.010379656572583e-08	4.39052844760671e-09	0.010688153957053205
isoUsage.M15_midnightblue	2.109215842999479e-08	9.50207790454438e-09	0.013218153689870447
isoUsage.M3_brown	9.301133944915548e-09	4.694100304736884e-09	0.02377030947544515
isoUsage.M16_lightcyan	1.3498182062289537e-08	8.60655333344529e-09	0.058398460869156815
isoUsage.M28_skyblue	1.721196822271491e-08	1.1997424376630953e-08	0.07569505323461857
isoUsage.M9_magenta	1.2807038902001173e-08	8.950032465205883e-09	0.07622243378208952
isoUsage.M2_blue	5.79537520663639e-09	4.598043238880266e-09	0.1037624916967898
isoUsage.M4_yellow	6.541039370159055e-09	5.506019923429712e-09	0.11742072260386666
isoUsage.M20_royalblue	1.076817967218305e-08	9.502435315497817e-09	0.128564695868853
isoUsage.M6_red	4.693430996892787e-09	5.251591263189267e-09	0.18573693839712285
isoUsage.M21_darkred	1.0516254174489465e-08	1.1894267469799784e-08	0.18830903862219545
isoUsage.M29_saddlebrown	8.715118320157786e-09	1.1293705226767105e-08	0.22015220274980052
isoUsage.M24_darkgrey	6.4476878942004e-09	1.0153322937980928e-08	0.26270367854982
isoUsage.M8_pink	4.094737933092542e-09	7.3710834603484385e-09	0.2892716669756652
isoUsage.M27_white	5.230004082589944e-09	1.0343191514749646e-08	0.3065522294942691
isoUsage.M12_tan	2.8235275163407538e-09	7.679017327609473e-09	0.35655075995081
isoUsage.M13_salmon	1.7829065651548154e-09	7.926010064672619e-09	0.4110115100712137
isoUsage.M10_purple	1.5285080335620854e-09	6.94829413194842e-09	0.4129421162156132
isoUsage.M25_orange	1.5926123859369902e-09	9.993372163473365e-09	0.4366899218258684
isoUsage.M7_black	-3.864417770965156e-10	6.667333678939366e-09	0.5231099410421084
isoUsage.M18_lightgreen	-2.7278458408064563e-09	8.929692819158258e-09	0.6199998397157793
isoUsage.M17_grey60	-4.931981323335611e-09	7.810634087016387e-09	0.7361250107282235
isoUsage.M26_darkorange	-7.306565967483837e-09	9.5177054744564e-09	0.7786617711766259
isoUsage.M22_darkgreen	-8.32928027050816e-09	8.550672645060531e-09	0.8349985887722449
isoUsage.M11_greenyellow	-7.3481642876744895e-09	7.494883605931967e-09	0.8365615833771043
isoUsage.M23_darkturquoise	-9.641471284995369e-09	8.778288711937355e-09	0.8639701259751501
isoUsage.M14_cyan	-8.87798781027842e-09	7.607937863815516e-09	0.8783821899644289
isoUsage.M0_grey	-3.620717749616997e-08	2.9329323385209294e-08	0.8914924878406172
isoUsage.M5_green	-7.897182229002833e-09	5.28154373711883e-09	0.9325742583938572
