Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M0_grey	3.791858215338407e-08	2.2797620919973973e-08	0.048129274224308446
isoUsage.M11_greenyellow	2.0452571714603892e-08	1.2340353117009131e-08	0.04872201347767006
isoUsage.M6_red	1.1991029010487043e-08	9.180906396387025e-09	0.09576210669538282
isoUsage.M17_grey60	1.8290454935066093e-08	1.5081507885127255e-08	0.11260819164741875
isoUsage.M3_brown	7.600070567650076e-09	6.421580393452599e-09	0.11830150878895118
isoUsage.M15_midnightblue	1.8457307740807194e-08	1.6621560837039077e-08	0.1334039350800858
isoUsage.M13_salmon	1.5482425573510864e-08	1.4067623356648772e-08	0.13554159393162857
isoUsage.M14_cyan	1.1594267063392633e-08	1.2206319829034195e-08	0.1710922775022537
isoUsage.M9_magenta	9.106331307247772e-09	1.0643204626961481e-08	0.19610939387191173
isoUsage.M26_darkorange	9.81760060450621e-09	1.4417529552283677e-08	0.24795191864006177
isoUsage.M27_white	9.179390403918124e-09	1.47055945526519e-08	0.26624458951370944
isoUsage.M4_yellow	3.651488179828867e-09	8.09029060878894e-09	0.3258715288066654
isoUsage.M12_tan	4.372928869449932e-09	1.0154334548485725e-08	0.3333627039880289
isoUsage.M10_purple	2.413454878157701e-09	1.0644865926415406e-08	0.4103188788497165
isoUsage.M16_lightcyan	2.3443523852505045e-09	1.0645210862682875e-08	0.4128475677869853
isoUsage.M24_darkgrey	9.374951223735876e-10	1.7112772566659995e-08	0.4781555299885747
isoUsage.M23_darkturquoise	5.216617037719141e-10	1.341543792242494e-08	0.48449096657432994
isoUsage.M8_pink	3.553051807149591e-10	9.151084028767663e-09	0.4845143315440692
isoUsage.M18_lightgreen	-4.150621327409632e-10	1.4666334539661574e-08	0.5112886919877723
isoUsage.M22_darkgreen	-7.648471676311387e-10	1.144287555492679e-08	0.5266456470463861
isoUsage.M19_lightyellow	-9.282862702126513e-10	1.2211183045997638e-08	0.530298150521926
isoUsage.M5_green	-5.809666372768807e-10	7.56777999274874e-09	0.5305961196522325
isoUsage.M20_royalblue	-1.7598764878582644e-09	1.3928316009988359e-08	0.550273519743269
isoUsage.M29_saddlebrown	-3.732140845249797e-09	1.684778140782248e-08	0.5876566863977608
isoUsage.M25_orange	-8.696324730526751e-09	1.4749095202681843e-08	0.7222764437746145
isoUsage.M1_turquoise	-5.1969572503195644e-09	7.521262543679462e-09	0.7552074048198427
isoUsage.M21_darkred	-8.923430834879738e-09	1.2399833296191833e-08	0.7641270289803493
isoUsage.M2_blue	-6.409691865591942e-09	7.008233723637221e-09	0.8197977207025189
isoUsage.M7_black	-1.1249253688685901e-08	9.475502797239176e-09	0.8824243137497951
isoUsage.M28_skyblue	-3.3325479869634605e-08	1.3334704358400268e-08	0.9937754902169936
