Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M16_lightcyan	2.992311009082888e-08	1.6424251457638067e-08	0.03423615959643851
isoUsage.M29_saddlebrown	3.201646135253117e-08	1.8633860215868774e-08	0.04288123166378521
isoUsage.M13_salmon	2.1529559839094822e-08	1.4116429533041946e-08	0.06361183932356733
isoUsage.M1_turquoise	9.836844039129546e-09	7.988643172947713e-09	0.10909533299377944
isoUsage.M14_cyan	1.8407874904851126e-08	1.517250691273603e-08	0.1125192564875584
isoUsage.M25_orange	1.8522831374672506e-08	1.5649273878178512e-08	0.11828128123908577
isoUsage.M3_brown	1.0028546244568568e-08	8.915609181529856e-09	0.13033050231921645
isoUsage.M19_lightyellow	1.6753097852495564e-08	1.7267806883262744e-08	0.16597525801567198
isoUsage.M18_lightgreen	1.2062703039225934e-08	1.586811109235458e-08	0.22357194827347482
isoUsage.M24_darkgrey	1.3307017370306559e-08	1.8319988235639365e-08	0.23380720103346986
isoUsage.M2_blue	4.1177733336365425e-09	7.383595272859729e-09	0.28852729973610414
isoUsage.M15_midnightblue	8.16212133712502e-09	1.6879259873325156e-08	0.31434936946004105
isoUsage.M28_skyblue	8.112719471068138e-09	2.07336713292279e-08	0.3477942748796239
isoUsage.M11_greenyellow	4.910057280223911e-09	1.3771319956620707e-08	0.3607172619532508
isoUsage.M26_darkorange	6.92065181617372e-09	2.0077020628318222e-08	0.3651580340885504
isoUsage.M17_grey60	3.0410554547882153e-09	1.4048564864505573e-08	0.4143117406099115
isoUsage.M8_pink	2.169973765278292e-09	1.1074680704123372e-08	0.4223285350239368
isoUsage.M20_royalblue	3.1729464597470956e-09	1.9718646309233358e-08	0.4360817619421169
isoUsage.M12_tan	1.7790966815297242e-09	1.5360532035900192e-08	0.45389657139048106
isoUsage.M9_magenta	4.1015768612084765e-10	1.0804784484218943e-08	0.48485948955586894
isoUsage.M10_purple	-2.5331623065433277e-09	1.281452907594061e-08	0.5783518593502766
isoUsage.M21_darkred	-5.017464926891497e-09	1.6820668384078592e-08	0.6172597116545617
isoUsage.M23_darkturquoise	-5.48151584337965e-09	1.7157007245703137e-08	0.6253230348077751
isoUsage.M22_darkgreen	-5.317202218841128e-09	1.3972901333235714e-08	0.6482264825019256
isoUsage.M0_grey	-1.493746470467563e-08	3.450966329301112e-08	0.6674376736715538
isoUsage.M27_white	-1.0285209450131506e-08	1.581554726966143e-08	0.7422581024177487
isoUsage.M6_red	-6.587615657990289e-09	8.908728606301581e-09	0.7701850225257088
isoUsage.M4_yellow	-8.81828956266741e-09	8.860971950007219e-09	0.8401763909110413
isoUsage.M7_black	-1.1670020294670152e-08	1.0516639542333534e-08	0.8664298007550253
isoUsage.M5_green	-1.198460906650089e-08	8.442216103725084e-09	0.9221385915951583
