Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M2_blue	3.442044727718732e-09	9.238426396483383e-10	9.735178558674402e-05
isoUsage.M20_royalblue	5.074248823906281e-09	2.4020492115328012e-09	0.01732322225313314
isoUsage.M15_midnightblue	3.201073386892324e-09	1.9914673308340287e-09	0.0539839415463341
isoUsage.M1_turquoise	1.5391865211323509e-09	1.0325176570708325e-09	0.0680185545159596
isoUsage.M12_tan	2.1222297604626882e-09	1.5031497766719943e-09	0.0789963072544152
isoUsage.M8_pink	1.7119469174643113e-09	1.2544138320710403e-09	0.08616761895321001
isoUsage.M24_darkgrey	3.114047481322871e-09	2.325310835484519e-09	0.0902534013336081
isoUsage.M25_orange	2.3374326176316938e-09	1.906656241635295e-09	0.11011196319574323
isoUsage.M19_lightyellow	2.17777254839634e-09	1.9018180445582494e-09	0.12608379091826466
isoUsage.M3_brown	9.98618165548864e-10	8.981579462411918e-10	0.13310102488215686
isoUsage.M21_darkred	3.7341934190953e-09	3.690076686807714e-09	0.1557796641173897
isoUsage.M4_yellow	1.4276072076420782e-09	1.418412759397414e-09	0.1570918327265307
isoUsage.M23_darkturquoise	1.963872990878204e-09	1.990110125840729e-09	0.1618663660154107
isoUsage.M28_skyblue	1.8163641739450651e-09	2.969141323730449e-09	0.27035248255681754
isoUsage.M14_cyan	5.685950276622285e-10	1.5493806959565535e-09	0.35681617390356823
isoUsage.M26_darkorange	3.0858391905041007e-10	1.865577172391555e-09	0.43431089496051617
isoUsage.M9_magenta	6.45829383652238e-11	1.4800919225497372e-09	0.4825979111416958
isoUsage.M11_greenyellow	-4.4773938443354174e-11	1.5232546777795656e-09	0.5117246614031169
isoUsage.M29_saddlebrown	-6.837381192132485e-10	1.850809379151174e-09	0.6440950934197115
isoUsage.M13_salmon	-5.833159834149088e-10	1.565454947420087e-09	0.6452834445872176
isoUsage.M6_red	-4.369900413680614e-10	1.0597202974991847e-09	0.6599635183602457
isoUsage.M17_grey60	-7.88399977590407e-10	1.3741441619740133e-09	0.7169277540942334
isoUsage.M10_purple	-1.0160950982244634e-09	1.2919035372607336e-09	0.7842156292386789
isoUsage.M18_lightgreen	-1.4451836859763597e-09	1.7188489839228971e-09	0.7997660066712626
isoUsage.M0_grey	-6.560542343747719e-09	7.699258414455222e-09	0.8029208571367457
isoUsage.M22_darkgreen	-1.843324757818962e-09	1.5663206432349563e-09	0.8803723484695922
isoUsage.M16_lightcyan	-1.4397911039252702e-09	1.1621529593723576e-09	0.8923087016920325
isoUsage.M7_black	-1.3660601886130249e-09	9.986838684318754e-10	0.9143221228164824
isoUsage.M27_white	-2.7370371326987695e-09	1.855237166794143e-09	0.9299344625350134
isoUsage.M5_green	-1.433762406229519e-09	8.728925757508308e-10	0.949761098380716
