Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M2_blue	1.6574589166435907e-09	4.118451645019015e-10	2.8551766280143442e-05
isoUsage.M20_royalblue	2.229367109816253e-09	1.1167363120022878e-09	0.02294935272920476
isoUsage.M24_darkgrey	1.7297280024816373e-09	9.743971923069231e-10	0.037934289215732026
isoUsage.M15_midnightblue	1.5075752715031597e-09	8.57186128545688e-10	0.03931007283875891
isoUsage.M1_turquoise	7.813754215685447e-10	4.747580520399852e-10	0.04989843270300467
isoUsage.M23_darkturquoise	1.1189768607447358e-09	9.113363142922104e-10	0.10975317213272379
isoUsage.M12_tan	7.733619920958908e-10	6.487121114009984e-10	0.11660126310352448
isoUsage.M8_pink	6.62970146992129e-10	5.798650307059739e-10	0.12645328501513808
isoUsage.M3_brown	3.9314923411580766e-10	4.0892236892092684e-10	0.1681686170181016
isoUsage.M21_darkred	1.9826186579798084e-09	2.144657701497629e-09	0.1776272682821432
isoUsage.M4_yellow	6.319697814299229e-10	7.220471726619382e-10	0.1907197023707452
isoUsage.M19_lightyellow	6.136694159550441e-10	7.838067210240454e-10	0.21683275361452103
isoUsage.M25_orange	5.673955302068815e-10	7.743127903260551e-10	0.23184843638170938
isoUsage.M28_skyblue	3.3773120617413875e-10	1.140068101621974e-09	0.3835242618283968
isoUsage.M14_cyan	1.101930308959758e-10	6.685282623870844e-10	0.43453917930702474
isoUsage.M9_magenta	9.653878855540769e-11	6.815691985720772e-10	0.44368141586553184
isoUsage.M26_darkorange	5.471005304869678e-11	7.652408885102372e-10	0.4715023409211203
isoUsage.M11_greenyellow	-1.6187169732789002e-11	7.012299991432996e-10	0.5092083523772284
isoUsage.M6_red	-8.67959533465908e-11	4.435505732902083e-10	0.5775714248655839
isoUsage.M10_purple	-1.8998998341017173e-10	5.903980162694349e-10	0.6261978298270132
isoUsage.M29_saddlebrown	-3.031198387276034e-10	7.377944357658318e-10	0.6594072428181825
isoUsage.M13_salmon	-5.234665866661069e-10	6.392699418807365e-10	0.7935641762511555
isoUsage.M0_grey	-3.141609286292106e-09	3.2367479035309104e-09	0.8341279223947571
isoUsage.M22_darkgreen	-6.957442555245903e-10	6.843335823496677e-10	0.8453457638953357
isoUsage.M27_white	-8.819982580755041e-10	7.943688504165067e-10	0.8665679667698178
isoUsage.M18_lightgreen	-8.493967006110852e-10	7.421635362663444e-10	0.8737891875937243
isoUsage.M7_black	-5.804378799548336e-10	4.4257022996735784e-10	0.9051582321025186
isoUsage.M17_grey60	-8.543341317526572e-10	5.792649669599157e-10	0.9298747682205493
isoUsage.M16_lightcyan	-8.141203962055593e-10	4.691421425786326e-10	0.9586595620066761
isoUsage.M5_green	-7.306049814903426e-10	3.768430109463666e-10	0.9737342024630138
