Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M25_orange	5.343430773577011e-08	2.5053352030328275e-08	0.016469718878166367
isoUsage.M4_yellow	1.4767251710808223e-08	1.2834313916481873e-08	0.12494697148631606
isoUsage.M6_red	1.1197263627453281e-08	1.1826635102198618e-08	0.17187454159098287
isoUsage.M26_darkorange	2.702594779383887e-08	3.586794623393261e-08	0.2255793586272699
isoUsage.M23_darkturquoise	1.7069151909224658e-08	2.4460930435933593e-08	0.24264711673782896
isoUsage.M0_grey	1.3475525784952288e-08	2.5720102675668856e-08	0.30016371687002896
isoUsage.M7_black	5.638720004202329e-09	1.2101974874907347e-08	0.32063141774073545
isoUsage.M15_midnightblue	1.8500522307305957e-08	4.34136667668521e-08	0.3350010514660221
isoUsage.M10_purple	3.4224281358140493e-09	1.6665736310664458e-08	0.41864654748784874
isoUsage.M22_darkgreen	1.4509389335734837e-09	1.7421719931888736e-08	0.46681312558598437
isoUsage.M16_lightcyan	7.153006789912822e-10	1.294029210212808e-08	0.47795888804980013
isoUsage.M11_greenyellow	-1.1071535554491879e-09	1.3411962637621161e-08	0.532895202738844
isoUsage.M17_grey60	-3.280753612946841e-09	1.403966908850504e-08	0.5923822896157027
isoUsage.M1_turquoise	-2.8359367235597357e-09	8.906947855737319e-09	0.6249077205256804
isoUsage.M12_tan	-7.704310371014774e-09	1.4953884556564606e-08	0.6967949785960509
isoUsage.M2_blue	-5.586592288572023e-09	1.039598524125459e-08	0.7044973471933409
isoUsage.M13_salmon	-9.688440249218138e-09	1.776079021240004e-08	0.7072937890560858
isoUsage.M28_skyblue	-1.3490888259642904e-08	1.9511229256381238e-08	0.7553561696931377
isoUsage.M8_pink	-1.0960695568356153e-08	1.4930377138898517e-08	0.7685623423735394
isoUsage.M19_lightyellow	-1.183100048850004e-08	1.5843848168773516e-08	0.7723852685856469
isoUsage.M20_royalblue	-1.535707388095804e-08	1.7795476650679475e-08	0.8059247401096228
isoUsage.M9_magenta	-1.1652553203896371e-08	1.2871677178212924e-08	0.8173431378388805
isoUsage.M5_green	-8.5057648313037e-09	9.320414243036548e-09	0.8192722468896305
isoUsage.M27_white	-1.6543980858698367e-08	1.35443240043238e-08	0.8890458771785836
isoUsage.M18_lightgreen	-1.898070902750205e-08	1.3785984170849644e-08	0.9157148167109672
isoUsage.M21_darkred	-2.2411167040258038e-08	1.6201342545007313e-08	0.9167121311622067
isoUsage.M24_darkgrey	-2.5870664075004853e-08	1.599831368970158e-08	0.9470702418516709
isoUsage.M3_brown	-1.6399129598838064e-08	9.511034572263181e-09	0.9576660612574891
isoUsage.M29_saddlebrown	-2.5631117832526794e-08	1.4822213651635518e-08	0.9581166418959898
isoUsage.M14_cyan	-3.595935739780109e-08	1.1456679431336151e-08	0.9991515747407641
