Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M4_yellow	2.031913237936728e-08	1.3055317605475385e-08	0.059807994720059474
isoUsage.M15_midnightblue	2.9670103596527612e-08	2.030356486096411e-08	0.07196315855806082
isoUsage.M1_turquoise	1.5065283829533763e-08	1.1119385372362517e-08	0.08773003171856686
isoUsage.M12_tan	2.463719309214831e-08	2.0049216497461622e-08	0.10956670578108063
isoUsage.M10_purple	2.0169553875732572e-08	1.706618962215873e-08	0.1186340344928754
isoUsage.M8_pink	1.5028739429382582e-08	1.3761306514483674e-08	0.13739430988423362
isoUsage.M19_lightyellow	2.199647001711937e-08	2.286300938276197e-08	0.16800003098424676
isoUsage.M13_salmon	1.6285602764673664e-08	1.855706736922972e-08	0.19008157835744405
isoUsage.M11_greenyellow	1.3131266401536623e-08	1.6736592772881806e-08	0.21634869574577076
isoUsage.M24_darkgrey	2.057920404904365e-08	2.701327542828295e-08	0.2230842671979154
isoUsage.M27_white	1.840482983295647e-08	2.567009783951698e-08	0.2366946238602058
isoUsage.M17_grey60	1.1912858221136812e-08	2.162980604996279e-08	0.2908986880673867
isoUsage.M20_royalblue	1.033425383359608e-08	2.044797165462252e-08	0.3066415529451431
isoUsage.M21_darkred	1.0173418783791926e-08	2.2243862232132095e-08	0.3237067050411908
isoUsage.M18_lightgreen	8.07857983624629e-09	1.9591308092195326e-08	0.34003950863322163
isoUsage.M16_lightcyan	5.920812257007445e-09	1.796033210921584e-08	0.37082824749646937
isoUsage.M9_magenta	4.54522366768604e-09	1.5232655423351607e-08	0.3827039722432616
isoUsage.M14_cyan	4.173692076404191e-09	1.906711675099341e-08	0.4133660115211778
isoUsage.M28_skyblue	4.429149422856779e-09	2.0309606428846374e-08	0.4136828059066694
isoUsage.M3_brown	1.848658159358845e-09	8.99406331712905e-09	0.4185743263882874
isoUsage.M2_blue	1.3209117712676518e-09	1.1311244764435596e-08	0.4535177356824893
isoUsage.M0_grey	-3.6851339403599227e-09	3.5934203551105574e-08	0.5408408347196959
isoUsage.M25_orange	-6.113504591847141e-09	2.2185173782966775e-08	0.608559719233027
isoUsage.M6_red	-4.572952227691518e-09	1.2049917421846458e-08	0.6478419617589368
isoUsage.M5_green	-4.961378439035613e-09	1.2063068430454127e-08	0.6595688041172021
isoUsage.M23_darkturquoise	-9.37602282746834e-09	1.9205344996553095e-08	0.6872954172508703
isoUsage.M22_darkgreen	-1.398408022398924e-08	1.7042873076820824e-08	0.7940411703206504
isoUsage.M26_darkorange	-1.5523741095573812e-08	1.8068614861843782e-08	0.8048725012004085
isoUsage.M7_black	-2.030639275424835e-08	1.2900545947795786e-08	0.9422646386841516
isoUsage.M29_saddlebrown	-4.4061937796634974e-08	2.165802318627492e-08	0.9790463485052091
