Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M2_blue	1.166821432946283e-08	3.0739682687672244e-09	7.357965662260326e-05
isoUsage.M19_lightyellow	1.7963952765973283e-08	6.655088490203983e-09	0.003474475534572146
isoUsage.M9_magenta	9.82641423834632e-09	4.495561691429857e-09	0.014414994264870716
isoUsage.M15_midnightblue	1.2905760040404214e-08	5.970346358063317e-09	0.015322835183685749
isoUsage.M4_yellow	9.660969494411061e-09	5.181659559023353e-09	0.031128939046752867
isoUsage.M24_darkgrey	1.2750011300301834e-08	7.730263369695605e-09	0.049536632874255825
isoUsage.M1_turquoise	5.401536615432349e-09	3.3009677007272987e-09	0.0508832382294693
isoUsage.M20_royalblue	8.743567377203696e-09	6.201532798015396e-09	0.07928398049048441
isoUsage.M25_orange	8.947504236201412e-09	8.347969349736691e-09	0.14190088192019984
isoUsage.M12_tan	5.1768640453566476e-09	5.18169127699274e-09	0.15888077736528583
isoUsage.M14_cyan	4.524960435056369e-09	5.731218525163867e-09	0.21490158603248993
isoUsage.M23_darkturquoise	3.865758812894255e-09	6.30058791290357e-09	0.2697546301307669
isoUsage.M0_grey	7.0342690178615e-09	1.2913348546521213e-08	0.2929701292956478
isoUsage.M3_brown	1.3673834358413264e-09	3.1261319649617663e-09	0.33090909795449625
isoUsage.M21_darkred	5.498380543036277e-09	1.5707333518283426e-08	0.36314990744741277
isoUsage.M16_lightcyan	2.4134706751750776e-10	4.517439226719735e-09	0.4786963895716698
isoUsage.M28_skyblue	-7.910288387694944e-10	6.91347271799667e-09	0.545546955830601
isoUsage.M26_darkorange	-1.3111431351739715e-09	6.76747994112656e-09	0.5768109345846448
isoUsage.M27_white	-1.4910406642301517e-09	6.047461301059883e-09	0.5973742487739746
isoUsage.M18_lightgreen	-1.5713844104882713e-09	5.2453663476061676e-09	0.6177495974174506
isoUsage.M11_greenyellow	-1.5799935342669265e-09	4.808917774924999e-09	0.6287539319725186
isoUsage.M17_grey60	-1.5113500954850025e-09	4.354412514548878e-09	0.6357361678265878
isoUsage.M13_salmon	-2.1069510302876325e-09	4.391757852726881e-09	0.6842978360689019
isoUsage.M29_saddlebrown	-3.10065269178627e-09	5.702836538735905e-09	0.7066772687437114
isoUsage.M10_purple	-2.5940641290685632e-09	4.221777933746004e-09	0.7305404251384999
isoUsage.M6_red	-2.3190655708914656e-09	3.5294138667498326e-09	0.744431463308658
isoUsage.M8_pink	-3.8862365415783015e-09	3.65985515861088e-09	0.8558493063320891
isoUsage.M5_green	-5.448207841561534e-09	3.4082230693220306e-09	0.9450394533292165
isoUsage.M22_darkgreen	-8.528819687046458e-09	5.325486226067137e-09	0.9453680015420042
isoUsage.M7_black	-8.891983045600947e-09	3.1885184371982294e-09	0.9973544111741772
