Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M2_blue	2.0854451308889798e-09	8.950661132118679e-10	0.009904815073283356
isoUsage.M1_turquoise	2.033591464287546e-09	9.126551578275197e-10	0.012933107004844048
isoUsage.M3_brown	1.3573787305579609e-09	9.351383229496009e-10	0.07331655409513346
isoUsage.M25_orange	2.342664817101082e-09	1.9212541475485496e-09	0.11135731134027016
isoUsage.M13_salmon	1.708379787585561e-09	1.4923190099553e-09	0.12614975802787032
isoUsage.M28_skyblue	1.900995415890483e-09	2.055260284496025e-09	0.17749818353816998
isoUsage.M7_black	5.830237742660057e-10	1.0805822883884976e-09	0.29475510738460686
isoUsage.M14_cyan	7.103646261882851e-10	1.4801186492229956e-09	0.3156358739194246
isoUsage.M21_darkred	6.704503771549721e-10	1.5804529589892995e-09	0.3357048514421539
isoUsage.M12_tan	6.3784876009935e-10	1.52808166841814e-09	0.33818635365775396
isoUsage.M26_darkorange	6.452053734774508e-10	2.2788000389595005e-09	0.38853712635338356
isoUsage.M8_pink	2.2500792012976615e-10	1.567778910025728e-09	0.44293968523932326
isoUsage.M22_darkgreen	1.9440461862589499e-10	1.7788013346558725e-09	0.45648636810011256
isoUsage.M6_red	3.075824466653315e-11	1.0096389627178716e-09	0.4878482636666079
isoUsage.M4_yellow	-4.6986573745931853e-11	9.221488657491853e-10	0.5203186531627835
isoUsage.M5_green	-5.867555329740282e-11	9.493256235297728e-10	0.5246419806763845
isoUsage.M29_saddlebrown	-5.452971368746119e-10	2.176957302135958e-09	0.5988942012374421
isoUsage.M23_darkturquoise	-5.46281785143703e-10	1.9769943362733054e-09	0.6088486015129678
isoUsage.M11_greenyellow	-5.118313014613674e-10	1.591979915706682e-09	0.6260865661420003
isoUsage.M0_grey	-2.0571058328285408e-09	4.825613850539781e-09	0.6650513434755448
isoUsage.M19_lightyellow	-7.266305889956969e-10	1.5719389936061023e-09	0.6780493825547805
isoUsage.M15_midnightblue	-7.767210200600025e-10	1.592003547177475e-09	0.6871857671169497
isoUsage.M10_purple	-6.927419829907503e-10	1.3544750447115113e-09	0.6954808986777296
isoUsage.M24_darkgrey	-1.1452054589758566e-09	1.7435530113244146e-09	0.7443525852066862
isoUsage.M17_grey60	-1.4372206222096668e-09	1.384663507447294e-09	0.8503548688743013
isoUsage.M27_white	-2.1502161092810513e-09	2.0675938187376094e-09	0.850820897090792
isoUsage.M9_magenta	-1.3230693825041497e-09	1.2451881063820303e-09	0.8560060094027345
isoUsage.M20_royalblue	-1.9989912512947957e-09	1.5854419937137072e-09	0.8963170423240278
isoUsage.M18_lightgreen	-2.6403614541443273e-09	1.6856776429601247e-09	0.941366668534847
isoUsage.M16_lightcyan	-2.855903036444054e-09	1.291858354835753e-09	0.9864714700395929
