Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M2_blue	1.2007359682847694e-09	5.113105747950313e-10	0.009428407249091457
isoUsage.M3_brown	7.667541032670673e-10	5.239840313299116e-10	0.07169049544258672
isoUsage.M26_darkorange	1.3879394014827482e-09	1.1506437700818395e-09	0.11386468337037614
isoUsage.M12_tan	1.1414580130127007e-09	1.0147609817917968e-09	0.13032544038599936
isoUsage.M28_skyblue	1.879206438478087e-09	1.7867279969888025e-09	0.1464551714839551
isoUsage.M20_royalblue	1.2732207704770138e-09	1.2246685747513483e-09	0.14925239112798894
isoUsage.M8_pink	7.944141610125862e-10	8.87407707907198e-10	0.18533805038178813
isoUsage.M6_red	5.008847355753472e-10	5.908515450035727e-10	0.19829316144772335
isoUsage.M4_yellow	3.6601929631901575e-10	5.280484897911055e-10	0.24410623432885703
isoUsage.M25_orange	7.077368644865241e-10	1.1403278269181314e-09	0.2674171604398595
isoUsage.M1_turquoise	3.6591234495244925e-10	6.61131918346217e-10	0.28997305470886914
isoUsage.M29_saddlebrown	7.410900588140638e-10	1.7954985259123484e-09	0.3398952933587466
isoUsage.M16_lightcyan	4.119286346979653e-10	1.0155026411372206e-09	0.3425035150690776
isoUsage.M24_darkgrey	2.1517191863373243e-10	9.965515521120716e-10	0.41452641944187235
isoUsage.M5_green	2.924138966281643e-12	5.894597503192489e-10	0.49802097109731897
isoUsage.M11_greenyellow	-4.245777300399143e-11	8.802878970196583e-10	0.5192342027193796
isoUsage.M0_grey	-1.5500729250827002e-10	2.3559441056752602e-09	0.5262291351107046
isoUsage.M23_darkturquoise	-3.2858742972773327e-10	1.4109703426441192e-09	0.5920728860122461
isoUsage.M9_magenta	-2.600306592843153e-10	8.89161542036715e-10	0.6150267161359165
isoUsage.M19_lightyellow	-2.96296552083757e-10	9.787227934423517e-10	0.6189552206970874
isoUsage.M13_salmon	-3.733399920019371e-10	8.603672419557721e-10	0.667830715356819
isoUsage.M27_white	-5.154359020668085e-10	1.129448775338673e-09	0.6759346474193841
isoUsage.M15_midnightblue	-5.065677756482352e-10	8.816633738438037e-10	0.7172052635149947
isoUsage.M14_cyan	-7.175138570083778e-10	8.377430775982652e-10	0.804135044318238
isoUsage.M17_grey60	-7.235313142181993e-10	8.091878268051021e-10	0.81437786390508
isoUsage.M10_purple	-1.1443700191141557e-09	6.986444910766411e-10	0.9492877113336887
isoUsage.M7_black	-1.0905464224509197e-09	5.995188814783764e-10	0.9655470303033824
isoUsage.M21_darkred	-1.5937665385218662e-09	8.572281285280243e-10	0.9685012639022688
isoUsage.M22_darkgreen	-1.684433667419109e-09	8.566571378311455e-10	0.9753672576805648
isoUsage.M18_lightgreen	-2.015655071913786e-09	8.69155791717862e-10	0.9898050639846825
