Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M2_blue	3.484794933630063e-09	1.2839856282554507e-09	0.003323355591592589
isoUsage.M15_midnightblue	3.563583524522431e-09	2.6691692406234197e-09	0.09092330112860386
isoUsage.M20_royalblue	5.337536180784418e-09	4.0905579338800785e-09	0.09597314458563555
isoUsage.M1_turquoise	1.7401767157850054e-09	1.3604853288616928e-09	0.10043351873313561
isoUsage.M8_pink	2.3336011215108577e-09	2.146606153869546e-09	0.13849367689509634
isoUsage.M25_orange	1.5820296949977988e-09	2.3153913401876802e-09	0.24721918042228935
isoUsage.M28_skyblue	1.8746076788167566e-09	3.017226954212962e-09	0.2672006284262093
isoUsage.M29_saddlebrown	2.0861679582649354e-09	3.4146941693524202e-09	0.2706201648262698
isoUsage.M10_purple	1.0727847170909605e-09	2.183623867595708e-09	0.31161194739423337
isoUsage.M26_darkorange	1.2787551679636476e-09	2.650506752059882e-09	0.31474071820014926
isoUsage.M6_red	6.090649317405955e-10	1.3215953938132588e-09	0.3224510244845531
isoUsage.M4_yellow	2.5589097722699394e-10	1.4406755674192854e-09	0.42951120357897976
isoUsage.M24_darkgrey	3.033111741619331e-10	3.283714306109138e-09	0.46320270434552874
isoUsage.M14_cyan	-2.5329036964926596e-10	2.0458982052141326e-09	0.5492647654058243
isoUsage.M3_brown	-3.4960116281491797e-10	1.4639237812628355e-09	0.5943739459603948
isoUsage.M0_grey	-2.2660556197983146e-09	6.639481862265019e-09	0.6335611521330318
isoUsage.M9_magenta	-8.815505605629035e-10	2.0177671444201354e-09	0.6689059245239874
isoUsage.M22_darkgreen	-9.97719922084998e-10	2.121588173351225e-09	0.6809190456688444
isoUsage.M23_darkturquoise	-1.564893089592544e-09	3.032775420575772e-09	0.6970706044339494
isoUsage.M13_salmon	-1.3599062005026302e-09	2.3254600114727477e-09	0.7206555990980307
isoUsage.M21_darkred	-1.9651999060920634e-09	2.5904736898421563e-09	0.775961751589683
isoUsage.M12_tan	-1.801079075388967e-09	2.147274216818792e-09	0.7992020970568882
isoUsage.M11_greenyellow	-2.21799504882108e-09	2.297517212747589e-09	0.8328246908872013
isoUsage.M27_white	-2.6601405314985977e-09	2.619556012823012e-09	0.8450645352926358
isoUsage.M16_lightcyan	-2.6026549814348926e-09	1.936085851380538e-09	0.9105721961727453
isoUsage.M19_lightyellow	-2.905410931979569e-09	2.0497109948729975e-09	0.9218277254711565
isoUsage.M17_grey60	-2.643401457615071e-09	1.8256213459238677e-09	0.926183948759277
isoUsage.M7_black	-3.3961063049084763e-09	1.7598333748791697e-09	0.9731834788968149
isoUsage.M18_lightgreen	-4.526497169908555e-09	2.1398286528124873e-09	0.9828001475659256
isoUsage.M5_green	-3.753120480514722e-09	1.3212864603613496e-09	0.9977478899650235
