Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M15_midnightblue	1.7012288410481807e-07	6.22843786520405e-08	0.003153396424365676
isoUsage.M28_skyblue	1.6924336947566452e-07	8.198851928138258e-08	0.019497836788850243
isoUsage.M17_grey60	7.937530438988738e-08	6.1858116720489e-08	0.09971392687237046
isoUsage.M3_brown	3.800427857697819e-08	3.635152647534319e-08	0.1479038640367124
isoUsage.M25_orange	7.641718314312516e-08	8.10649748146697e-08	0.17292592386631067
isoUsage.M14_cyan	5.4844711565093143e-08	6.167308271498721e-08	0.1869259925883726
isoUsage.M19_lightyellow	5.509224334331589e-08	6.60445804893179e-08	0.20209329802691467
isoUsage.M2_blue	2.3630142208924653e-08	3.1095654822136966e-08	0.22365185468295234
isoUsage.M10_purple	3.5669511483718573e-08	5.0528525159474995e-08	0.24011639063783136
isoUsage.M0_grey	7.984817728181127e-08	1.1703442201440807e-07	0.24753654453733792
isoUsage.M24_darkgrey	4.913488247222033e-08	7.228189920045796e-08	0.24832585920352312
isoUsage.M22_darkgreen	2.3318296187087558e-08	5.594293245115123e-08	0.3384039699887994
isoUsage.M5_green	1.4328361198423627e-08	3.533433152724157e-08	0.34255199585091445
isoUsage.M4_yellow	1.3586588449363759e-08	3.41233152805209e-08	0.34525559271437056
isoUsage.M12_tan	1.4124461084372733e-08	5.277336465060212e-08	0.39448677668184856
isoUsage.M20_royalblue	1.4790948130660746e-08	6.044736295592519e-08	0.4033477048600427
isoUsage.M9_magenta	9.71489898857581e-09	4.4190696300046364e-08	0.4129977392874378
isoUsage.M27_white	1.4248352504901663e-08	8.8409973016715e-08	0.43598279588641126
isoUsage.M11_greenyellow	6.758430261959571e-09	5.005205444998038e-08	0.44629485664889734
isoUsage.M16_lightcyan	5.482503245112776e-09	5.2357722772051806e-08	0.4583020078431698
isoUsage.M13_salmon	-3.293246540052189e-10	4.723856645151732e-08	0.5027812119228344
isoUsage.M23_darkturquoise	-8.221384573900582e-10	6.562852548593524e-08	0.5049974795308672
isoUsage.M6_red	-4.035344436579959e-09	3.514605065128729e-08	0.5457046912341446
isoUsage.M18_lightgreen	-2.101416090334182e-08	6.780962359867725e-08	0.6216812661696234
isoUsage.M21_darkred	-2.713465043542444e-08	6.365090931161545e-08	0.6650569037150803
isoUsage.M26_darkorange	-3.2277316094000097e-08	6.744107829294302e-08	0.6838884753525156
isoUsage.M8_pink	-2.3284255803900108e-08	4.589253393833701e-08	0.6940505566261519
isoUsage.M29_saddlebrown	-6.824202436910487e-08	7.849453034329816e-08	0.8076819065155407
isoUsage.M1_turquoise	-3.490822212190245e-08	3.635092453024193e-08	0.8315508459496194
isoUsage.M7_black	-7.732389424917958e-08	3.921306110889995e-08	0.9756889919542869
