Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M0_grey	1.2217704720592682e-08	4.675797888368286e-09	0.004488000850687321
isoUsage.M25_orange	6.289765141438412e-09	3.248980961140019e-09	0.026438789134191194
isoUsage.M20_royalblue	4.079239196579164e-09	2.5630307469487923e-09	0.0557408377311955
isoUsage.M15_midnightblue	3.8661317146168574e-09	2.429614243987712e-09	0.055776289578943004
isoUsage.M24_darkgrey	3.903129739360466e-09	2.7910514109143854e-09	0.08098985460584479
isoUsage.M26_darkorange	3.214481491437683e-09	2.493406632574379e-09	0.09866556070767907
isoUsage.M17_grey60	2.2182747889196778e-09	1.8993278863800585e-09	0.12141826867636046
isoUsage.M19_lightyellow	2.386564069196262e-09	2.074543724856243e-09	0.12498869023729747
isoUsage.M11_greenyellow	2.012121410834205e-09	1.802045828333363e-09	0.13208779484250577
isoUsage.M8_pink	1.8981388628321983e-09	1.7142294723616446e-09	0.13408558040616542
isoUsage.M28_skyblue	3.6697797109160333e-09	3.5336175069181876e-09	0.14951090305940562
isoUsage.M12_tan	2.0795212147264903e-09	2.1490482596156425e-09	0.16661021851383406
isoUsage.M22_darkgreen	2.0551249627214226e-09	2.1684195456959825e-09	0.17162774328347769
isoUsage.M23_darkturquoise	2.1281068833793353e-09	2.6125656499799442e-09	0.20766041882386305
isoUsage.M29_saddlebrown	2.034356757816075e-09	3.0303971878475932e-09	0.25100934465776836
isoUsage.M27_white	1.662712594860149e-09	2.497365578902007e-09	0.2527737482293201
isoUsage.M6_red	7.058777808303767e-10	1.2942240932446033e-09	0.2927371055619661
isoUsage.M2_blue	3.5014597621827686e-10	1.2102937404348812e-09	0.3861733781532013
isoUsage.M18_lightgreen	3.9070348655943126e-10	2.1831050066425428e-09	0.42898185479550377
isoUsage.M16_lightcyan	2.926384555715138e-10	2.0643509702782944e-09	0.44363554355958756
isoUsage.M3_brown	5.1326782148962804e-11	1.2195297684456127e-09	0.4832145302926403
isoUsage.M7_black	-2.4984512681250463e-10	1.4749860963353743e-09	0.5672543176391722
isoUsage.M10_purple	-4.226176294929647e-10	1.5770935930171879e-09	0.6056397363349532
isoUsage.M5_green	-4.975178825429259e-10	1.3679570562131939e-09	0.6419567675959126
isoUsage.M9_magenta	-1.1637056648371804e-09	1.754663117126944e-09	0.7464011520553567
isoUsage.M21_darkred	-1.4559551088957684e-09	2.0406860072119932e-09	0.7622205236154487
isoUsage.M4_yellow	-1.1200227834281475e-09	1.2535963246442898e-09	0.8141912724980289
isoUsage.M14_cyan	-2.2187360797776084e-09	1.6979112705360313e-09	0.9043502365795364
isoUsage.M1_turquoise	-1.878378910750697e-09	1.2418562284360623e-09	0.9348039474724941
isoUsage.M13_salmon	-4.674822136243483e-09	1.7624588304080704e-09	0.9960044227262526
