Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M2_blue	1.5372638652852826e-08	4.334347888433776e-09	0.00019504306718780013
isoUsage.M3_brown	1.3997110790884447e-08	5.213950805143601e-09	0.003631377708784606
isoUsage.M9_magenta	1.81935060962186e-08	9.364966955538782e-09	0.02602501538127399
isoUsage.M1_turquoise	9.305311994303849e-09	4.9228512949598465e-09	0.029363728070883704
isoUsage.M19_lightyellow	1.615359231370124e-08	9.990309521437343e-09	0.052947115777898804
isoUsage.M8_pink	1.1782209729548905e-08	7.591208728407156e-09	0.06032080888368456
isoUsage.M11_greenyellow	9.435045521239524e-09	8.088361390686337e-09	0.1217068747284018
isoUsage.M20_royalblue	1.2933497087167478e-08	1.1556879475933648e-08	0.13154517321641207
isoUsage.M12_tan	8.679451925978024e-09	8.679802956417596e-09	0.15866503996090742
isoUsage.M15_midnightblue	8.526897569733127e-09	8.995262518561908e-09	0.1715820257416924
isoUsage.M16_lightcyan	6.714547056658903e-09	8.636166371832717e-09	0.2184343858039065
isoUsage.M4_yellow	4.4357390781955e-09	5.8664088765664545e-09	0.2247870930771783
isoUsage.M24_darkgrey	7.944527211930086e-09	1.0696700281889921e-08	0.22882917641906053
isoUsage.M28_skyblue	7.806000098783173e-09	1.317776502984339e-08	0.2768042849774253
isoUsage.M26_darkorange	6.52593581299887e-09	1.221202421204967e-08	0.2965372219884558
isoUsage.M29_saddlebrown	4.660805871419295e-09	1.0807507862040894e-08	0.33314101009088637
isoUsage.M23_darkturquoise	4.056715939222678e-09	1.0899026211709255e-08	0.35486861288141175
isoUsage.M6_red	2.0258241089224556e-09	5.648500208570415e-09	0.35992916342331144
isoUsage.M7_black	1.1172943422123287e-09	5.677497690709042e-09	0.42199458959877245
isoUsage.M10_purple	-1.0402602012029418e-09	7.458350234481297e-09	0.5554629553552328
isoUsage.M22_darkgreen	-1.7412250269189325e-09	1.2260258132414692e-08	0.5564686422287
isoUsage.M27_white	-3.4118011853208778e-09	1.0415890561157804e-08	0.6283768012097861
isoUsage.M25_orange	-3.672661481137263e-09	1.0765622491435892e-08	0.6335035980769572
isoUsage.M17_grey60	-3.0386571123948302e-09	7.846370320156911e-09	0.650721516632671
isoUsage.M0_grey	-1.518503855855592e-08	3.638177809296722e-08	0.6617998801079977
isoUsage.M21_darkred	-7.274351916927954e-09	1.07724253652142e-08	0.7502495380198533
isoUsage.M13_salmon	-5.63117978957076e-09	7.719440649653701e-09	0.7671460393891257
isoUsage.M18_lightgreen	-1.2419104535378232e-08	8.097258357402878e-09	0.9374534210826492
isoUsage.M5_green	-1.0424690104074221e-08	5.464206655142797e-09	0.9717923714347366
isoUsage.M14_cyan	-1.9205048634772917e-08	6.259795681710133e-09	0.9989225143082388
