Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M2_blue	6.617903337191749e-08	1.5938957851669805e-08	1.6476942512252824e-05
isoUsage.M3_brown	4.4452889636350365e-08	1.718439407762595e-08	0.004843345490474684
isoUsage.M9_magenta	6.47457683861823e-08	3.083200677714373e-08	0.017866483244957168
isoUsage.M20_royalblue	6.869484920677927e-08	3.5444526593873486e-08	0.02630583485815115
isoUsage.M8_pink	4.05814526388297e-08	2.616950519454585e-08	0.06048496066638797
isoUsage.M1_turquoise	2.5983054543483718e-08	1.7236212386512358e-08	0.06584525174140836
isoUsage.M4_yellow	3.00308732786986e-08	2.0729490612360044e-08	0.07371028436740393
isoUsage.M19_lightyellow	4.210931549284361e-08	3.078898179841195e-08	0.08570694072580642
isoUsage.M16_lightcyan	5.2208709036182314e-08	3.857197598783396e-08	0.08794160396831885
isoUsage.M28_skyblue	6.537721090303334e-08	4.904175673721042e-08	0.09125068230734268
isoUsage.M11_greenyellow	3.402564669436678e-08	2.923509263170348e-08	0.12223973977690566
isoUsage.M15_midnightblue	2.9256430550045013e-08	3.175784143414567e-08	0.17846391137484707
isoUsage.M12_tan	1.8447515418719966e-08	2.6776449598869246e-08	0.24542877114960066
isoUsage.M6_red	8.490107160559886e-09	2.0381160541427083e-08	0.3384977863303452
isoUsage.M26_darkorange	7.2353636661796785e-09	3.370489740255067e-08	0.41501307793364484
isoUsage.M29_saddlebrown	8.098245822899084e-09	4.563619446538258e-08	0.4295765807209657
isoUsage.M10_purple	1.3654968329916532e-09	2.5024499497626185e-08	0.47824195414850135
isoUsage.M7_black	7.554399942034826e-10	2.2025070693682525e-08	0.4863193232279134
isoUsage.M21_darkred	-5.710258714874449e-09	3.6661699289572025e-08	0.5618870980256321
isoUsage.M25_orange	-1.3842064683048313e-08	3.3346786544134295e-08	0.660963604239893
isoUsage.M0_grey	-4.625243246603471e-08	1.0457399238283985e-07	0.6708617053788937
isoUsage.M23_darkturquoise	-2.2852807223248852e-08	4.011389572615438e-08	0.7155587355249649
isoUsage.M24_darkgrey	-2.2661312890041095e-08	3.706732209079048e-08	0.7295178868334654
isoUsage.M22_darkgreen	-2.2362511346769008e-08	3.18144522584474e-08	0.7589422657113176
isoUsage.M5_green	-1.525466660607005e-08	2.0215274364412262e-08	0.7747587625318284
isoUsage.M13_salmon	-1.9914470421529103e-08	2.5281374748288536e-08	0.7845677333935313
isoUsage.M18_lightgreen	-2.554780798269007e-08	2.8461332033121985e-08	0.8153091658157459
isoUsage.M17_grey60	-2.9224086328658814e-08	2.8854558563466626e-08	0.8444237177200937
isoUsage.M27_white	-3.858428096795285e-08	3.367921503772293e-08	0.8740280842825475
isoUsage.M14_cyan	-7.767433830912337e-08	2.4664626533145615e-08	0.9991814658425181
