Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M4_yellow	1.3595956051976526e-09	9.217914079889505e-10	0.07011308536803502
isoUsage.M0_grey	4.912743068881093e-09	4.330142805890364e-09	0.12828294639756221
isoUsage.M7_black	1.28746701062782e-09	1.1721741554900856e-09	0.13602406946063833
isoUsage.M13_salmon	1.611418976121801e-09	1.478447942980281e-09	0.13786987315369154
isoUsage.M28_skyblue	2.385845444705278e-09	2.5798314916784388e-09	0.17753323280440148
isoUsage.M29_saddlebrown	1.6900068271207466e-09	2.167585145569999e-09	0.2177917943608385
isoUsage.M16_lightcyan	1.063144671479276e-09	1.5660174937076358e-09	0.24860559085983774
isoUsage.M15_midnightblue	1.1109069964390507e-09	1.9456848638222324e-09	0.28401359367250495
isoUsage.M22_darkgreen	8.620352260962726e-10	1.680408409057022e-09	0.30397863415879933
isoUsage.M6_red	4.74549306471137e-10	9.771196230445867e-10	0.3136036196745523
isoUsage.M9_magenta	5.401903134492447e-10	1.3933675267314648e-09	0.34912388192709676
isoUsage.M24_darkgrey	5.260295649922683e-10	1.857730040672754e-09	0.3885281826254426
isoUsage.M23_darkturquoise	4.134853210498369e-10	1.5489978501009525e-09	0.39475871424696723
isoUsage.M3_brown	-1.1035266525970834e-11	9.03123419098301e-10	0.5048745550739667
isoUsage.M21_darkred	-5.869169044700937e-11	1.3932639587512074e-09	0.516800602276523
isoUsage.M26_darkorange	-2.9320838564133283e-10	1.932556522048946e-09	0.5602962946928357
isoUsage.M5_green	-1.6752088298203548e-10	9.331537178378128e-10	0.5712357670041398
isoUsage.M19_lightyellow	-7.684038135644664e-10	1.7290063467790473e-09	0.6716302737225787
isoUsage.M18_lightgreen	-8.158931789494675e-10	1.6974606921092543e-09	0.6846191846365477
isoUsage.M20_royalblue	-8.518766897819013e-10	1.5966839913340383e-09	0.7031661656418109
isoUsage.M14_cyan	-1.3234208633244745e-09	1.2006511778612843e-09	0.8648240615013753
isoUsage.M12_tan	-1.446567122849406e-09	1.177618265215978e-09	0.89034852461765
isoUsage.M27_white	-2.451044823074287e-09	1.9578859033936153e-09	0.8946938192214788
isoUsage.M8_pink	-1.663438948982396e-09	1.320785444732663e-09	0.8960627623458588
isoUsage.M25_orange	-2.6458172540705047e-09	1.7669873847741277e-09	0.9328502700941949
isoUsage.M1_turquoise	-1.501494485261468e-09	9.651842573111809e-10	0.9401050185379821
isoUsage.M17_grey60	-2.3858468253620824e-09	1.3585410488900602e-09	0.9604714249609039
isoUsage.M10_purple	-2.172074953593808e-09	1.1488442365482636e-09	0.970665191850714
isoUsage.M2_blue	-1.7423526666343127e-09	8.598649813317453e-10	0.9786334659610905
isoUsage.M11_greenyellow	-2.610446914218976e-09	1.2849114060795979e-09	0.9789037407029088
