gene_id,module
ENSG00000188290,isoExpr.M3_brown
ENSG00000131591,isoExpr.M12_tan
ENSG00000078808,isoExpr.M3_brown
ENSG00000078808,isoExpr.M1_turquoise
ENSG00000176022,isoExpr.M1_turquoise
ENSG00000160087,isoExpr.M8_pink
ENSG00000131584,isoExpr.M24_darkgrey
ENSG00000127054,isoExpr.M3_brown
ENSG00000162576,isoExpr.M2_blue
ENSG00000175756,isoExpr.M3_brown
ENSG00000221978,isoExpr.M12_tan
ENSG00000221978,isoExpr.M5_green
ENSG00000221978,isoExpr.M1_turquoise
ENSG00000224870,isoExpr.M14_cyan
ENSG00000224870,isoExpr.M3_brown
ENSG00000224870,isoExpr.M3_brown
ENSG00000224870,isoExpr.M6_red
ENSG00000242485,isoExpr.M3_brown
ENSG00000160075,isoExpr.M3_brown
ENSG00000272106,isoExpr.M3_brown
ENSG00000008130,isoExpr.M4_yellow
ENSG00000067606,isoExpr.M1_turquoise
ENSG00000067606,isoExpr.M1_turquoise
ENSG00000157916,isoExpr.M5_green
ENSG00000157916,isoExpr.M23_darkturquoise
ENSG00000157916,isoExpr.M23_darkturquoise
ENSG00000157911,isoExpr.M2_blue
ENSG00000157870,isoExpr.M7_black
ENSG00000177133,isoExpr.M2_blue
ENSG00000142611,isoExpr.M2_blue
ENSG00000227372,isoExpr.M7_black
ENSG00000130764,isoExpr.M16_lightcyan
ENSG00000198912,isoExpr.M13_salmon
ENSG00000198912,isoExpr.M6_red
ENSG00000069424,isoExpr.M1_turquoise
ENSG00000116251,isoExpr.M6_red
ENSG00000116237,isoExpr.M12_tan
ENSG00000097021,isoExpr.M6_red
ENSG00000116273,isoExpr.M26_darkorange
ENSG00000007923,isoExpr.M36_yellowgreen
ENSG00000171735,isoExpr.M15_midnightblue
ENSG00000116288,isoExpr.M3_brown
ENSG00000116288,isoExpr.M3_brown
ENSG00000116285,isoExpr.M1_turquoise
ENSG00000162426,isoExpr.M1_turquoise
ENSG00000074800,isoExpr.M3_brown
ENSG00000074800,isoExpr.M3_brown
ENSG00000188807,isoExpr.M12_tan
ENSG00000188807,isoExpr.M33_darkolivegreen
ENSG00000171603,isoExpr.M17_grey60
ENSG00000171603,isoExpr.M1_turquoise
ENSG00000178585,isoExpr.M1_turquoise
ENSG00000173614,isoExpr.M4_yellow
ENSG00000130939,isoExpr.M45_darkorange2
ENSG00000054523,isoExpr.M2_blue
ENSG00000264501,isoExpr.M2_blue
ENSG00000142657,isoExpr.M46_brown4
ENSG00000160049,isoExpr.M21_darkred
ENSG00000142655,isoExpr.M3_brown
ENSG00000120948,isoExpr.M18_lightgreen
ENSG00000116649,isoExpr.M14_cyan
ENSG00000120942,isoExpr.M2_blue
ENSG00000204624,isoExpr.M41_lightsteelblue1
ENSG00000204624,isoExpr.M4_yellow
ENSG00000132879,isoExpr.M46_brown4
ENSG00000132879,isoExpr.M1_turquoise
ENSG00000116663,isoExpr.M6_red
ENSG00000162490,isoExpr.M6_red
ENSG00000083444,isoExpr.M12_tan
ENSG00000116688,isoExpr.M7_black
ENSG00000116688,isoExpr.M43_ivory
ENSG00000116691,isoExpr.M14_cyan
ENSG00000028137,isoExpr.M7_black
ENSG00000162493,isoExpr.M2_blue
ENSG00000162493,isoExpr.M2_blue
ENSG00000116138,isoExpr.M22_darkgreen
ENSG00000116809,isoExpr.M3_brown
ENSG00000288398,isoExpr.M6_red
ENSG00000055070,isoExpr.M2_blue
ENSG00000055070,isoExpr.M4_yellow
ENSG00000055070,isoExpr.M2_blue
ENSG00000157191,isoExpr.M41_lightsteelblue1
ENSG00000261135,isoExpr.M14_cyan
ENSG00000215908,isoExpr.M8_pink
ENSG00000117122,isoExpr.M2_blue
ENSG00000117118,isoExpr.M14_cyan
ENSG00000179051,isoExpr.M27_white
ENSG00000074964,isoExpr.M5_green
ENSG00000117154,isoExpr.M46_brown4
ENSG00000280222,isoExpr.M1_turquoise
ENSG00000159423,isoExpr.M2_blue
ENSG00000127481,isoExpr.M27_white
ENSG00000053372,isoExpr.M21_darkred
ENSG00000053371,isoExpr.M2_blue
ENSG00000040487,isoExpr.M3_brown
ENSG00000077549,isoExpr.M3_brown
ENSG00000077549,isoExpr.M8_pink
ENSG00000173436,isoExpr.M3_brown
ENSG00000158747,isoExpr.M17_grey60
ENSG00000244038,isoExpr.M3_brown
ENSG00000127483,isoExpr.M5_green
ENSG00000127483,isoExpr.M5_green
ENSG00000117298,isoExpr.M7_black
ENSG00000142794,isoExpr.M18_lightgreen
ENSG00000142794,isoExpr.M12_tan
ENSG00000076864,isoExpr.M1_turquoise
ENSG00000218510,isoExpr.M3_brown
ENSG00000070831,isoExpr.M1_turquoise
ENSG00000070831,isoExpr.M3_brown
ENSG00000070831,isoExpr.M1_turquoise
ENSG00000184677,isoExpr.M10_purple
ENSG00000125944,isoExpr.M52_salmon4
ENSG00000125945,isoExpr.M33_darkolivegreen
ENSG00000125945,isoExpr.M1_turquoise
ENSG00000088280,isoExpr.M2_blue
ENSG00000007968,isoExpr.M2_blue
ENSG00000142676,isoExpr.M3_brown
