nCount_RNA	IsoCellType
End	Mic/Per/End
End	Mic/Per/End
End	Mic/Per/End
End	vRG-ExN
End	Mic/Per/End
End	Mic/Per/End
End	Mic/Per/End
End	Mic/Per/End
End	vRG-ExN
End	vRG-ExN
End	Mic/Per/End
End	Mic/Per/End
End	Mic/Per/End
End	Mic/Per/End
End	Mic/Per/End
ExDp1	vRG-ExN
ExDp1	ExM-U
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExN-ExM
ExDp1	ExDp
ExDp1	vRG-ExN
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExN-ExM
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExN-ExM
ExDp1	ExDp
ExDp1	ExN-ExM
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExM-U
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExM-U
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExM-U
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExN-ExM
ExDp1	ExDp
ExDp1	ExM-U
ExDp1	ExM
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExM-U
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExN-ExM
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExN-ExM
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExN-3
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExM-U
ExDp1	ExN-ExM
ExDp1	ExN-ExM
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExM
ExDp1	ExDp
ExDp1	ExN-ExM
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExN-ExM
ExDp1	ExN-ExM
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExM-U
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	vRG-ExN
ExDp1	ExDp
ExDp1	ExM-U
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExN-ExM
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExN-2
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExN-ExM
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExN-ExM
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExN-ExM
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExM-U
ExDp1	ExN-ExM
ExDp1	ExDp
ExDp1	ExN-ExM
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	vRG-ExN
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExN-ExM
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExN-ExM
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	In
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExN-ExM
ExDp1	ExDp
ExDp1	ExDp
ExDp1	vRG-ExN
ExDp1	vRG-ExN
ExDp1	ExDp
ExDp1	ExDp
ExDp1	vRG-ExN
ExDp1	vRG-ExN
ExDp1	ExDp
ExDp1	ExM-U
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExM-U
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExDp
ExDp1	ExN-ExM
