novelty	category	N
ISM	total	83089
ISM	protein_coding	37253
ISM	validatable_orf	27291
ISM	peptide_supported	15164
NIC	total	50621
NIC	protein_coding	43141
NIC	validatable_orf	34522
NIC	peptide_supported	15436
NNC	total	14563
NNC	protein_coding	11564
NNC	validatable_orf	8588
NNC	peptide_supported	4199
other	total	1237
other	protein_coding	464
other	validatable_orf	413
other	peptide_supported	300
Known	total	65006
Known	protein_coding	34616
Known	validatable_orf	34616
Known	peptide_supported	32444
