gene_id	module	kME	kMEtoMod	gene_name
ENSG00000000003	2	0.9516187265801482	2	TSPAN6
ENSG00000000419	1	0.7099761740911573	1	DPM1
ENSG00000000460	9	0.940912834432097	9	C1orf112
ENSG00000001629	7	0.8243177048755665	7	ANKIB1
ENSG00000001630	17	0.8480081451736672	17	CYP51A1
ENSG00000002330	1	0.8638054683026642	1	BAD
ENSG00000002586	9	0.9176274542215055	9	CD99
ENSG00000002745	2	0.951798231405373	2	WNT16
ENSG00000002746	3	0.802822157886718	3	HECW1
ENSG00000003137	5	0.9420129827584595	5	CYP26B1
ENSG00000003147	5	0.929376851440368	5	ICA1
ENSG00000003436	2	0.9059688757380193	2	TFPI
ENSG00000003987	17	0.8865800662527429	17	MTMR7
ENSG00000004059	1	0.8727288735611205	1	ARF5
ENSG00000004455	2	0.9341658806390366	2	AK2
ENSG00000004478	1	0.8995906704299109	1	FKBP4
ENSG00000004779	1	0.7621590756527261	1	NDUFAB1
ENSG00000004799	2	0.8728003240642366	2	PDK4
ENSG00000004838	4	0.7043518831724797	4	ZMYND10
ENSG00000004866	10	0.8806042222452848	10	ST7
ENSG00000004897	22	0.7020936501653675	22	CDC27
ENSG00000004975	2	0.9496421652359509	2	DVL2
ENSG00000005022	1	0.9116626397987766	1	SLC25A5
ENSG00000005156	9	0.8786823913848778	9	LIG3
ENSG00000005189	2	0.967174855079429	2	REXO5
ENSG00000005194	10	0.8003247608626228	10	CIAPIN1
ENSG00000005249	6	0.9576306966308329	6	PRKAR2B
ENSG00000005436	19	0.9280855224636454	19	GCFC2
ENSG00000005448	1	0.7772122040843884	1	WDR54
ENSG00000005469	2	0.9526135842187899	2	CROT
ENSG00000005483	14	0.7759907623386254	14	KMT2E
ENSG00000005486	4	0.872653787501388	4	RHBDD2
ENSG00000005893	19	0.8606117377347018	19	LAMP2
ENSG00000006007	1	0.825384210756871	1	GDE1
ENSG00000006015	1	0.775392177219365	1	REX1BD
ENSG00000006042	21	0.9514391027435432	21	TMEM98
ENSG00000006116	12	0.96473253038974	12	CACNG3
ENSG00000006530	6	0.9281022806792865	6	AGK
ENSG00000006576	7	0.9065733706921741	7	PHTF2
ENSG00000006634	9	0.9624281198073442	9	DBF4
ENSG00000006652	4	0.8814314810038355	4	IFRD1
ENSG00000006695	13	0.8153428936059894	13	COX10
ENSG00000006712	1	0.8152673745640424	1	PAF1
ENSG00000006740	12	0.9508793027171754	12	ARHGAP44
ENSG00000006744	18	0.7906698565306048	18	ELAC2
ENSG00000006831	19	0.923870741034307	19	ADIPOR2
ENSG00000007080	1	0.8293327555627528	1	CCDC124
ENSG00000007168	17	0.9196486850526706	17	PAFAH1B1
ENSG00000007237	5	0.9920705289940293	5	AC005747.1
ENSG00000007350	21	0.9257543026535414	21	TKTL1
ENSG00000007372	2	0.9682110077866382	2	PAX6
ENSG00000007541	1	0.775537202273569	1	PIGQ
ENSG00000007923	20	0.7205847869681702	20	DNAJC11
ENSG00000007968	21	0.9571090372252632	21	E2F2
ENSG00000008018	1	0.9284705899648443	1	PSMB1
ENSG00000008086	5	0.9589161900885957	5	CDKL5
ENSG00000008118	12	0.9581976083246383	12	CAMK1G
ENSG00000008282	22	0.8989274418836284	22	SYPL1
ENSG00000008300	8	0.8267639125049329	8	CELSR3
ENSG00000008324	1	0.7239624807001644	1	SS18L2
ENSG00000008513	5	0.9720427463219621	5	ST3GAL1
ENSG00000008869	8	0.9230825191626788	8	HEATR5B
ENSG00000009335	7	0.8868622124611932	7	UBE3C
ENSG00000009413	8	0.9152768237804763	8	REV3L
ENSG00000009844	3	0.9064769186996918	3	VTA1
ENSG00000009954	15	0.8577088761427163	15	BAZ1B
ENSG00000010165	1	0.7946542173481274	1	EEF1AKNMT
ENSG00000010256	1	0.8876956419853669	1	UQCRC1
ENSG00000010270	4	0.8182420556854679	4	STARD3NL
ENSG00000010292	2	0.9525727187728371	2	NCAPD2
ENSG00000010361	15	0.8433781458944347	15	FUZ
ENSG00000010404	8	0.9591324443769479	8	IDS
ENSG00000010539	18	0.8609181384241579	18	ZNF200
ENSG00000010810	19	0.7442904974247655	19	FYN
ENSG00000010818	8	0.9271584906304517	8	HIVEP2
ENSG00000010932	9	0.8694859615277613	9	FMO1
ENSG00000011007	14	0.9303787704266246	14	ELOA
ENSG00000011009	4	0.7822799988771205	4	LYPLA2
ENSG00000011021	17	0.9198215886153888	17	CLCN6
ENSG00000011028	2	0.9711641695358796	2	MRC2
ENSG00000011243	1	0.7874821402728948	1	AKAP8L
ENSG00000011260	4	0.6458789466645443	4	UTP18
ENSG00000011304	21	0.9784321955501767	21	PTBP1
ENSG00000011347	6	0.9133126399912685	6	SYT7
ENSG00000011376	15	0.8111534900551232	15	LARS2
ENSG00000011566	7	0.8434991879448162	7	MAP4K3
ENSG00000011677	5	0.952140122664778	5	GABRA3
ENSG00000012048	2	0.9222502164692286	2	BRCA1
ENSG00000012061	21	0.9591065208754219	21	ERCC1
ENSG00000012174	3	0.9066002265215605	3	MBTPS2
ENSG00000012983	3	0.9160772520382061	3	MAP4K5
ENSG00000013275	1	0.8816296089496608	1	PSMC4
ENSG00000013392	6	0.9327571946584753	6	RWDD2A
ENSG00000013441	14	0.8851868240820542	14	CLK1
ENSG00000013523	2	0.9033226748501517	2	ANGEL1
ENSG00000013561	17	0.9063805218981318	17	RNF14
ENSG00000013573	15	0.7969047963737397	15	DDX11
ENSG00000013583	1	0.8030292536836071	1	HEBP1
ENSG00000013810	2	0.9690385360277637	2	TACC3
ENSG00000014138	9	0.9462573707050899	9	POLA2
ENSG00000014164	14	0.8522407223941459	14	ZC3H3
ENSG00000014641	10	0.8680254507341777	10	MDH1
ENSG00000015171	7	0.8694576763602037	7	ZMYND11
ENSG00000015479	3	0.8786160598070285	3	MATR3
ENSG00000015676	6	0.902951394892038	6	NUDCD3
ENSG00000017260	7	0.8548433028988135	7	ATP2C1
ENSG00000018236	5	0.9773903405256394	5	CNTN1
ENSG00000018408	23	0.8551484365834855	23	WWTR1
ENSG00000018510	14	0.7839223573691428	14	AGPS
ENSG00000018625	2	0.9775648895264857	2	ATP1A2
ENSG00000019505	5	0.9821856781353897	5	SYT13
ENSG00000019991	2	0.9418310954438183	2	HGF
ENSG00000019995	7	0.8683466871584101	7	ZRANB1
ENSG00000020129	12	0.9739912624698372	12	NCDN
ENSG00000020256	18	0.8074069351068762	18	ZFP64
ENSG00000021574	3	0.9367063350131708	3	SPAST
ENSG00000021776	23	0.8679237597576946	23	AQR
ENSG00000022267	10	0.8953134498878792	10	FHL1
ENSG00000022277	1	0.8774547410785599	1	RTF2
ENSG00000023191	1	0.9332313678289287	1	RNH1
ENSG00000023287	7	0.9538627611429491	7	RB1CC1
ENSG00000023330	12	0.9626352704409114	12	ALAS1
ENSG00000023516	7	0.8864645192884101	7	AKAP11
ENSG00000024526	2	0.9763441219712569	2	DEPDC1
ENSG00000025156	1	0.7809332670078685	1	HSF2
ENSG00000025796	16	0.931504231589459	16	SEC63
ENSG00000025800	8	0.8352318434789505	8	KPNA6
ENSG00000026025	9	0.9632671229770955	9	VIM
ENSG00000026652	1	0.7308736694727994	1	AGPAT4
ENSG00000026950	18	0.7469786002011501	18	BTN3A1
ENSG00000028310	18	0.5367104778875699	18	BRD9
ENSG00000029364	7	0.8878734155883157	7	SLC39A9
ENSG00000029725	17	0.9331393126074418	17	RABEP1
ENSG00000029993	2	0.9345561377253393	2	HMGB3
ENSG00000030066	14	0.8669890943527682	14	NUP160
ENSG00000030582	15	0.8245197270163079	15	GRN
ENSG00000031003	6	0.916185994185622	6	FAM13B
ENSG00000031081	13	0.7925241982183239	13	ARHGAP31
ENSG00000031691	9	0.9193886247810029	9	CENPQ
ENSG00000031698	1	0.8799234719722772	1	SARS1
ENSG00000032219	10	0.8474377776467049	10	ARID4A
ENSG00000032389	4	0.9358223462703734	4	EIPR1
ENSG00000033122	8	0.9448483614217845	8	LRRC7
ENSG00000033178	3	0.7785981918519013	3	UBA6
ENSG00000033800	16	0.907297642901254	16	PIAS1
ENSG00000034510	1	0.9489531604093954	1	TMSB10
ENSG00000034677	17	0.9663617533380457	17	RNF19A
ENSG00000034713	1	0.9631475550513123	1	GABARAPL2
ENSG00000035499	2	0.968795272920096	2	DEPDC1B
ENSG00000035664	2	0.9306305362325664	2	DAPK2
ENSG00000035862	8	0.8837749065516003	8	TIMP2
ENSG00000036054	3	0.8683121792881966	3	TBC1D23
ENSG00000036257	7	0.8899666128303597	7	CUL3
ENSG00000036549	14	0.8926335283935904	14	AC118549.1
ENSG00000037241	1	0.8473199299640912	1	RPL26L1
ENSG00000037474	18	0.6843764557733665	18	NSUN2
ENSG00000037749	17	0.9370483633258637	17	MFAP3
ENSG00000038219	7	0.9093273621999417	7	BOD1L1
ENSG00000038274	2	0.9646135402059816	2	MAT2B
ENSG00000038382	20	0.7449561563507517	20	TRIO
ENSG00000038427	7	0.8909932711105406	7	VCAN
ENSG00000039523	6	0.9464555966800743	6	RIPOR1
ENSG00000039560	2	0.9141606202453065	2	RAI14
ENSG00000039650	1	0.7385074435365664	1	PNKP
ENSG00000040275	2	0.9709004440976213	2	SPDL1
ENSG00000040633	1	0.8124528379269017	1	PHF23
ENSG00000040731	12	0.9764875753268035	12	CDH10
ENSG00000040933	6	0.9035692394844601	6	INPP4A
ENSG00000041357	1	0.8910908140715105	1	PSMA4
ENSG00000041515	6	0.9180461485468413	6	MYO16
ENSG00000041802	1	0.8502251904092154	1	LSG1
ENSG00000041982	2	0.95547631211487	2	TNC
ENSG00000041988	1	0.8777461224532354	1	THAP3
ENSG00000042429	9	0.9288655056040592	9	MED17
ENSG00000042493	2	0.9196941553872134	2	CAPG
ENSG00000042753	1	0.9110939360442551	1	AP2S1
ENSG00000043093	20	0.7147760351324398	20	DCUN1D1
ENSG00000043514	10	0.8620280461553984	10	TRIT1
ENSG00000044115	2	0.9730486621721512	2	CTNNA1
ENSG00000044459	21	0.9660644270604184	21	CNTLN
ENSG00000044574	14	0.915210389427373	14	HSPA5
ENSG00000046604	2	0.9457832469180919	2	DSG2
ENSG00000046651	15	0.8256621109289212	15	OFD1
ENSG00000046653	21	0.9527531962938932	21	GPM6B
ENSG00000047249	10	0.9402927205599526	10	ATP6V1H
ENSG00000047410	16	0.9405504773506818	16	TPR
ENSG00000047579	11	0.8174495331221975	11	DTNBP1
ENSG00000047621	6	0.894345307923601	6	C12orf4
ENSG00000047662	18	0.8397351354887159	18	FAM184B
ENSG00000047849	17	0.9373233080986109	17	MAP4
ENSG00000047932	3	0.948374380401755	3	GOPC
ENSG00000048028	2	0.9291219389447797	2	USP28
ENSG00000048052	7	0.9289189298611261	7	HDAC9
ENSG00000048162	10	0.8333736448849633	10	NOP16
ENSG00000048392	7	0.761378262106578	7	RRM2B
ENSG00000048540	5	0.9456414806441779	5	LMO3
ENSG00000048649	22	0.8770187487598908	22	RSF1
ENSG00000048707	13	0.7795595005941426	13	VPS13D
ENSG00000048740	6	0.9715878497520156	6	CELF2
ENSG00000048991	6	0.9338534054748474	6	R3HDM1
ENSG00000049245	2	0.8990421218206849	2	VAMP3
ENSG00000049246	19	0.7718063591878853	19	PER3
ENSG00000049323	2	0.9596580570127154	2	LTBP1
ENSG00000049449	2	0.9596668343126394	2	RCN1
ENSG00000049618	13	0.9554476076180448	13	ARID1B
ENSG00000049759	3	0.9094328062164099	3	NEDD4L
ENSG00000050405	2	0.9331859359154353	2	LIMA1
ENSG00000051009	17	0.8326550223924613	17	FAM160A2
ENSG00000051180	21	0.963922677306557	21	RAD51
ENSG00000051382	7	0.8616348238176927	7	PIK3CB
ENSG00000052795	7	0.8083478877377926	7	FNIP2
ENSG00000053371	9	0.9120215358211368	9	AKR7A2
