transcript_id	module	module.color	module.number	kME	kMEtoMod	gene_id	transcript_name	gene_name	ensg	novelty
ENST00000304952.10_3	M3.brown	brown	3	0.8000456745630639	3	ENSG00000188290.10_4	HES4-201	HES4	ENSG00000188290	Known
ENST00000421241.6_3	M12.tan	tan	12	0.8428589977289925	12	ENSG00000131591.17_9	C1orf159-205	C1orf159	ENSG00000131591	Known
ENST00000360001.11_4	M3.brown	brown	3	0.7271372151656715	3	ENSG00000078808.17_5	SDF4-202	SDF4	ENSG00000078808	Known
ENST00000494748.1_2	M1.turquoise	turquoise	1	0.8209214346428436	1	ENSG00000078808.17_5	SDF4-207	SDF4	ENSG00000078808	Known
ENST00000379198.5_4	M1.turquoise	turquoise	1	0.8929552673598194	1	ENSG00000176022.7_7	B3GALT6-201	B3GALT6	ENSG00000176022	Known
ENST00000349431.10_2	M8.pink	pink	8	0.7458672118867304	8	ENSG00000160087.20_7	UBE2J2-202	UBE2J2	ENSG00000160087	Known
ENST00000354700.10_3	M24.darkgrey	darkgrey	24	0.6811284667989305	24	ENSG00000131584.19_4	ACAP3-202	ACAP3	ENSG00000131584	Known
ENST00000435064.5_2	M3.brown	brown	3	0.9316055900729403	3	ENSG00000127054.20_4	INTS11-208	INTS11	ENSG00000127054	Known
ENST00000309212.10_2	M2.blue	blue	2	0.9582985301994807	2	ENSG00000162576.16_3	MXRA8-201	MXRA8	ENSG00000162576	Known
ENST00000338338.9_2	M3.brown	brown	3	0.7170579803209057	3	ENSG00000175756.13_3	AURKAIP1-202	AURKAIP1	ENSG00000175756	Known
ENST00000400809.8_3	M12.tan	tan	12	0.7749465922167134	12	ENSG00000221978.12_6	CCNL2-201	CCNL2	ENSG00000221978	Known
ENST00000418865.6_2	M5.green	green	5	0.8197970765416932	5	ENSG00000221978.12_6	CCNL2-204	CCNL2	ENSG00000221978	Known
ENST00000408918.8_2	M1.turquoise	turquoise	1	0.9076958599103497	1	ENSG00000221978.12_6	CCNL2-202	CCNL2	ENSG00000221978	Known
ENST00000659048.1_1	M14.cyan	cyan	14	0.8774596954404741	14	ENSG00000224870.7_7	MRPL20-AS1-209	MRPL20-AS1	ENSG00000224870	Known
