dx	feature	class	OR	Z	P	fdr
NDD.fuTADA	n_transcripts_log2	txAnno	1.3126633116089401	10.630311118107592	2.153927279943242e-26	2.950880373522242e-23
NDD.fuTADA	n_exons_log2	txAnno	1.419456985478579	8.421203766248079	3.726355082970135e-17	2.5525532318345427e-14
DDD.kaplanis	n_transcripts_log2	txAnno	1.4003438306709375	7.870500037125356	3.532265623936664e-15	1.61306796826441e-12
ASD.fuTADA	n_transcripts_log2	txAnno	1.3643697866297217	6.821701547436564	8.996843078951182e-12	3.0814187545407798e-9
ASD.SFARI.1	n_transcripts_log2	txAnno	1.3830584717956222	6.545179423860805	5.94239979796619e-11	1.628217544642736e-8
NDD.fuTADA	DGE.up	DGE/DTE/DTU	1.8906934968833302	6.440100562285708	1.1939436923755763e-10	2.7261714309242327e-8
EPI.helbig	DGE.up	DGE/DTE/DTU	3.5804497375868767	6.371767985063843	1.868614277697717e-10	3.6571450863512464e-8
NDD.fuTADA	DTE.up	DGE/DTE/DTU	1.8737397939437033	6.321842521093756	2.5846271395211886e-10	4.4261739764300356e-8
ASD.fuTADA	n_exons_log2	txAnno	1.6401953218365544	6.2867387338776775	3.2420430316891745e-10	4.9351099482379657e-8
DDD.kaplanis	n_exons_log2	txAnno	1.5539194458569896	6.252228617709402	4.0463647505498474e-10	5.543519708253291e-8
ASD.SFARI.1	n_exons_log2	txAnno	1.6421820306137425	5.809657116545404	6.260092069301426e-9	7.796660122675412e-7
ASD.SFARI.1or2	n_transcripts_log2	txAnno	1.1462479492166449	5.7198434633372095	1.0662223709119795e-8	1.1236343447303169e-6
NDD.fuTADA	PgS	SingleCellMarkers	3.1424562964535436	5.729152724090655	1.0093349308811337e-8	1.1236343447303169e-6
EPI.helbig	geneExpr.M5_green	Networks.geneExpr	1.2874771844521704	5.621078453830708	1.897690640729508e-8	1.8570258412853042e-6
DDD.kaplanis	DGE.up	DGE/DTE/DTU	2.2561936218476126	5.4712632193070725	4.468390529959974e-8	4.081130017363443e-6
NDD.fuTADA	isoExpr.M5_green	Networks.isoExpr	1.1787836719961535	5.363480541777541	8.1633449301946e-8	6.7930169861289595e-6
