"","gene_name","gene_type","total","known","ISM.pre","ISM.suffix","NIC","NNC"
"1","5S_rRNA","rRNA",1,1,0,0,0,0
"2","A1BG","protein_coding",1,1,0,0,0,0
"3","A1BG-AS1","lncRNA",3,3,0,0,0,0
"4","A2M","protein_coding",28,2,0,22,2,2
"5","A2M-AS1","lncRNA",1,1,0,0,0,0
"6","A4GALT","protein_coding",2,2,0,0,0,0
"7","AAAS","protein_coding",13,6,0,1,6,0
"8","AACS","protein_coding",25,3,0,10,12,0
"9","AADAT","protein_coding",13,3,1,5,4,0
"10","AAGAB","protein_coding",14,3,2,3,4,2
"11","AAK1","protein_coding",15,7,2,4,2,0
"12","AAMDC","protein_coding",5,4,0,0,1,0
"13","AAMP","protein_coding",25,7,1,1,16,0
"14","AAR2","protein_coding",14,2,1,4,2,5
"15","AARD","protein_coding",1,1,0,0,0,0
"16","AARS1","protein_coding",31,1,3,15,7,5
"17","AARS2","protein_coding",7,2,0,1,4,0
"18","AARSD1","protein_coding",8,5,1,0,2,0
"19","AASDH","protein_coding",26,7,7,5,6,1
"20","AASDHPPT","protein_coding",12,3,1,3,2,3
"21","AASS","protein_coding",4,2,1,0,0,1
"22","AATBC","lncRNA",1,1,0,0,0,0
"23","AATF","protein_coding",9,2,2,2,2,1
"24","AATK","protein_coding",3,1,0,2,0,0
"25","ABAT","protein_coding",25,8,0,12,5,0
"26","ABC7-43041300I9.1","pseudogene",1,1,0,0,0,0
"27","ABCA1","protein_coding",6,1,2,3,0,0
"28","ABCA10","protein_coding",1,1,0,0,0,0
"29","ABCA11P","transcribed_processed_pseudogene",5,4,0,0,1,0
"30","ABCA17P","transcribed_unitary_pseudogene",1,1,0,0,0,0
"31","ABCA2","protein_coding",31,2,0,29,0,0
"32","ABCA3","protein_coding",33,2,1,30,1,0
"33","ABCA5","protein_coding",9,6,0,3,0,0
"34","ABCA6","protein_coding",1,1,0,0,0,0
"35","ABCA7","protein_coding",1,1,0,0,0,0
"36","ABCA8","protein_coding",1,1,0,0,0,0
"37","ABCA9","protein_coding",1,0,1,0,0,0
"38","ABCB1","protein_coding",5,3,0,2,0,0
"39","ABCB10","protein_coding",11,2,0,9,0,0
"40","ABCB10P3","processed_pseudogene",1,1,0,0,0,0
"41","ABCB4","protein_coding",8,5,2,0,1,0
"42","ABCB6","protein_coding",43,3,0,3,37,0
