"significant" "p_value" "term_size" "query_size" "intersection_size" "precision" "recall" "term_id" "source" "term_name" "effective_domain_size" "source_order"
"1" TRUE 2.33828762920613e-06 5445 847 657 0.775678866587957 0.120661157024793 "GO:0005737" "GO:CC" "cytoplasm" 7896 309
"2" TRUE 3.55288670979052e-06 2462 847 337 0.397874852420307 0.136880584890333 "GO:0043228" "GO:CC" "non-membrane-bounded organelle" 7896 1889
"3" TRUE 3.55288670979052e-06 2462 847 337 0.397874852420307 0.136880584890333 "GO:0043232" "GO:CC" "intracellular non-membrane-bounded organelle" 7896 1893
"4" TRUE 4.34472828122379e-05 2832 847 372 0.439197166469894 0.13135593220339 "GO:0005829" "GO:CC" "cytosol" 7896 380
"5" TRUE 0.000241021676715839 2775 847 360 0.425029515938607 0.12972972972973 "GO:0032991" "GO:CC" "protein-containing complex" 7896 1347
"6" TRUE 0.000241021676715839 2522 847 332 0.391971664698937 0.131641554321967 "GO:0031981" "GO:CC" "nuclear lumen" 7896 1233
"7" TRUE 0.000668017489795698 6749 847 765 0.90318772136954 0.113350125944584 "GO:0005622" "GO:CC" "intracellular anatomical structure" 7896 237
"8" TRUE 0.000668017489795698 2329 847 306 0.361275088547816 0.131386861313869 "GO:0005654" "GO:CC" "nucleoplasm" 7896 252
"9" TRUE 0.000668017489795698 59 847 19 0.0224321133412042 0.322033898305085 "GO:0010494" "GO:CC" "cytoplasmic stress granule" 7896 690
"10" TRUE 0.000874437395019204 2998 847 379 0.447461629279811 0.126417611741161 "GO:0031974" "GO:CC" "membrane-enclosed lumen" 7896 1227
"11" TRUE 0.000874437395019204 2998 847 379 0.447461629279811 0.126417611741161 "GO:0043233" "GO:CC" "organelle lumen" 7896 1894
"12" TRUE 0.000874437395019204 2998 847 379 0.447461629279811 0.126417611741161 "GO:0070013" "GO:CC" "intracellular organelle lumen" 7896 2410
"13" TRUE 0.00134964565410284 7318 847 813 0.959858323494687 0.111095927849139 "GO:0005575" "GO:CC" "cellular_component" 7896 197
"14" TRUE 0.00200327545052142 1117 847 160 0.188902007083825 0.143240823634736 "GO:0005856" "GO:CC" "cytoskeleton" 7896 401
"15" TRUE 0.00368107193759739 7279 847 808 0.953955135773318 0.111004258826762 "GO:0110165" "GO:CC" "cellular anatomical entity" 7896 3453
"16" TRUE 0.00922984627025576 6188 847 704 0.831168831168831 0.11376858435682 "GO:0043229" "GO:CC" "intracellular organelle" 7896 1890
"17" TRUE 0.00959898499911377 6375 847 722 0.852420306965762 0.113254901960784 "GO:0043226" "GO:CC" "organelle" 7896 1887
"18" TRUE 0.0155994379031571 37 847 12 0.0141676505312869 0.324324324324324 "GO:0005791" "GO:CC" "rough endoplasmic reticulum" 7896 356
"19" TRUE 0.0211489120352452 110 847 24 0.0283353010625738 0.218181818181818 "GO:0072686" "GO:CC" "mitotic spindle" 7896 2831
"20" TRUE 0.0211489120352452 163 847 32 0.037780401416765 0.196319018404908 "GO:0035770" "GO:CC" "ribonucleoprotein granule" 7896 1647
"21" TRUE 0.0211489120352452 3705 847 443 0.523022432113341 0.119568151147099 "GO:0016020" "GO:CC" "membrane" 7896 725
"22" TRUE 0.0211489120352452 745 847 108 0.127508854781582 0.14496644295302 "GO:0015630" "GO:CC" "microtubule cytoskeleton" 7896 713
"23" TRUE 0.0238548396689747 6106 847 692 0.817001180637544 0.113331149688831 "GO:0043227" "GO:CC" "membrane-bounded organelle" 7896 1888
"24" TRUE 0.0276886451191853 297 847 50 0.0590318772136954 0.168350168350168 "GO:0005635" "GO:CC" "nuclear envelope" 7896 244
"25" TRUE 0.0288322114062944 147 847 29 0.0342384887839433 0.197278911564626 "GO:0036464" "GO:CC" "cytoplasmic ribonucleoprotein granule" 7896 1727
"26" TRUE 0.0316523589777225 613 847 90 0.106257378984652 0.146818923327896 "GO:0099080" "GO:CC" "supramolecular complex" 7896 3354
"27" TRUE 0.0316523589777225 263 847 45 0.0531286894923259 0.171102661596958 "GO:0005819" "GO:CC" "spindle" 7896 371
"28" TRUE 0.000263131791091569 7327 847 818 0.965761511216057 0.111641872526273 "GO:0003674" "GO:MF" "molecular_function" 7896 322
"29" TRUE 0.000263131791091569 1041 847 159 0.187721369539551 0.152737752161383 "GO:0003723" "GO:MF" "RNA binding" 7896 346
"30" TRUE 0.000263131791091569 214 847 48 0.0566706021251476 0.224299065420561 "GO:0003729" "GO:MF" "mRNA binding" 7896 351
"31" TRUE 0.000263131791091569 6995 847 790 0.932703659976387 0.112937812723374 "GO:0005488" "GO:MF" "binding" 7896 1486
"32" TRUE 0.000263131791091569 6385 847 735 0.867768595041322 0.115113547376664 "GO:0005515" "GO:MF" "protein binding" 7896 1498
"33" TRUE 0.0148150522090105 85 847 22 0.025974025974026 0.258823529411765 "KEGG:03013" "KEGG" "Nucleocytoplasmic transport" 7896 209
"34" TRUE 0.0148150522090105 78 847 20 0.0236127508854782 0.256410256410256 "KEGG:04110" "KEGG" "Cell cycle" 7896 259
"35" TRUE 0.0148150522090105 65 847 18 0.0212514757969303 0.276923076923077 "KEGG:04114" "KEGG" "Oocyte meiosis" 7896 263
"36" TRUE 0.0204446837400996 106 847 24 0.0283353010625738 0.226415094339623 "KEGG:04120" "KEGG" "Ubiquitin mediated proteolysis" 7896 265
"37" TRUE 0.0143548438535838 307 847 56 0.0661157024793388 0.182410423452769 "REAC:R-HSA-69278" "REAC" "Cell Cycle, Mitotic" 7896 310
"38" TRUE 0.0143548438535838 232 847 45 0.0531286894923259 0.193965517241379 "REAC:R-HSA-68886" "REAC" "M Phase" 7896 1278
"39" TRUE 0.0143548438535838 383 847 66 0.0779220779220779 0.172323759791123 "REAC:R-HSA-1640170" "REAC" "Cell Cycle" 7896 308
"40" TRUE 0.0143548438535838 158 847 35 0.0413223140495868 0.221518987341772 "REAC:R-HSA-69620" "REAC" "Cell Cycle Checkpoints" 7896 309
"41" TRUE 0.0143548438535838 107 847 26 0.0306965761511216 0.242990654205607 "REAC:R-HSA-2990846" "REAC" "SUMOylation" 7896 2044
"42" TRUE 0.0203500147458968 121 847 27 0.0318772136953955 0.223140495867769 "REAC:R-HSA-68877" "REAC" "Mitotic Prometaphase" 7896 1404
"43" TRUE 0.0203500147458968 62 847 17 0.0200708382526564 0.274193548387097 "REAC:R-HSA-69618" "REAC" "Mitotic Spindle Checkpoint" 7896 1406
"44" TRUE 0.0203500147458968 103 847 24 0.0283353010625738 0.233009708737864 "REAC:R-HSA-3108232" "REAC" "SUMO E3 ligases SUMOylate target proteins" 7896 2040
"45" TRUE 0.0203500147458968 814 847 119 0.140495867768595 0.146191646191646 "REAC:R-HSA-168256" "REAC" "Immune System" 7896 1110
"46" TRUE 0.0203500147458968 141 847 30 0.0354191263282172 0.212765957446809 "REAC:R-HSA-68882" "REAC" "Mitotic Anaphase" 7896 1399
"47" TRUE 0.0203500147458968 142 847 30 0.0354191263282172 0.211267605633803 "REAC:R-HSA-2555396" "REAC" "Mitotic Metaphase and Anaphase" 7896 1402
"48" TRUE 0.0203500147458968 4581 847 542 0.639905548996458 0.118314778432657 "REAC:0000000" "REAC" "REACTOME root term" 7896 2611
"49" TRUE 0.0203500147458968 107 847 25 0.0295159386068477 0.233644859813084 "REAC:R-HSA-2467813" "REAC" "Separation of Sister Chromatids" 7896 2081
"50" TRUE 0.0254357422017613 81 847 20 0.0236127508854782 0.246913580246914 "REAC:R-HSA-913531" "REAC" "Interferon Signaling" 7896 1167
