gene	set
TSPAN6	background
DPM1	background
SCYL3	background
C1orf112	background
FUCA2	background
GCLC	background
NFYA	background
NIPAL3	background
LAS1L	background
ENPP4	background
ANKIB1	background
CYP51A1	background
KRIT1	background
RAD52	background
BAD	background
LAP3	background
CD99	background
HS3ST1	background
HECW1	background
MAD1L1	background
LASP1	background
SNX11	background
M6PR	background
KLHL13	background
ICA1	background
DBNDD1	background
ALS2	background
CFLAR	background
TFPI	background
NDUFAF7	background
RBM5	background
MTMR7	background
ARF5	background
SARM1	background
POLDIP2	background
PLXND1	background
AK2	background
FKBP4	background
KDM1A	background
RBM6	background
CAMKK1	background
RECQL	background
VPS50	background
ARHGAP33	background
NDUFAB1	background
PDK4	background
ZMYND10	background
ARX	background
SLC25A13	background
ST7	background
CDC27	background
HCCS	background
DVL2	background
SLC25A5	background
MCUB	background
POLR2J	background
DHX33	background
THSD7A	background
LIG3	background
RPAP3	background
REXO5	background
CIAPIN1	background
SPPL2B	background
FAM214B	background
PRKAR2B	background
MSL3	background
CREBBP	background
TSPOAP1	background
GCFC2	background
WDR54	background
CROT	background
KMT2E	background
RHBDD2	background
IBTK	background
ZNF195	background
MYCBP2	background
FBXL3	background
PDK2	background
ZFX	background
LAMP2	background
GDE1	background
REX1BD	background
OSBPL7	background
TMEM98	background
MAP3K14	background
CACNG3	background
TMEM132A	background
AP2B1	background
TAC1	background
ZNF263	background
CX3CL1	background
SPATA20	background
RALA	background
KDM7A	background
ETV1	background
AGK	background
PHTF2	background
FARP2	background
GGCT	background
DBF4	background
IFRD1	background
COX10	background
GTF2IRD1	background
PAF1	background
VPS41	background
ARHGAP44	background
ELAC2	background
PNPLA4	background
ADIPOR2	background
MARK4	background
PROM1	background
CCDC124	background
PAFAH1B1	background
KIAA0100	background
AC005747.1	background
TRAPPC6A	background
ST7L	background
TKTL1	background
PAX6	background
RPUSD1	background
LUC7L	background
PIGQ	background
CRAMP1	background
DNAJC11	background
PSMB1	background
SYN1	background
JARID2	background
CDKL5	background
CDK11A	background
NADK	background
CYTH3	background
SYPL1	background
CYB561	background
SPAG9	background
CELSR3	background
SS18L2	background
CRY1	background
NFIX	background
ST3GAL1	background
PKD1	background
