net	mod	cell	OR	Fisher.p	X.95.CI	X.95.CI.1	Overlap	Reference.List	Input.List	Background	X..List.Overlap	Fisher.q	label	module.number	module.color
geneExpr	geneExprM.1_turquoise	ExN	3.71585605311661	1.58768725217002e-5	2.05278936709341	6.42435315113947	18	76	1118	14349	23.7	1.58768725217002e-4	4	1	turquoise
geneExpr	geneExprM.1_turquoise	PgG2M	1.50637452154745	0.00832240128749712	1.09909772786626	2.02868078736455	52	467	1118	14349	11.1	0.04509121970397897	2	1	turquoise
geneExpr	geneExprM.1_turquoise	OPC	1.47969431056843	0.0106667663140695	1.08958378447926	1.97656336176035	55	502	1118	14349	11	0.05530915866554556		1	turquoise
geneExpr	geneExprM.1_turquoise	End	0.746324603848943	1	0.498863042089655	1.08007018224066	31	518	1118	14349	5.98	1		1	turquoise
geneExpr	geneExprM.1_turquoise	ExDp2	0.697859150789474	1	0.49102724102237	0.967230872526487	40	708	1118	14349	5.65	1		1	turquoise
geneExpr	geneExprM.1_turquoise	Per	2.92864169872758	3.45401230470107e-24	2.40628564528251	3.54705709236676	149	809	1118	14349	18.4	1.6118724088604993e-22	3	1	turquoise
geneExpr	geneExprM.1_turquoise	Mic	0.890640865990639	1	0.638515877128462	1.21569103843696	45	640	1118	14349	7.03	1		1	turquoise
geneExpr	geneExprM.1_turquoise	ExM	1.83930274954689	0.00295401913517732	1.21139777420813	2.70961912340085	31	233	1118	14349	13.3	0.017851626428409702	2	1	turquoise
geneExpr	geneExprM.1_turquoise	IP	8.11833981822452	1.19895068310982e-43	6.17736430908485	10.6261129816138	97	250	1118	14349	38.8	1.3428247650829983e-41	8	1	turquoise
geneExpr	geneExprM.1_turquoise	ExDp1	0.406671036201218	1	0.234023475758664	0.661217729953269	17	501	1118	14349	3.39	1		1	turquoise
geneExpr	geneExprM.1_turquoise	ExM-U	0.148162633168037	1	0.0302867065699297	0.439522128224743	3	239	1118	14349	1.26	1		1	turquoise
geneExpr	geneExprM.1_turquoise	InMGE	0.903515427557242	1	0.455583916769705	1.63009763842447	12	169	1118	14349	7.1	1		1	turquoise
geneExpr	geneExprM.1_turquoise	InCGE	1.58731792187379	0.0689685636445615	0.909566332726639	2.61772903886668	18	153	1118	14349	11.8	0.26096213270915164		1	turquoise
geneExpr	geneExprM.1_turquoise	oRG	1.19256569045058	0.236266029188243	0.875542359179192	1.5960292158342	53	583	1118	14349	9.09	0.6637574064151308		1	turquoise
geneExpr	geneExprM.1_turquoise	PgS	2.83553629971446	2.24378911757336e-17	2.25533497546844	3.5405843186894	107	583	1118	14349	18.4	6.980677254672676e-16	3	1	turquoise
geneExpr	geneExprM.1_turquoise	vRG	2.22253918203095	3.59397843972663e-8	1.68448119403254	2.89802707855039	70	456	1118	14349	15.4	4.807326410200093e-7	2	1	turquoise
geneExpr	geneExprM.6_red	ExN	0.880132492919532	1	0.0218918050436815	5.10864450218344	1	76	214	14349	1.32	1		6	red
geneExpr	geneExprM.6_red	PgG2M	0	1	0	0.510975181416209	0	467	214	14349	0	1		6	red
geneExpr	geneExprM.6_red	OPC	1.65419048255163	0.0916875673710019	0.83486494987404	2.98059084862761	12	502	214	14349	2.39	0.32703845686472016		6	red
geneExpr	geneExprM.6_red	End	1.31491112794359	0.356146720512352	0.617334067607491	2.48820384391477	10	518	214	14349	1.93	0.8785998391494148		6	red
geneExpr	geneExprM.6_red	ExDp2	9.36903941342322	5.31538966516911e-35	6.82566441289049	12.748413954018	66	708	214	14349	9.32	4.699923493412687e-33	9	6	red
geneExpr	geneExprM.6_red	Per	1.08378702377737	0.764271361941184	0.564589970177837	1.90691579414182	13	809	214	14349	1.61	1		6	red
geneExpr	geneExprM.6_red	Mic	1.51051817581356	0.133201683624073	0.806268595113021	2.61415862006861	14	640	214	14349	2.19	0.43536737060008296		6	red
geneExpr	geneExprM.6_red	ExM	6.73538083087803	2.96040956353748e-10	3.94628563981256	10.9518278050184	20	233	214	14349	8.58	5.526097851936629e-9	7	6	red
geneExpr	geneExprM.6_red	IP	0.261825359954086	1	0.00657510823700412	1.48822630767971	1	250	214	14349	0.4	1		6	red
geneExpr	geneExprM.6_red	ExDp1	8.47796917772722	1.07336810990197e-24	5.91731575514188	11.9561158759888	47	501	214	14349	9.38	5.152166927529456e-23	8	6	red
geneExpr	geneExprM.6_red	ExM-U	9.03480259268554	1.87486497625951e-15	5.62686184229123	14.0199545211572	26	239	214	14349	10.9	5.2496219335266285e-14	9	6	red
geneExpr	geneExprM.6_red	InMGE	3.37013838687166	0.00386245857971049	1.41168271463732	6.92708195740105	8	169	214	14349	4.73	0.022531008381644523	3	6	red
geneExpr	geneExprM.6_red	InCGE	1.78778205599825	0.294193440919199	0.476361302661936	4.74299702546698	4	153	214	14349	2.61	0.769851994928745		6	red
geneExpr	geneExprM.6_red	oRG	0.10931099613861	1	0.00275422243785781	0.618221543731088	1	583	214	14349	0.172	1		6	red
geneExpr	geneExprM.6_red	PgS	0	1	0	0.405507918247609	0	583	214	14349	0	1		6	red
geneExpr	geneExprM.6_red	vRG	0.141142989643821	1	0.0035530839498324	0.799079421685464	1	456	214	14349	0.219	1		6	red
geneExpr	geneExprM.17_grey60	ExN	0	1	0	5.57334879270763	0	76	128	14349	0	1		17	grey60
geneExpr	geneExprM.17_grey60	PgG2M	0.469585930155811	1	0.0560884673095315	1.74156246138765	2	467	128	14349	0.428	1		17	grey60
geneExpr	geneExprM.17_grey60	OPC	0.215643934694997	1	0.00540982249777223	1.22898066436424	1	502	128	14349	0.199	1		17	grey60
geneExpr	geneExprM.17_grey60	End	1.31679194509064	0.470463329428171	0.471722761365471	2.9697872242833	6	518	128	14349	1.16	1		17	grey60
geneExpr	geneExprM.17_grey60	ExDp2	1.64177567309684	0.145762474823821	0.763915765847239	3.1456741556471	10	708	128	14349	1.41	0.4664399194362272		17	grey60
geneExpr	geneExprM.17_grey60	Per	0.967964259867704	1	0.379780641468475	2.0654650621511	7	809	128	14349	0.865	1		17	grey60
