net	mod	dataset	target	OR	Fisher.p	X.95.CI	X.95.CI.1	Overlap	Reference.List	Input.List	Background	X..List.Overlap	label	target.region	data.type	cell.type	mod.num	module.color
net.isoExpr	net.isoExprM.3_brown	dataset01	CELF2_CLIP_N2A	1.31034377862744	4.819748991249683e-4	1.14539840645799	1.49622425225907	328	2531	1454	13567	13	1.3	Intron/Exon	CLIP	N2A	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset12	MBNL2_AS_Neuron	1.17950453005973	0.5483735902428972	0.854596899821499	1.5986357080778	50	405	1454	13567	12.3		Intron/Exon	AS	Neuron	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset14	NOVA2_AS_Neuron	1.41980398728796	0.015163134153610603	1.11645328551403	1.78934328018481	91	635	1454	13567	14.3		Intron/Exon	AS	Neuron	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset15	NOVA2/PTBP2_AS_Neuron	1.16059190473561	0.38922409508958894	0.926033363520542	1.44245972604623	101	833	1454	13567	12.1		Intron/Exon	AS	Neuron	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset19	RBFOX2_AS_Neuron	1.25121368005659	0.036998203899080734	1.05246938198259	1.48124009847744	179	1401	1454	13567	12.8		Intron/Exon	AS	Neuron	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset26	QKI_GEX_NPC	0.475344502391311	1	0.0553372537905578	1.85351548449748	2	37	1454	13567	5.41		3UTR	GEX	NPC	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset27	QKI_AS_NPC	0.910470656470442	1	0.556089306794518	1.4228349111976	22	223	1454	13567	9.87		Intron/Exon	AS	NPC	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset28	RBFOX1/2/3_CLIP_AS_Neuron	0.870720145277076	1	0.629511310359223	1.18084007811221	48	505	1454	13567	9.5		Intron/Exon	CLIP_AS	Neuron	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset29	SRRM3/4_AS_Neuron	0.41786296750651297	1	0.218900228477505	0.729954587911492	13	269	1454	13567	4.83		Intron/Exon	AS	Neuron	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset30	SRRM3/4_GEX_Neuron	0.410432167938786	1	0.193366741406943	0.773000752499297	10	211	1454	13567	4.74		3UTR	GEX	Neuron	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset33	SRRM4_AS_Neuron	0.0654798848180904	1	0.00164767491618609	0.372181533292142	1	127	1454	13567	0.787		Intron/Exon	AS	Neuron	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset36	SAM68_GEX_NPC	0.290916456450521	1	0.0928735264634667	0.696688804439909	5	147	1454	13567	3.4		3UTR	GEX	NPC	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset37	SAM68_AS_NPC	0.717217311369683	1	0.224108356993109	1.77593081838419	5	63	1454	13567	7.94		Intron/Exon	AS	NPC	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset38	RBFOX1_AS_Neuron	1.38392459555285	0.22537401800089774	0.929217710306406	2.00591029253942	34	240	1454	13567	14.2		Intron/Exon	AS	Neuron	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset39	RBFOX1_GEX_Neuron	0.199654462388753	1	0.0237396447989381	0.745712071896894	2	85	1454	13567	2.35		3UTR	GEX	Neuron	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset40	NELAVL_CLIP_Neuron	0.939049655045453	1	0.834762793488718	1.05542343366424	480	4649	1454	13567	10.3		Intron/Exon	CLIP	Neuron	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset45	MSI2_AS_Retina	0.599569844422404	1	0.328629464337051	1.01577577138158	15	222	1454	13567	6.76		Intron/Exon	AS	Retina	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset47	PTBP2_AS_Neuron	0.967772789007669	1	0.761621009263612	1.21752346865411	88	844	1454	13567	10.4		Intron/Exon	AS	Neuron	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset48	NELAVL_AS_Neuron	0.773112224436182	1	0.388333234254816	1.40200864824113	12	141	1454	13567	8.51		Intron/Exon	AS	Neuron	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset255	PTBP1_CLIP_NPC	0.938675758186305	1	0.840546741942147	1.04827263207302	752	7208	1454	13567	10.4		Intron/Exon	CLIP	NPC	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset51	FASTKD2_eCLIP_HepG2	2.43784993539347	8.816307593659263e-11	1.91232345170935	3.08557444766208	97	442	1454	13567	21.9	2.4	Intron	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset53	SND1_eCLIP_HepG2	1.24932733028467	0.32054030454840887	0.913013869374084	1.68088407725861	53	409	1454	13567	13		CDS	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset55	HNRNPC_eCLIP_HepG2	1.1103180043655	0.7601183084438418	0.842204395409392	1.44449891807277	67	572	1454	13567	11.7		Intron	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset57	SSB_eCLIP_HepG2	6.64509524646923	4.289335306201669e-91	5.60862703615877	7.86918706783575	269	669	1454	13567	40.2	6.6	NonCodingExon	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset65	DHX30_eCLIP_HepG2	2.8706787417167	3.576260886274729e-17	2.29829877917059	3.56586395437239	120	488	1454	13567	24.6	2.9	NonCodingExon	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset67	LARP4_eCLIP_HepG2	0.988790802825504	1	0.844032620083285	1.15434766050703	214	2014	1454	13567	10.6		3UTR_CDS	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset69	RBM15_eCLIP_HepG2	2.45987696183584	0.07169629903288104	1.08167032384106	5.10536205128427	10	44	1454	13567	22.7		CDS	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset76	YBX3_eCLIP_HepG2	2.16596451165387	1.6258591951889454e-4	1.5179660867107	3.03583720332996	45	221	1454	13567	20.4	2.2	3UTR_CDS	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset78	WDR43_eCLIP_HepG2	1.13730257365919	0.7145160642565845	0.818893246747967	1.54957473813703	48	401	1454	13567	12		CDS	eCLIP	HepG2	3	brown
