p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	contrast	geneId	transcriptId
CADM1-TALONT000432236	4.28547171276622e-10	3.54188686834151	0.148	0.007	3.7353028542813e-05	ExDp1	ExDp1 vs IP	CADM1	ONT000432236
CADM1-ENST00000616271	4.82343753825205e-07	-3.98616482184957	0.004	0.115	0.0420420462709125	IP	ExDp1 vs IP	CADM1	T00000616271
GPM6A-ENST00000393658	7.40109605693846e-19	2.98363527828937	0.548	0.142	6.4509433451487e-14	ExDp1	ExDp1 vs oRG	GPM6A	T00000393658
GPM6A-TALONT000601716	1.02591675044798e-09	-2.62747178048586	0.035	0.237	8.94209558025465e-05	oRG	ExDp1 vs oRG	GPM6A	ONT000601716
MAP1B-TALONT000671508	1.95633744367823e-18	1.94305608391263	0.726	0.438	1.70518284265882e-13	ExDp1	ExDp1 vs oRG	MAP1B	ONT000671508
MAP1B-TALONT000679289	1.6454212050845e-15	-4.91500979316843	0	0.249	1.43418203077575e-10	oRG	ExDp1 vs oRG	MAP1B	ONT000679289
MAP1B-TALONT0006715081	1.51368467673984e-18	2.16164418331653	0.726	0.366	1.31935783793998e-13	ExDp1	ExDp1 vs PgS	MAP1B	ONT000671508
MAP1B-TALONT0006792891	8.64399026422629e-09	-3.75430069626575	0	0.137	0.000753427479410492	PgS	ExDp1 vs PgS	MAP1B	ONT000679289
MAP1B-TALONT0006792892	9.31156524754741e-24	-5.74893891912386	0	0.383	8.11614650106727e-19	vRG	ExDp1 vs vRG	MAP1B	ONT000679289
MAP1B-TALONT0006715082	3.36527771604217e-15	1.96551830785758	0.726	0.453	2.93324336285668e-10	ExDp1	ExDp1 vs vRG	MAP1B	ONT000671508
MAP1B-ENST00000504492	2.66110201366165e-10	-4.54603686074232	0	0.164	2.31946973714777e-05	vRG	ExDp1 vs vRG	MAP1B	T00000504492
MAP1B-TALONT0006792893	5.09514259652153e-54	-4.20752092758948	0.005	0.249	4.44102818998009e-49	oRG	ExM vs oRG	MAP1B	ONT000679289
MAP1B-TALONT0006715083	3.42987504625855e-36	2.34446099614	0.781	0.438	2.98954768781988e-31	ExM	ExM vs oRG	MAP1B	ONT000671508
GPM6A-TALONT0006017161	5.8389227679776e-33	-2.97012823537967	0.022	0.237	5.08932186302463e-28	oRG	ExM vs oRG	GPM6A	ONT000601716
GPM6A-ENST000003936581	4.59717086239314e-31	3.40723953353195	0.607	0.142	4.00698606707911e-26	ExM	ExM vs oRG	GPM6A	T00000393658
APP-ENST00000348990	4.04304376025033e-09	2.94008873639518	0.26	0.059	0.000352399780230939	ExM	ExM vs oRG	APP	T00000348990
APP-ENST00000357903	2.07127886266936e-08	-1.11922938652388	0.027	0.118	0.00180536808227987	oRG	ExM vs oRG	APP	T00000357903
MAP1B-TALONT0006715084	2.05852214969401e-32	2.5630490955439	0.781	0.366	1.79424907611629e-27	ExM	ExM vs PgS	MAP1B	ONT000671508
MAP1B-TALONT0006792894	4.19047559009982e-25	-3.0468118306868	0.005	0.137	3.6525023338428e-20	PgS	ExM vs PgS	MAP1B	ONT000679289
MAP1B-TALONT0006792895	1.20563474614483e-85	-5.04145005354491	0.005	0.383	1.05085535743475e-80	vRG	ExM vs vRG	MAP1B	ONT000679289
MAP1B-ENST000005044921	7.31813903770901e-40	-4.37239438509369	0.001	0.164	6.37863634804793e-35	vRG	ExM vs vRG	MAP1B	T00000504492
MAP1B-TALONT0006715085	3.50952494127667e-28	2.36692322008495	0.781	0.453	3.05897212931557e-23	ExM	ExM vs vRG	MAP1B	ONT000671508
GPM6A-ENST000003936582	7.31955858248495e-23	3.16320352018034	0.607	0.172	6.37987365166553e-18	ExM	ExM vs vRG	GPM6A	T00000393658
GPM6A-TALONT0006017162	2.66810105204488e-11	-2.25019893255823	0.022	0.133	2.32557023898336e-06	vRG	ExM vs vRG	GPM6A	ONT000601716
CADM1-TALONT0004322361	2.30046965182187e-08	2.32178424972414	0.122	0.007	0.00200513535792098	ExM.U	ExM.U vs IP	CADM1	ONT000432236
CADM1-ENST000006162711	4.45079627377863e-08	-3.26505958548541	0.007	0.115	0.00387940304815093	IP	ExM.U vs IP	CADM1	T00000616271
MAP1B-TALONT0006715086	1.40413448466176e-42	2.76324868195839	0.871	0.438	1.22387169952088e-37	ExM.U	ExM.U vs oRG	MAP1B	ONT000671508
MAP1B-TALONT0006792896	1.08789689911374e-17	-4.38731139832558	0.007	0.249	9.48232695205514e-13	oRG	ExM.U vs oRG	MAP1B	ONT000679289
MAP1B-TALONT000680787	2.10245749616015e-08	2.23766471885618	0.322	0.095	0.00183254400280311	ExM.U	ExM.U vs oRG	MAP1B	ONT000680787
GPM6A-TALONT0006017163	1.61105742703284e-13	-3.4046658276218	0.024	0.237	1.40422987455036e-08	oRG	ExM.U vs oRG	GPM6A	ONT000601716
GPM6A-ENST000003936583	1.88481000229111e-13	2.58626195510076	0.461	0.142	1.64283809419698e-08	ExM.U	ExM.U vs oRG	GPM6A	T00000393658
RTN4-ENST00000317610	2.0370551088784e-13	-1.89694947210147	0.115	0.408	1.77553797400059e-08	oRG	ExM.U vs oRG	RTN4	T00000317610
RTN4-TALONT000502136	5.39525368668979e-12	1.58880032739209	0.597	0.308	4.70261101839255e-07	ExM.U	ExM.U vs oRG	RTN4	ONT000502136
DCTN2-TALONT004552439	5.42810125285936e-09	4.59036867691139	0.18	0	0.000473124161401727	ExM.U	ExM.U vs oRG	DCTN2	ONT004552439
DCTN2-ENST00000548249	1.19621523837721e-08	-2.67683980654835	0.027	0.178	0.00104264512607435	oRG	ExM.U vs oRG	DCTN2	T00000548249
MAP1B-TALONT0006715087	5.05754695559387e-38	2.98183678136228	0.871	0.366	4.40825907743473e-33	ExM.U	ExM.U vs PgS	MAP1B	ONT000671508
MAP1B-TALONT0006807871	2.09374374500849e-09	3.34313719858739	0.322	0.061	0.00018249489230243	ExM.U	ExM.U vs PgS	MAP1B	ONT000680787
MAP1B-TALONT0006792897	4.20351271373469e-09	-3.2266023014229	0.007	0.137	0.000366386575154543	PgS	ExM.U vs PgS	MAP1B	ONT000679289
DCTN2-ENST000005482491	1.7040707611348e-09	-2.91467000167845	0.027	0.198	0.000148530215682032	PgS	ExM.U vs PgS	DCTN2	T00000548249
DCTN2-TALONT0045524391	2.43601648286679e-07	4.59036867691139	0.18	0	0.0212328068679635	ExM.U	ExM.U vs PgS	DCTN2	ONT004552439
MAP1B-TALONT0006715088	2.60405635164468e-35	2.78571090590333	0.871	0.453	2.26974759722054e-30	ExM.U	ExM.U vs vRG	MAP1B	ONT000671508
MAP1B-TALONT0006792898	1.03171287865018e-27	-5.22124052428101	0.007	0.383	8.99261579289068e-23	vRG	ExM.U vs vRG	MAP1B	ONT000679289
MAP1B-ENST000005044922	1.05118575356751e-12	-4.54603686074232	0	0.164	9.16234526524514e-08	vRG	ExM.U vs vRG	MAP1B	T00000504492
RTN4-ENST000003176101	2.34749908498831e-15	-2.3016281801515	0.115	0.453	2.04612715245751e-10	vRG	ExM.U vs vRG	RTN4	T00000317610
RTN4-TALONT0005021361	1.56264151764222e-12	2.02305241851001	0.597	0.281	1.36202959960731e-07	ExM.U	ExM.U vs vRG	RTN4	ONT000502136
GPM6A-TALONT0006017164	2.04792374858786e-44	-2.84307804600929	0.014	0.237	1.78501129774415e-39	oRG	ExN vs oRG	GPM6A	ONT000601716
GPM6A-ENST000003936584	3.04384587732091e-12	2.97593980290543	0.38	0.142	2.65307694359045e-07	ExN	ExN vs oRG	GPM6A	T00000393658
GPM6A-TALONT0006017165	1.6311190098804e-16	-2.12314874318784	0.014	0.133	1.42171595139195e-11	vRG	ExN vs vRG	GPM6A	ONT000601716
GPM6A-ENST000003936585	1.81159848260789e-08	2.73190378955382	0.38	0.172	0.00157902546941069	ExN	ExN vs vRG	GPM6A	T00000393658
PFN2-ENST00000239940	4.48367875581809e-09	4.9268740562183	0.268	0.041	0.000390806407714617	InCGE	InCGE vs oRG	PFN2	T00000239940
PFN2-ENST00000452853	2.31856692284602e-08	-1.58231607216427	0.035	0.284	0.00202090930129105	oRG	InCGE vs oRG	PFN2	T00000452853
