dx	feature	class	OR	Z	P	fdr
NDD.fuTADA	n_transcripts_log2	txAnno	1.4505056928179043	14.798293733558246	1.5024576038704262e-49	2.0583669173024837e-46
NDD.fuTADA	n_exons_log2	txAnno	1.7631550471056359	13.867848357298293	9.920832052898519e-44	6.795769956235485e-41
DDD.kaplanis	n_transcripts_log2	txAnno	1.651923519155996	11.795301179843602	4.127214157908935e-32	1.884761132111747e-29
DDD.kaplanis	n_exons_log2	txAnno	2.2730347288641486	11.56425412190535	6.253230930745243e-31	2.1417315937802456e-28
ASD.SFARI.1	n_exons_log2	txAnno	2.4465058595915634	10.551393925702307	5.004899542852661e-26	1.371342474741629e-23
ASD.fuTADA	n_exons_log2	txAnno	2.2483030092960723	10.45978183923528	1.3215960519791639e-25	3.017644318685758e-23
ASD.SFARI.1	n_transcripts_log2	txAnno	1.6377222407517769	9.993391680105871	1.6291020455166186e-23	3.188385431939668e-21
ASD.fuTADA	n_transcripts_log2	txAnno	1.5657956228433279	9.89600085515376	4.332547628552231e-23	7.419487813895695e-21
ASD.SFARI.1or2	n_transcripts_log2	txAnno	1.2355096218108033	9.145811126324963	5.918403049588752e-20	9.009124642151766e-18
ASD.SFARI.1or2	n_exons_log2	txAnno	1.4021969178218845	8.983636245030748	2.619627498496172e-19	3.5888896729397555e-17
NDD.fuTADA	DTU.down	DGE/DTE/DTU	1.8659274154629046	6.973442712452695	3.0927741112609395e-12	3.5309171103562396e-10
NDD.fuTADA	isoExpr.M5_green	Networks.isoExpr	1.232565298252302	6.981483755872446	2.920786836700339e-12	3.5309171103562396e-10
NDD.fuTADA	DTE.up	DGE/DTE/DTU	1.9188273217036051	6.674242029257604	2.4851319888639058e-11	2.61894678826427e-9
NDD.fuTADA	isoUsage.M3_brown	Networks.isoUsage	1.272795841786087	6.538577316435565	6.210677642682485e-11	6.0775916931964325e-9
DDD.kaplanis	isoExpr.M5_green	Networks.isoExpr	1.307502227251568	6.494556384468715	8.327843622075039e-11	7.606097174828535e-9
EPI.helbig	DGE.up	DGE/DTE/DTU	3.5991402815212594	6.4321460997952435	1.258147176047611e-10	1.077288519490767e-8
NDD.fuTADA	DGE.up	DGE/DTE/DTU	1.844957277997969	6.289954927190146	3.175581605782931e-10	2.559145176425068e-8
NDD.fuTADA	n_transcripts_log2|tpm	txAnno	1.296463651257961	6.125462507912531	9.042056171689113e-10	6.882009419563381e-8
ASD.SFARI.1or2	n_transcripts_log2|tpm	txAnno	1.299808531746495	6.096580002128497	1.0836173007972584e-9	7.81345106364339e-8
NDD.fuTADA	isoExpr.M19_lightyellow	Networks.isoExpr	1.171540923960753	5.983211109422365	2.187809053420265e-9	1.4986492015928815e-7
