gene_id	group	xcase_dn_ptv	xcont_dn_ptv	xcase_dn_misb	xcont_dn_misb	xcase_dn_misa	xcont_dn_misa	xcase_dbs_ptv	xcont_dbs_ptv	xcase_swe_ptv	xcont_swe_ptv	xcase_tut	xcont_tut	qval
.	All	0	0	0	0	0	0	0	0	0	0	0	2	9.1586e-01
0	All	0	0	0	0	0	0	0	0	0	0	0	0	9.0572e-01
ENSG00000000419	All	0	0	0	0	0	0	1	2	0	0	0	5	9.2150e-01
ENSG00000000457	All	0	0	0	0	0	0	1	1	0	0	1	2	9.2924e-01
ENSG00000000460	All	0	0	0	0	0	0	0	2	1	2	10	5	8.6686e-01
ENSG00000000938	All	0	0	0	0	0	1	0	0	0	0	0	0	9.2270e-01
ENSG00000000971	All	0	0	0	0	0	0	1	1	0	0	0	0	9.1986e-01
ENSG00000001036	All	0	0	0	0	0	0	0	1	0	0	1	4	8.9346e-01
ENSG00000001084	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2307e-01
ENSG00000001167	All	0	0	0	0	0	0	1	1	0	0	0	1	8.2649e-01
ENSG00000001460	All	0	0	0	0	0	0	0	0	0	0	2	2	9.0133e-01
ENSG00000001461	All	0	0	0	0	0	0	0	0	0	0	1	0	8.9816e-01
ENSG00000001561	All	0	0	0	0	0	0	0	2	0	0	1	0	9.2197e-01
ENSG00000001617	All	0	0	1	0	0	1	0	0	0	1	0	0	6.0222e-01
ENSG00000001626	All	0	0	0	0	0	0	1	5	0	1	13	12	8.4010e-01
ENSG00000001629	All	0	0	0	0	0	0	0	0	0	0	0	0	9.1665e-01
ENSG00000001630	All	0	0	0	0	0	0	0	0	1	1	7	4	8.9838e-01
ENSG00000001631	All	1	0	0	0	0	0	0	0	0	3	1	3	7.5388e-01
ENSG00000002016	All	0	1	0	0	0	0	1	1	1	0	4	1	8.8872e-01
ENSG00000002330	All	0	0	0	0	0	0	0	0	0	5	0	1	9.1267e-01
ENSG00000002549	All	0	0	0	0	0	0	0	0	0	0	1	1	8.8990e-01
ENSG00000002587	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2418e-01
ENSG00000002726	All	0	0	0	0	0	0	1	0	0	2	3	2	8.9408e-01
ENSG00000002745	All	0	0	0	0	0	0	0	1	0	0	1	3	9.0579e-01
ENSG00000002746	All	0	0	0	0	0	0	1	1	0	0	1	3	9.2381e-01
ENSG00000002822	All	1	0	0	0	0	0	0	1	1	5	1	4	9.2569e-01
ENSG00000002834	All	0	0	0	0	0	0	1	0	0	0	0	0	7.4806e-01
ENSG00000002919	All	0	0	0	0	0	0	1	0	0	0	1	1	8.9868e-01
ENSG00000002933	All	0	0	0	0	0	0	0	0	0	0	0	0	9.3041e-01
ENSG00000003056	All	1	1	0	0	0	0	1	2	0	2	0	1	4.8133e-01
ENSG00000003137	All	0	0	0	0	1	0	0	1	0	0	0	0	7.2084e-01
ENSG00000003147	All	0	0	0	0	0	0	0	0	0	0	1	0	9.2427e-01
ENSG00000003249	All	0	0	0	0	0	0	0	0	0	0	0	3	9.1057e-01
ENSG00000003393	All	0	0	0	0	0	0	4	5	0	1	4	4	8.3435e-01
ENSG00000003400	All	0	0	0	0	0	0	0	2	0	3	3	10	8.9463e-01
ENSG00000003402	All	0	0	0	0	0	0	0	0	0	0	0	0	9.1987e-01
ENSG00000003436	All	0	0	0	0	0	0	0	0	0	0	0	0	9.3027e-01
ENSG00000003509	All	0	0	0	0	0	0	1	0	0	3	7	5	8.9204e-01
ENSG00000003756	All	0	0	0	0	0	0	0	1	0	0	0	0	9.2858e-01
ENSG00000003987	All	0	0	0	0	0	0	1	0	1	3	2	1	8.6981e-01
ENSG00000003989	All	0	0	0	0	0	0	0	2	0	0	2	2	8.8698e-01
ENSG00000004059	All	0	0	0	0	0	0	0	0	0	0	0	1	9.1697e-01
ENSG00000004139	All	1	0	0	0	0	0	1	0	1	3	3	1	9.2915e-01
ENSG00000004142	All	0	0	0	0	0	0	0	0	0	0	1	1	9.2788e-01
ENSG00000004399	All	0	0	0	0	1	1	0	1	0	1	0	0	9.2784e-01
ENSG00000004455	All	0	0	0	0	0	0	0	1	0	1	0	0	9.1640e-01
ENSG00000004468	All	0	0	0	0	0	0	1	0	0	0	0	1	9.0602e-01
ENSG00000004478	All	0	0	0	0	0	0	0	0	0	0	0	2	9.2274e-01
ENSG00000004487	All	0	0	1	0	0	0	0	0	0	2	0	0	8.4895e-01
ENSG00000004534	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2858e-01
ENSG00000004660	All	0	0	0	0	0	0	1	0	0	0	0	0	8.0101e-01
ENSG00000004700	All	1	0	0	0	0	0	1	2	0	0	6	7	9.1556e-01
ENSG00000004766	All	0	0	0	0	0	0	0	0	0	0	2	2	9.1921e-01
ENSG00000004776	All	0	0	0	0	1	0	0	0	0	0	0	0	6.6591e-01
ENSG00000004777	All	0	0	0	0	0	0	0	0	0	0	0	0	9.1702e-01
ENSG00000004779	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2652e-01
ENSG00000004799	All	0	0	0	0	0	0	0	0	0	2	1	1	8.9357e-01
ENSG00000004809	All	0	0	0	0	0	0	1	1	0	1	4	4	8.9284e-01
ENSG00000004838	All	0	0	0	0	0	0	5	2	0	0	3	2	8.8707e-01
ENSG00000004846	All	0	0	0	0	0	0	4	4	0	7	10	7	8.3969e-01
ENSG00000004864	All	0	0	0	0	0	0	0	6	3	4	5	6	8.6316e-01
ENSG00000004866	All	0	0	1	0	0	0	1	0	0	0	0	1	4.7887e-01
ENSG00000004897	All	0	0	0	0	0	0	0	0	0	0	0	0	9.1958e-01
ENSG00000004939	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2960e-01
ENSG00000004948	All	0	0	0	0	0	0	2	0	0	0	4	1	8.7937e-01
ENSG00000004975	All	0	0	0	0	0	0	0	0	0	0	1	1	9.2162e-01
ENSG00000005001	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2820e-01
ENSG00000005007	All	0	0	0	0	0	1	0	0	0	0	1	0	9.3090e-01
ENSG00000005020	All	0	0	0	0	0	0	0	1	0	0	0	1	9.2945e-01
ENSG00000005059	All	0	0	0	0	0	0	0	0	0	0	0	1	9.1918e-01
ENSG00000005073	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2410e-01
ENSG00000005075	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2790e-01
ENSG00000005100	All	0	0	0	0	0	0	1	1	0	1	1	0	9.2125e-01
ENSG00000005102	All	0	0	0	0	0	0	0	0	1	0	0	1	8.0034e-01
ENSG00000005108	All	1	0	0	0	0	0	1	1	0	1	0	2	9.3030e-01
ENSG00000005156	All	1	0	0	0	0	0	5	3	0	0	2	3	9.2541e-01
ENSG00000005175	All	0	0	0	0	0	0	0	0	0	0	0	1	9.2891e-01
ENSG00000005187	All	0	0	0	0	0	0	2	3	0	2	6	4	8.7379e-01
ENSG00000005194	All	0	0	0	0	0	0	0	1	0	0	2	2	9.2004e-01
ENSG00000005238	All	0	0	0	0	1	0	0	0	0	0	0	0	5.9863e-01
ENSG00000005243	All	0	0	0	0	0	0	0	0	0	0	1	1	9.1049e-01
ENSG00000005249	All	0	0	0	0	0	0	0	0	0	0	1	0	9.2810e-01
ENSG00000005339	All	0	0	1	0	4	0	0	2	2	0	0	0	2.4748e-02
ENSG00000005379	All	0	0	0	0	0	1	3	1	0	0	0	0	7.6245e-01
ENSG00000005381	All	0	0	0	0	1	0	0	4	0	0	3	1	7.9153e-01
ENSG00000005421	All	0	0	0	0	0	0	1	1	0	0	1	2	9.2791e-01
ENSG00000005436	All	0	0	0	0	0	0	0	0	0	1	2	2	8.6311e-01
ENSG00000005448	All	0	0	0	0	0	0	0	0	0	1	2	1	8.9695e-01
ENSG00000005469	All	0	0	0	0	0	0	1	2	1	4	6	5	8.5752e-01
ENSG00000005471	All	0	0	0	0	0	0	0	0	0	0	2	2	8.4389e-01
ENSG00000005483	All	2	0	0	0	0	1	1	0	0	0	0	1	6.8811e-02
ENSG00000005486	All	0	0	0	0	0	0	0	0	0	0	0	2	9.2870e-01
ENSG00000005513	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2980e-01
ENSG00000005700	All	0	0	0	0	0	0	0	0	0	2	2	1	9.2427e-01
ENSG00000005801	All	0	0	0	0	0	0	0	0	0	1	0	0	9.3126e-01
ENSG00000005810	All	0	0	0	0	1	0	5	2	0	1	2	1	9.2631e-01
ENSG00000005812	All	0	0	1	0	0	0	0	0	0	0	1	0	5.0339e-01
ENSG00000005844	All	0	0	0	0	1	0	0	0	0	1	2	0	7.6387e-01
ENSG00000005882	All	0	0	0	0	1	0	1	0	0	1	2	0	7.4586e-01
ENSG00000005884	All	0	0	0	0	0	1	0	0	1	0	2	1	8.4477e-01
