gene_id	group	Case PTV	Ctrl PTV	Case mis3	Ctrl mis3	Case mis2	Ctrl mis2	P ca/co (Class 1)	P ca/co (Class 2)	P ca/co (comb)	De novo PTV	De novo mis3	De novo mis2	P de novo	P meta	Q meta	OR (PTV)	OR (Class I)	OR (Class II)	OR (PTV) lower bound	OR (PTV) upper bound	OR (Class I) lower bound	OR (Class I) upper bound	OR (Class II) lower bound	OR (Class II) upper bound
ENSG00000000003	meta	3	6	0	0	0	0	5.9700e-01	NA	5.9700e-01	NA	NA	NA	NA	5.9700e-01	1.0000e+00	2.0100e+00	2.0100e+00	NA	3.2500e-01	9.4000e+00	3.2500e-01	9.4000e+00	NA	NA
ENSG00000000005	meta	0	9	0	0	0	0	3.1800e-01	NA	3.1800e-01	NA	NA	NA	NA	3.1800e-01	1.0000e+00	0.0000e+00	0.0000e+00	NA	0.0000e+00	2.0300e+00	0.0000e+00	2.0300e+00	NA	NA
ENSG00000000419	meta	5	21	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	9.5600e-01	9.5600e-01	NA	2.8200e-01	2.6000e+00	2.8200e-01	2.6000e+00	NA	NA
ENSG00000000457	meta	12	35	0	0	0	0	3.3800e-01	NA	3.3800e-01	NA	NA	NA	NA	3.3800e-01	1.0000e+00	1.3800e+00	1.3800e+00	NA	6.5000e-01	2.7200e+00	6.5000e-01	2.7200e+00	NA	NA
ENSG00000000460	meta	7	43	0	0	0	0	4.3000e-01	NA	4.3000e-01	NA	NA	NA	NA	4.3000e-01	1.0000e+00	6.5300e-01	6.5300e-01	NA	2.4800e-01	1.4600e+00	2.4800e-01	1.4600e+00	NA	NA
ENSG00000000938	meta	1	6	0	5	3	10	5.9800e-01	8.7900e-01	5.9800e-01	NA	NA	NA	NA	5.9800e-01	1.0000e+00	6.6900e-01	3.6500e-01	1.2000e+00	1.4500e-02	5.5100e+00	8.4800e-03	2.5100e+00	2.1300e-01	4.6800e+00
ENSG00000000971	meta	7	22	0	1	5	15	7.4800e-01	5.5700e-01	6.4900e-01	NA	NA	NA	NA	6.4900e-01	1.0000e+00	1.2800e+00	1.2200e+00	1.3400e+00	4.6100e-01	3.1000e+00	4.4300e-01	2.9400e+00	3.8000e-01	3.8700e+00
ENSG00000001036	meta	3	24	0	0	0	0	2.0000e-01	NA	2.0000e-01	NA	NA	NA	NA	2.0000e-01	1.0000e+00	5.0200e-01	5.0200e-01	NA	9.6700e-02	1.6500e+00	9.6700e-02	1.6500e+00	NA	NA
ENSG00000001084	meta	4	15	0	0	1	3	9.3400e-01	6.6000e-01	8.5100e-01	NA	NA	NA	NA	8.5100e-01	1.0000e+00	1.0700e+00	1.0700e+00	1.3400e+00	2.5900e-01	3.3600e+00	2.5900e-01	3.3600e+00	2.5500e-02	1.6700e+01
ENSG00000001167	meta	1	11	0	0	2	12	6.4300e-01	1.0000e+00	6.4300e-01	NA	NA	NA	NA	6.4300e-01	1.0000e+00	3.6500e-01	3.6500e-01	6.6900e-01	8.4800e-03	2.5100e+00	8.4800e-03	2.5100e+00	7.2700e-02	3.0000e+00
ENSG00000001460	meta	6	27	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	8.9200e-01	8.9200e-01	NA	3.0100e-01	2.2100e+00	3.0100e-01	2.2100e+00	NA	NA
ENSG00000001461	meta	3	20	0	0	0	0	6.9900e-01	NA	6.9900e-01	NA	NA	NA	NA	6.9900e-01	1.0000e+00	6.0200e-01	6.0200e-01	NA	1.1500e-01	2.0300e+00	1.1500e-01	2.0300e+00	NA	NA
ENSG00000001561	meta	2	14	0	0	0	0	7.8100e-01	NA	7.8100e-01	NA	NA	NA	NA	7.8100e-01	1.0000e+00	5.7300e-01	5.7300e-01	NA	6.3200e-02	2.5000e+00	6.3200e-02	2.5000e+00	NA	NA
ENSG00000001617	meta	7	5	0	0	7	54	4.4300e-02	9.4200e-02	4.4300e-02	NA	NA	NA	NA	4.4300e-02	9.6400e-01	5.6200e+00	5.6200e+00	5.2000e-01	1.5400e+00	2.2500e+01	1.5400e+00	2.2500e+01	2.0000e-01	1.1500e+00
ENSG00000001626	meta	27	127	0	0	0	0	6.0100e-01	NA	6.0100e-01	NA	NA	NA	NA	6.0100e-01	1.0000e+00	8.5300e-01	8.5300e-01	NA	5.4100e-01	1.3000e+00	5.4100e-01	1.3000e+00	NA	NA
ENSG00000001629	meta	5	6	0	0	6	19	2.1700e-02	6.8500e-01	2.0000e-02	NA	NA	NA	NA	2.0000e-02	8.2900e-01	3.3500e+00	3.3500e+00	1.2700e+00	8.0800e-01	1.3200e+01	8.0800e-01	1.3200e+01	4.1400e-01	3.3000e+00
ENSG00000001630	meta	11	22	0	0	0	0	7.0900e-02	NA	7.0900e-02	NA	NA	NA	NA	7.0900e-02	1.0000e+00	2.0100e+00	2.0100e+00	NA	8.7900e-01	4.3200e+00	8.7900e-01	4.3200e+00	NA	NA
ENSG00000001631	meta	0	22	0	0	0	0	1.7700e-02	NA	1.7700e-02	NA	NA	NA	NA	1.7700e-02	8.2200e-01	0.0000e+00	0.0000e+00	NA	0.0000e+00	7.3300e-01	0.0000e+00	7.3300e-01	NA	NA
ENSG00000002016	meta	9	36	0	0	0	0	7.4100e-01	NA	7.4100e-01	NA	NA	NA	NA	7.4100e-01	1.0000e+00	1.0000e+00	1.0000e+00	NA	4.2500e-01	2.1200e+00	4.2500e-01	2.1200e+00	NA	NA
ENSG00000002330	meta	1	10	0	0	0	0	4.3000e-01	NA	4.3000e-01	NA	NA	NA	NA	4.3000e-01	1.0000e+00	4.0100e-01	4.0100e-01	NA	9.2500e-03	2.8200e+00	9.2500e-03	2.8200e+00	NA	NA
