transcript_ID,CAGE_support
TALONT000233136,no
TALONT000233157,no
TALONT000858905,no
TALONT000858943,no
TALONT000858947,no
TALONT000858996,no
TALONT000859067,no
TALONT000859149,no
TALONT001657361,no
TALONT003706088,no
TALONT001657415,no
TALONT000859384,no
ENST00000416931.1_1,no
ENST00000457540.1_1,no
ENST00000414273.1_1,no
TALONT003706494,no
TALONT003706497,no
TALONT002800017,no
TALONT000233569,no
TALONT000859495,no
TALONT000233591,no
TALONT000233619,no
TALONT000233633,no
TALONT000233663,no
ENST00000473798.1_1,no
TALONT000859836,no
TALONT000233854,no
ENST00000327044.7_3,no
TALONT000233858,no
TALONT003707108,no
ENST00000469563.1_2,no
ENST00000338591.8_2,no
ENST00000428771.6_3,no
TALONT000861191,no
TALONT003707405,no
TALONT003707428,no
ENST00000304952.10_3,no
TALONT000861202,no
ENST00000481869.1_2,no
ENST00000484667.2_2,no
ENST00000649529.1_2,no
TALONT002800328,no
ENST00000421241.6_3,no
ENST00000360001.11_4,no
TALONT000234391,no
TALONT000234439,no
TALONT003709867,no
ENST00000494748.1_2,no
ENST00000478938.1_2,no
TALONT000234462,no
ENST00000655486.1_2,no
ENST00000379198.5_4,no
TALONT000234490,no
ENST00000347370.6_2,no
TALONT000862676,no
ENST00000349431.10_2,no
ENST00000400929.6_2,no
ENST00000360466.6_2,no
ENST00000461142.3_2,no
TALONT003710979,no
TALONT000234720,no
TALONT000234725,no
ENST00000354700.10_3,no
ENST00000478065.5_2,no
ENST00000479108.5_2,no
ENST00000379031.10_2,no
TALONT000864260,no
TALONT000864280,no
ENST00000435064.5_2,no
TALONT000235365,no
TALONT000235408,no
TALONT000235534,no
TALONT000865658,no
TALONT003712193,no
ENST00000429572.5_2,no
ENST00000498173.2_2,no
ENST00000464957.1_1,no
ENST00000343938.9_2,no
TALONT002255949,no
ENST00000342753.8_2,no
TALONT000235724,no
ENST00000309212.10_2,no
TALONT000235747,no
ENST00000338370.7_2,no
ENST00000338338.9_2,no
ENST00000321751.9_2,no
ENST00000378853.3_2,no
TALONT000867327,no
ENST00000400809.8_3,no
TALONT000235860,no
TALONT000235883,no
TALONT000235892,no
TALONT000235970,no
TALONT000236006,no
TALONT000236051,no
TALONT000236073,no
TALONT000236089,no
TALONT000236185,no
ENST00000463260.5_2,no
TALONT000236455,no
ENST00000481223.6_2,no
ENST00000418865.6_2,no
ENST00000488340.5_2,no
TALONT000238299,no
TALONT000238303,no
TALONT000238332,no
TALONT000879393,no
TALONT000879411,no
TALONT000879420,no
TALONT000238390,no
TALONT003283796,no
TALONT000879655,no
TALONT000879660,no
ENST00000408918.8_2,no
TALONT001666054,no
TALONT003721001,no
TALONT000879982,no
TALONT000880017,no
ENST00000659048.1_1,no
ENST00000448629.6_2,no
ENST00000444362.2_1,no
TALONT000238442,no
ENST00000572242.1_1,no
ENST00000344843.12_3,no
TALONT000238478,no
