gene	gene_symbol	alias	bp	pLI
ENSG00000121410	A1BG	A1BG	1488	5.23146388619959e-05
ENSG00000148584	A1CF	A1CF	1785	0.0395970143112867
ENSG00000175899	A2M	A2M	4425	0.00210877669927573
ENSG00000166535	A2ML1	A2ML1	4365	7.82577911789579e-19
ENSG00000184389	A3GALT2	A3GALT2	1023	3.6237402371872e-07
ENSG00000128274	A4GALT	A4GALT	1062	0.396374656165453
ENSG00000118017	A4GNT	A4GNT	1023	0.566348207682024
ENSG00000094914	AAAS	AAAS	1641	9.30725395497456e-11
ENSG00000081760	AACS	AACS	2019	5.35345111272765e-12
ENSG00000114771	AADAC	AADAC	1200	0.000114326357850983
ENSG00000197953	AADACL2	AADACL2	1206	5.8508584730572e-08
ENSG00000188984	AADACL3	AADACL3	1053	0.000110836921442839
ENSG00000204518	AADACL4	AADACL4	1224	0.000377692943043426
ENSG00000109576	AADAT	AADAT	1278	0.507704650145053
ENSG00000158122	AAED1	AAED1	681	6.14334188907297e-08
ENSG00000103591	AAGAB	AAGAB	948	0.12255249954075
ENSG00000115977	AAK1	AAK1	2886	0.99806251657305
ENSG00000087884	AAMDC	AAMDC	369	0.0197063651142291
ENSG00000127837	AAMP	AAMP	1305	0.786425030259308
ENSG00000129673	AANAT	AANAT	759	0.0117014739442253
ENSG00000131043	AAR2	AAR2	1155	0.000183616576504101
ENSG00000205002	AARD	AARD	468	0.318419140991248
ENSG00000090861	AARS	AARS	2907	0.00152425480769464
ENSG00000124608	AARS2	AARS2	2958	2.52761715410779e-05
ENSG00000266967	AARSD1	AARSD1	1239	8.29907211850409e-08
ENSG00000157426	AASDH	AASDH	3297	0.0010162876494496
ENSG00000149313	AASDHPPT	AASDHPPT	930	0.0597505350178785
ENSG00000008311	AASS	AASS	2781	0.00031495583767461
ENSG00000108270	AATF	AATF	1683	2.22878606086151e-06
ENSG00000181409	AATK	AATK	4125	0.702111135387742
ENSG00000183044	ABAT	ABAT	1503	0.883796281871084
ENSG00000165029	ABCA1	ABCA1	6786	0.00877620795005581
ENSG00000154263	ABCA10	ABCA10	4632	7.61921991479345e-25
ENSG00000144452	ABCA12	ABCA12	7788	3.65923109550038e-06
ENSG00000179869	ABCA13	ABCA13	15177	2.0567345600184e-71
ENSG00000107331	ABCA2	ABCA2	7311	0.999999956579995
ENSG00000167972	ABCA3	ABCA3	5115	0.00023138909011406
ENSG00000198691	ABCA4	ABCA4	6822	1.53177458885137e-26
ENSG00000154265	ABCA5	ABCA5	4929	4.94931118089464e-12
ENSG00000154262	ABCA6	ABCA6	4854	4.64549116111297e-13
ENSG00000064687	ABCA7	ABCA7	6441	4.78763200951999e-34
ENSG00000141338	ABCA8	ABCA8	4746	1.24067392761031e-30
ENSG00000154258	ABCA9	ABCA9	4875	4.93212539970123e-24
ENSG00000085563	ABCB1	ABCB1	3843	0.926774074026472
ENSG00000135776	ABCB10	ABCB10	2217	0.00337846450005255
ENSG00000073734	ABCB11	ABCB11	3966	3.28918160214183e-08
ENSG00000005471	ABCB4	ABCB4	3861	0.000172716725938735
ENSG00000004846	ABCB5	ABCB5	3774	1.85093651350336e-18
ENSG00000115657	ABCB6	ABCB6	2529	1.20600404213684e-15
ENSG00000131269	ABCB7	ABCB7	2262	0.990642904274264
ENSG00000197150	ABCB8	ABCB8	2157	0.00715074710930053
ENSG00000150967	ABCB9	ABCB9	2301	0.00887464679866328
ENSG00000103222	ABCC1	ABCC1	4596	0.91495239106615
ENSG00000124574	ABCC10	ABCC10	4479	1.4008730262683e-16
ENSG00000121270	ABCC11	ABCC11	4149	1.03131927749509e-22
ENSG00000140798	ABCC12	ABCC12	4080	3.0299269971337e-25
ENSG00000023839	ABCC2	ABCC2	4638	1.43788773082162e-31
ENSG00000108846	ABCC3	ABCC3	4584	2.97359097899413e-12
ENSG00000125257	ABCC4	ABCC4	3978	0.0281504508334366
ENSG00000114770	ABCC5	ABCC5	4314	0.999762504864563
ENSG00000091262	ABCC6	ABCC6	4512	1.46223413842281e-06
ENSG00000006071	ABCC8	ABCC8	4746	8.65662297335326e-12
ENSG00000069431	ABCC9	ABCC9	4650	0.206645901020836
ENSG00000173208	ABCD2	ABCD2	2223	4.23625135791716e-05
ENSG00000117528	ABCD3	ABCD3	1980	0.999744635020598
ENSG00000119688	ABCD4	ABCD4	1821	1.38993614832728e-07
ENSG00000164163	ABCE1	ABCE1	1800	0.999948919234726
ENSG00000204574	ABCF1	ABCF1	2538	8.26223632183562e-05
ENSG00000033050	ABCF2	ABCF2	1905	0.997592928023445
ENSG00000161204	ABCF3	ABCF3	2130	0.835580107603934
ENSG00000160179	ABCG1	ABCG1	2037	0.579073784682942
ENSG00000118777	ABCG2	ABCG2	1968	1.24500271708639e-17
ENSG00000172350	ABCG4	ABCG4	1941	0.00612461477869706
ENSG00000138075	ABCG5	ABCG5	1956	3.64290100401472e-14
ENSG00000143921	ABCG8	ABCG8	2022	6.61180754560193e-15
ENSG00000143994	ABHD1	ABHD1	1218	4.74312404451519e-17
ENSG00000144827	ABHD10	ABHD10	921	0.000422982732298889
ENSG00000106077	ABHD11	ABHD11	948	4.60983087023504e-06
ENSG00000100997	ABHD12	ABHD12	1215	0.000159690483518263
ENSG00000131969	ABHD12B	ABHD12B	1089	1.2251635770465e-11
ENSG00000139826	ABHD13	ABHD13	1014	0.889923507697098
ENSG00000248487	ABHD14A	ABHD14A	816	0.00809883305148961
ENSG00000114786	ABHD14A-ACY1	ABHD14A-ACY1	1530	6.41954885539024e-05
ENSG00000114779	ABHD14B	ABHD14B	633	0.10596307230979
ENSG00000168792	ABHD15	ABHD15	1407	0.0378950643716278
ENSG00000204427	ABHD16A	ABHD16A	1677	0.96714129612641
ENSG00000183260	ABHD16B	ABHD16B	1410	0.0290789847503857
ENSG00000129968	ABHD17A	ABHD17A	1086	0.042435907113562
ENSG00000107362	ABHD17B	ABHD17B	882	0.951230020980714
ENSG00000136379	ABHD17C	ABHD17C	990	0.827698419804346
ENSG00000140526	ABHD2	ABHD2	1278	0.781288585339015
ENSG00000158201	ABHD3	ABHD3	1230	2.84058783575622e-05
ENSG00000100439	ABHD4	ABHD4	1029	0.000241795971867324
ENSG00000011198	ABHD5	ABHD5	1050	0.000101432618802603
ENSG00000163686	ABHD6	ABHD6	1014	0.0483859082277715
ENSG00000127220	ABHD8	ABHD8	1320	0.568206476475004
ENSG00000136754	ABI1	ABI1	1527	0.819959907111877
ENSG00000138443	ABI2	ABI2	1428	0.9967709057166
ENSG00000108798	ABI3	ABI3	1101	0.104559033201486
ENSG00000154175	ABI3BP	ABI3BP	3228	1.0088032169713e-05
ENSG00000097007	ABL1	ABL1	3450	0.999678496780562
ENSG00000143322	ABL2	ABL2	3549	0.0685656805242374
ENSG00000099204	ABLIM1	ABLIM1	2337	0.965462089660528
ENSG00000163995	ABLIM2	ABLIM2	1938	0.998735501764405
ENSG00000173210	ABLIM3	ABLIM3	2052	0.35770946582468
ENSG00000159842	ABR	ABR	2580	0.999837833014258
ENSG00000174429	ABRA	ABRA	1146	1.87498383107381e-05
ENSG00000146386	ABRACL	ABRACL	246	0.262367596164386
ENSG00000146109	ABT1	ABT1	819	0.444396481750482
ENSG00000114626	ABTB1	ABTB1	1437	0.018769384260323
ENSG00000166016	ABTB2	ABTB2	3078	0.602705148497561
ENSG00000228768	AC003101.1	AC003101.1	435	0.119699903412525
ENSG00000268163	AC004076.9	AC004076.9	399	0.00447206404461968
ENSG00000005189	AC004381.6	AC004381.6	2325	9.91676356999152e-06
ENSG00000268069	AC004466.1	AC004466.1	423	0.000518465642028858
ENSG00000267970	AC004899.1	AC004899.1	411	0.00081164507273484
ENSG00000273452	AC005358.1	AC005358.1	2055	0.778954050960506
ENSG00000249034	AC005609.1	AC005609.1	579	0.0329843749205037
ENSG00000205821	AC006435.1	AC006435.1	474	4.35294108079254e-05
ENSG00000258881	AC007040.11	AC007040.11	594	0.000633611981642646
ENSG00000269808	AC010327.2	AC010327.2	816	0.0264847542904809
ENSG00000214248	AC010336.1	AC010336.1	732	3.35846767902715e-05
ENSG00000269636	AC010441.1	AC010441.1	408	0.00445764597798716
ENSG00000204850	AC011484.1	AC011484.1	612	0.00253248098698456
ENSG00000222017	AC011997.1	AC011997.1	261	0.00470290550394087
ENSG00000228835	AC012123.1	AC012123.1	567	0.121687373576467
ENSG00000269383	AC012493.2	AC012493.2	303	0.418137521221564
ENSG00000268412	AC013449.1	AC013449.1	408	0.17719346086678
ENSG00000269630	AC015989.2	AC015989.2	309	0.102100230019876
ENSG00000268241	AC018470.1	AC018470.1	1551	0.0166897097037333
ENSG00000235978	AC018816.3	AC018816.3	261	0.413316237032165
ENSG00000268846	AC018867.2	AC018867.2	138	0.403953120228106
ENSG00000267531	AC020922.1	AC020922.1	390	0.0250319240145854
ENSG00000267964	AC022400.2	AC022400.2	444	0.512435845410999
ENSG00000197604	AC022532.1	AC022532.1	474	0.0489513808291614
ENSG00000181495	AC026703.1	AC026703.1	366	0.468873866474089
ENSG00000237102	AC040160.1	AC040160.1	543	0.370182619451499
ENSG00000237452	AC074212.3	AC074212.3	1917	0.400663509750287
ENSG00000269657	AC079210.1	AC079210.1	396	0.0362163002485604
ENSG00000268310	AC087645.1	AC087645.1	1011	0.190586842406021
ENSG00000269175	AC093157.1	AC093157.1	372	0.15894475584986
ENSG00000268626	AC103809.2	AC103809.2	405	0.206913440573311
ENSG00000222001	AC106876.2	AC106876.2	261	0.350628396469549
ENSG00000268788	AC110615.1	AC110615.1	282	0.00618247004931436
ENSG00000268950	AC114494.1	AC114494.1	423	0.171123218667365
ENSG00000214999	AC129492.6	AC129492.6	495	0.779031822449835
ENSG00000060971	ACAA1	ACAA1	1275	0.00222188857547899
ENSG00000167315	ACAA2	ACAA2	1194	0.0124289118510474
ENSG00000132142	ACACA	ACACA	7152	0.999999999416679
ENSG00000076555	ACACB	ACACB	7377	8.56652877062816e-18
ENSG00000111271	ACAD10	ACAD10	3273	1.04491791340474e-18
ENSG00000240303	ACAD11	ACAD11	2343	3.55610635227966e-05
ENSG00000151498	ACAD8	ACAD8	1248	0.0047185424732053
ENSG00000177646	ACAD9	ACAD9	1866	0.000228536513307218
ENSG00000115361	ACADL	ACADL	1293	8.71902440435706e-08
ENSG00000117054	ACADM	ACADM	1278	5.34293728836624e-06
ENSG00000122971	ACADS	ACADS	1239	0.016449692987494
ENSG00000196177	ACADSB	ACADSB	1299	9.05637180085555e-09
ENSG00000072778	ACADVL	ACADVL	2037	1.45279632597138e-06
ENSG00000157766	ACAN	ACAN	7593	0.999999021861493
ENSG00000072818	ACAP1	ACAP1	2223	0.327478226335882
ENSG00000114331	ACAP2	ACAP2	2337	0.99993378192057
ENSG00000131584	ACAP3	ACAP3	2505	0.0854370419522802
ENSG00000075239	ACAT1	ACAT1	1284	0.00509797687796511
ENSG00000120437	ACAT2	ACAT2	1194	0.00989729158593947
ENSG00000182827	ACBD3	ACBD3	1587	0.993176614014699
ENSG00000181513	ACBD4	ACBD4	1026	5.53853571321004e-05
ENSG00000107897	ACBD5	ACBD5	1578	0.0321807668637097
ENSG00000135847	ACBD6	ACBD6	849	0.0462595976353735
ENSG00000176244	ACBD7	ACBD7	267	0.0792678363266895
ENSG00000110455	ACCS	ACCS	1506	0.000485655316196485
ENSG00000205126	ACCSL	ACCSL	1707	4.44991392395258e-11
ENSG00000159640	ACE	ACE	3921	9.77775561979846e-17
ENSG00000264813	ACE	ACE	3921	9.77775561979846e-17
ENSG00000130234	ACE2	ACE2	2418	0.997902436061806
ENSG00000167769	ACER1	ACER1	795	0.288985686804977
ENSG00000177076	ACER2	ACER2	828	0.115607897308574
ENSG00000078124	ACER3	ACER3	804	0.942466217300855
ENSG00000087085	ACHE	ACHE	1854	0.994659630624216
ENSG00000100813	ACIN1	ACIN1	4026	0.999999922058312
ENSG00000144476	ACKR3	ACKR3	1089	0.403362013843888
ENSG00000131473	ACLY	ACLY	3306	0.979767232272777
ENSG00000153086	ACMSD	ACMSD	1011	3.04006684592114e-05
ENSG00000122729	ACO1	ACO1	2670	1.22689601172319e-06
ENSG00000100412	ACO2	ACO2	2343	0.622065016880271
ENSG00000184227	ACOT1	ACOT1	1266	0.156051353176712
ENSG00000162390	ACOT11	ACOT11	1824	2.10377229994243e-11
ENSG00000172497	ACOT12	ACOT12	1668	1.23710224137151e-09
ENSG00000112304	ACOT13	ACOT13	423	0.000249336118134942
ENSG00000119673	ACOT2	ACOT2	1452	0.114724569511513
ENSG00000177465	ACOT4	ACOT4	1266	2.61116189495984e-07
ENSG00000205669	ACOT6	ACOT6	624	0.0101605964137695
ENSG00000097021	ACOT7	ACOT7	1143	0.29179891021488
ENSG00000101473	ACOT8	ACOT8	960	0.000123150872153179
ENSG00000123130	ACOT9	ACOT9	1347	0.000319975062276214
ENSG00000161533	ACOX1	ACOX1	1983	0.535078994492665
ENSG00000168306	ACOX2	ACOX2	2046	7.70183414474707e-07
ENSG00000087008	ACOX3	ACOX3	2103	3.36192055351619e-12
ENSG00000153093	ACOXL	ACOXL	1743	1.07825136585576e-09
ENSG00000143727	ACP1	ACP1	477	0.0016112551942012
ENSG00000134575	ACP2	ACP2	1272	0.000295882338525503
ENSG00000102575	ACP5	ACP5	978	0.0993939775208811
ENSG00000162836	ACP6	ACP6	1287	0.000620272905557814
ENSG00000014257	ACPP	ACPP	1257	3.04345031925343e-06
ENSG00000142513	ACPT	ACPT	1281	6.46014812004631e-10
ENSG00000100312	ACR	ACR	1266	0.0553851023768862
ENSG00000111644	ACRBP	ACRBP	1632	2.57863489790222e-06
ENSG00000147174	ACRC	ACRC	2076	0.976039506302349
ENSG00000134940	ACRV1	ACRV1	798	0.0124910791962931
ENSG00000103740	ACSBG1	ACSBG1	2175	0.0763903479821094
ENSG00000130377	ACSBG2	ACSBG2	2001	4.32328470117737e-06
ENSG00000167107	ACSF2	ACSF2	1848	0.0360894137347127
