"","seqnames","start","end","width","strand","source","type","score","phase","gene_id","gene_name","gene_status","gene_type","talon_gene","havana_gene","hgnc_id","level","remap_num_mappings","remap_status","remap_target_status","transcript_id","transcript_status","transcript_name","talon_transcript","NNC_transcript","exon_number","exon_id","talon_exon","exon_status","ont","remap_original_location","source.1","tag","NIC_transcript","ISM.prefix_to_IDs","ISM.prefix_transcript","ISM_to_IDs","ISM_transcript","ISM.suffix_to_IDs","ISM.suffix_transcript","transcript_type","havana_transcript","transcript_support_level","gencode_gene_status","remap_substituted_missing_target","gencode_transcript_status","ccdsid","protein_id","genomic_transcript","intergenic_novel","intergenic_transcript","antisense_gene","gene_antisense_to_IDs","antisense_transcript"
"1","chr1",18913,19139,227,"-","TALON","exon",NA,NA,"ENSG00000227232.5_3","WASH7P","KNOWN","unprocessed_pseudogene","2",NA,NA,NA,NA,NA,NA,"TALONT000233109","NOVEL","TALONT000233109","233109",NA,"3","1024316","1024316","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","chr1",18913,20286,1374,"-","TALON","exon",NA,NA,"ENSG00000227232.5_3","WASH7P","KNOWN","unprocessed_pseudogene","2",NA,NA,NA,NA,NA,NA,"TALONT000233124","NOVEL","TALONT000233124","233124",NA,"3","1024341","1024341","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","chr1",18913,21119,2207,"-","TALON","exon",NA,NA,"ENSG00000227232.5_3","WASH7P","KNOWN","unprocessed_pseudogene","2",NA,NA,NA,NA,NA,NA,"TALONT000233130","NOVEL","TALONT000233130","233130",NA,"1","1024351","1024351","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","chr1",18913,20960,2048,"-","TALON","exon",NA,NA,"ENSG00000227232.5_3","WASH7P","KNOWN","unprocessed_pseudogene","2",NA,NA,NA,NA,NA,NA,"TALONT000233196","NOVEL","TALONT000233196","233196",NA,"1","1024429","1024429","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","chr1",18913,19416,504,"-","TALON","exon",NA,NA,"ENSG00000227232.5_3","WASH7P","KNOWN","unprocessed_pseudogene","2",NA,NA,NA,NA,NA,NA,"TALONT000233269","NOVEL","TALONT000233269","233269",NA,"1","1024451","1024451","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","chr1",840675,841059,385,"+","TALON","exon",NA,NA,"ENSG00000272438.1_7","AL645608.6","KNOWN","lncRNA","55",NA,NA,NA,NA,NA,NA,"TALONT000233806","NOVEL","TALONT000233806","233806",NA,"2","1025457","1025457","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","chr1",841182,842374,1193,"+","TALON","exon",NA,NA,"ENSG00000272438.1_7","AL645608.6","KNOWN","lncRNA","55",NA,NA,NA,NA,NA,NA,"TALONT000233806","NOVEL","TALONT000233806","233806",NA,"3","1025475","1025475","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","chr1",1166887,1167272,386,"-","TALON","exon",NA,NA,"ENSG00000078808.17_5","SDF4","KNOWN","protein_coding","85",NA,NA,NA,NA,NA,NA,"TALONT000234413","NOVEL","TALONT000234413","234413",NA,"1","1026325","1026325","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","chr1",1413131,1413228,98,"+","TALON","exon",NA,NA,"ENSG00000160072.20_3","ATAD3B","KNOWN","protein_coding","113",NA,NA,NA,NA,NA,NA,"TALONT000238505","NOVEL","TALONT000238505","238505",NA,"3","1031560","1031560","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","chr1",1677760,1677781,22,"-","TALON","exon",NA,NA,"ENSG00000008128.23_6","CDK11A","KNOWN","protein_coding","130",NA,NA,NA,NA,NA,NA,"TALONT000239595","NOVEL","TALONT000239595","239595",NA,"1","1033053","1033053","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
